year,peuvent_VERB abaisser_VERB,peuvent_VERB rabaisser_VERB
1800,0.0,0.0
1801,0.0,2.3811825400343878e-08
1802,0.0,0.0
1803,4.095712213825209e-08,0.0
1804,0.0,0.0
1805,2.55858996212055e-08,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,9.036122072814123e-09,2.259030518203531e-09
1810,0.0,9.360507036149102e-09
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,5.751483289628823e-09
1814,0.0,0.0
1815,2.4275012222574333e-08,0.0
1816,1.622322720606917e-08,2.3176038865813098e-09
1817,1.0898113522728181e-08,9.341240669868967e-09
1818,0.0,7.152706427149269e-09
1819,9.315945348475907e-09,4.140420006848444e-09
1820,2.3732962262101864e-09,1.1866481131050932e-08
1821,1.577838126820552e-08,1.676452932031225e-08
1822,7.017931125119503e-09,9.023054303725075e-09
1823,1.7788837070042973e-08,7.906149512848515e-09
1824,4.210556348027694e-09,9.263223965660927e-09
1825,3.522177216552791e-09,0.0
1826,0.0,1.0569580766173203e-08
1827,1.3825909306319772e-08,2.7651818612639545e-09
1828,2.7516904310687096e-09,6.420610709767516e-09
1829,1.714635211591542e-09,1.2859763920403111e-08
1830,6.262101504006523e-09,7.305785310052215e-09
1831,6.236482441579483e-09,1.5591206103948707e-09
1832,1.0823975493678972e-08,1.3529969367098715e-09
1833,1.3900354645102198e-08,0.0
1834,1.3068342852307069e-08,0.0
1835,1.8151411040889798e-08,2.2689263801112247e-09
1836,6.720750067579218e-10,6.720750067579218e-10
1837,2.7831563720326358e-09,4.174734336004349e-09
1838,1.4517972601879592e-08,1.2624323808552163e-09
1839,6.292327547896548e-09,9.088918062616358e-09
1840,1.3376346252869098e-08,3.821813088222825e-09
1841,1.0272877659645019e-08,3.852329122366882e-09
1842,6.708265054555795e-09,0.0
1843,7.088293507706567e-09,1.7720733769266417e-09
1844,4.390849017710252e-09,4.9397050894128824e-09
1845,2.2320911785556063e-09,2.7901139176833567e-09
1846,1.7563504428608212e-08,6.439951683034906e-09
1847,2.0494249852731627e-08,0.0
1848,9.65426583121598e-09,8.045221711050488e-10
1849,1.4245005175439474e-08,0.0
1850,7.467895635215882e-09,0.0
1851,1.9993260380601896e-08,1.9348316282474798e-09
1852,5.859490670445666e-09,4.557382027314816e-09
1853,1.2541057081705276e-08,4.180352064508952e-09
1854,9.871762074453727e-09,3.63696517347023e-09
1855,1.4328730202350926e-08,4.2455496895854594e-09
1856,3.1063134287023786e-09,1.0354378465748937e-09
1857,9.763017949637742e-09,2.4407544874094356e-09
1858,1.0276719919488642e-08,4.404308473482388e-09
1859,4.073738679721828e-09,2.5460866748261424e-09
1860,8.696649622663699e-09,1.8308735638683515e-09
1861,7.545541969022906e-09,1.4147891747029462e-09
1862,1.355395884417021e-08,4.066187830886747e-09
1863,1.3485475847119233e-08,2.4973103585068657e-09
1864,1.6781548595190543e-08,0.0
1865,1.0355057256106193e-08,2.3534221238463715e-09
1866,5.352174259343201e-09,1.4596839292835284e-09
1867,1.164674756637396e-08,0.0
1868,1.333765986544222e-08,2.9639244392143382e-09
1869,1.4650557211837167e-08,4.883519144627257e-10
1870,1.6055336615750093e-08,0.0
1871,1.274541272522356e-08,0.0
1872,1.0885210954825197e-08,0.0
1873,1.5563610844537834e-08,5.986004469882289e-10
