year,voulut_VERB appliquer_VERB
1800,2.829747991484055e-08
1801,4.7623651688866175e-09
1802,2.2378401354217203e-08
1803,1.1702034896643454e-08
1804,2.9662210465630778e-08
1805,3.980028751016107e-08
1806,1.729001475325731e-08
1807,1.9928686256776018e-08
1808,4.078933102391602e-08
1809,7.90660692473466e-08
1810,9.360507036149102e-09
1811,5.264861258069686e-08
1812,2.400487453257938e-08
1813,5.751483289628823e-09
1814,4.72001566720337e-08
1815,4.315557688983063e-08
1816,2.0858434979231788e-08
1817,1.71256075987003e-08
1818,5.2453181353939726e-08
1819,2.070209959015301e-08
1820,3.441279616822612e-08
1821,2.2681422962023134e-08
1822,3.308453244699194e-08
1823,1.7788837070042973e-08
1824,2.863178316658832e-08
1825,3.169959583715354e-08
1826,3.3470339388941284e-08
1827,2.8573547083965423e-08
1828,5.6868266540277546e-08
1829,3.8579290873030914e-08
1830,7.305785310052215e-09
1831,1.5591206548037917e-08
1832,2.705993829010822e-08
1833,3.01174338801502e-08
1834,2.42697808516823e-08
1835,2.571449897459388e-08
1836,3.8308275662757296e-08
1837,3.6181031504156635e-08
1838,2.2723781967215473e-08
1839,3.216078425793967e-08
1840,4.0129037870428874e-08
1841,3.5955071808757566e-08
1842,4.427455024824667e-08
1843,4.3120451209688326e-08
1844,1.756339607084101e-08
1845,5.970844085823046e-08
1846,3.922516000898213e-08
1847,3.128069891999985e-08
1848,3.861706332486392e-08
1849,1.5920887719289567e-08
1850,3.326607966869233e-08
1851,4.127640806927957e-08
1852,2.6042181744401205e-08
1853,2.448492075757258e-08
1854,6.234797211845944e-08
1855,2.653468555990912e-08
1856,3.36517302912398e-08
1857,3.3194261561675376e-08
1858,3.6213201326518174e-08
1859,6.110607841947058e-08
1860,3.524431591017674e-08
1861,6.790988038574142e-08
1862,4.517986340601965e-08
1863,5.4940830551686304e-08
1864,3.548098703731739e-08
1865,3.435996376310868e-08
1866,4.865612979187972e-08
1867,4.610171089325377e-08
1868,3.556709415875048e-08
1869,2.8812763730456936e-08
1870,3.4977698959437475e-08
1871,7.434824311758348e-09
1872,2.116568786902917e-08
1873,2.993002112816612e-08
1874,3.943242177228967e-08
1875,2.4030413214859436e-08
1876,3.627608791134662e-08
1877,2.4739264858908427e-08
1878,2.959153455606156e-08
1879,1.588424503040642e-08
1880,2.888030792291829e-08
1881,1.3945014920579979e-08
1882,2.5956001792337702e-08
1883,2.9068958795619437e-08
1884,1.1222884843675729e-08
1885,2.900535989169839e-08
1886,3.6784744139595205e-08
1887,2.546280519766242e-08
1888,3.233713385952797e-08
1889,1.1277245803853475e-08
1890,3.0150179242127706e-08
1891,2.103492668936724e-08
1892,2.7581453565517222e-08
1893,3.0176241949675386e-08
1894,2.3315696040526745e-08
1895,1.444467478961542e-08
1896,2.7716035688740703e-08
1897,3.029891004757701e-08
1898,2.3765091228256097e-08
1899,2.8743407654019393e-08
1900,1.6092265298084385e-08
1901,1.676621685930968e-08
1902,1.3257766440233354e-08
1903,2.754112315983548e-08
1904,1.7198800605910947e-08
1905,3.354493216534138e-08
1906,2.623534101076075e-08
1907,1.8514235478050978e-08
1908,1.9154416719402434e-08
1909,2.53045246978445e-08
1910,2.9927242906069296e-08
1911,2.181353409014264e-08
1912,2.81308754068732e-08
1913,2.9166443482608884e-08
1914,2.0759905794420774e-08
1915,8.246533234057551e-09
1916,2.7468654906215306e-08
1917,1.5352993543160665e-08
1918,2.6418664589300533e-08
1919,1.1970202606903513e-08
1920,2.0445025228355007e-08
1921,2.4232791773215467e-08
1922,1.623145884366295e-08
1923,1.5923921736771263e-08
1924,2.1915761649893284e-08
1925,2.4195990988573612e-08
1926,1.3375366592072169e-08
1927,1.8953683067479687e-08
1928,2.0566874425753667e-08
1929,3.4535258208734376e-08
1930,1.8906487042613662e-08
1931,2.3951248095954725e-08
1932,2.849479585620429e-08
1933,3.211785326584504e-08
1934,1.4377896206951846e-08
1935,1.9149254626427137e-08
1936,1.2124714565686645e-08
1937,1.6368453259474336e-08
1938,2.7226949583791793e-08
1939,2.4470480752825097e-08
1940,1.7750480196809804e-08
1941,2.3612020783048138e-08
1942,1.8205270180260413e-08
1943,1.1612940831184915e-08
1944,1.927911696952833e-08
1945,2.6142048525912287e-08
1946,1.6705325123211878e-08
1947,1.7881307101674793e-08
1948,1.6307831529616124e-08
1949,1.0798709482173763e-08
1950,1.2762433776458693e-08
1951,1.2793682557799002e-08
1952,1.8980646387944944e-08
1953,2.1547654327491728e-08
1954,1.6613311615287785e-08
