year,voudront_VERB aller_VERB
1800,3.458580977167003e-08
1801,9.524730337773235e-09
1802,8.951360541686881e-09
1803,9.751696339321825e-09
1804,4.943701892301533e-09
1805,8.528632911009026e-09
1806,8.06867319624871e-08
1807,5.693910054560547e-08
1808,4.5321478125970316e-08
1809,3.6144488291256494e-08
1810,9.360507036149102e-09
1811,2.757784400841956e-08
1812,5.3344166417446104e-08
1813,8.627225156487839e-09
1814,0.0
1815,1.8880564667256294e-08
1816,2.0858434979231788e-08
1817,1.401186100480345e-08
1818,3.337929754820834e-08
1819,9.315945348475907e-09
1820,1.4239777357261119e-08
1821,3.550135829755163e-08
1822,8.922798144794797e-08
1823,2.8659792761231984e-08
1824,1.0947446504872005e-08
1825,4.842993561737785e-08
1826,5.989429041619587e-08
1827,2.488663675137559e-08
1828,7.33784091266898e-08
1829,1.6117570567075745e-07
1830,6.262101237552997e-08
1831,1.5591206548037917e-08
1832,2.4353944638733083e-08
1833,1.1583628278799551e-08
1834,3.733812548034621e-08
1835,3.554651328840919e-08
1836,6.787957573806125e-08
1837,2.1569462660409044e-08
1838,4.039783618736692e-08
1839,7.2012191765225e-08
1840,3.885510224677091e-08
1841,3.017657945747487e-08
1842,8.720744659740376e-08
1843,3.4260082770742883e-08
1844,5.982531803283564e-08
1845,4.0177642546268544e-08
1846,8.54757189472366e-08
1847,9.869599182366073e-08
1848,2.252662056889676e-08
1849,3.267971848686102e-08
1850,5.499086697113853e-08
1851,4.385618268543112e-08
1852,5.078225484567156e-08
1853,5.733054564416307e-08
1854,3.792835201466005e-08
1855,3.767925349507095e-08
1856,5.228961086345407e-08
1857,4.8326938895115745e-08
1858,1.0521403481789093e-07
1859,8.147477359443656e-08
1860,3.8448344952257685e-08
1861,3.584132457490341e-08
1862,3.6143891435358455e-08
1863,4.145535115185339e-08
1864,3.16452037907311e-08
1865,2.729969672543575e-08
1866,1.9949013108089275e-08
1867,4.173417877950669e-08
1868,3.6061081232219294e-08
1869,1.3673853160867111e-08
1870,1.834895613228582e-08
1871,3.9298356568906456e-08
1872,4.172663992108028e-08
1873,5.9860045809045914e-09
1874,4.361464789326419e-08
1875,3.4901315615343265e-08
1876,1.6928840551599933e-08
1877,2.72131899237138e-08
1878,3.8650167510922984e-08
1879,2.443730195977878e-08
1880,3.529815373326528e-08
1881,5.438555916725818e-08
1882,4.5256619785050134e-08
1883,4.423537092179686e-08
1884,3.3668655419205606e-08
1885,6.574548194748786e-08
1886,4.969167122226281e-08
1887,3.721487118468758e-08
1888,3.4873380627686856e-08
1889,2.8819629349641218e-08
1890,1.6385966361553983e-08
1891,4.0157587477551715e-08
1892,4.0745330665004076e-08
1893,2.5249507373814595e-08
1894,3.276800342177921e-08
1895,3.250051960890232e-08
1896,3.4202766840962795e-08
1897,3.6708296846654775e-08
1898,4.4701003787395166e-08
1899,2.7637891975018647e-08
1900,3.322274011452464e-08
1901,2.51493244007861e-08
1902,2.4060391012881155e-08
1903,2.6461078661554893e-08
1904,2.042357571951925e-08
1905,3.251278357652154e-08
1906,3.446603713541663e-08
1907,4.731415970127273e-08
1908,2.4556944921982904e-08
1909,3.135560788791736e-08
1910,1.870452770447173e-08
1911,3.2454281040372734e-08
1912,1.510732161591477e-08
1913,2.2802856491921375e-08
1914,2.276892807628883e-08
1915,1.1780762143587253e-08
1916,1.2086208478478966e-08
1917,1.864292187292449e-08
1918,1.4932290071101306e-08
1919,3.314825391953491e-08
1920,2.7260034229925623e-08
1921,1.060184651180407e-08
1922,7.377935595798135e-09
1923,4.2463792482294593e-08
1924,3.738571052736006e-08
1925,4.179307566687385e-08
1926,1.3375366592072169e-08
1927,1.3379070296082318e-08
1928,1.5996457491951332e-08
1929,2.0052731031228177e-08
1930,1.470504518152893e-08
1931,2.167017854048936e-08
1932,3.287861094491973e-09
1933,1.605892663292252e-08
1934,1.1981580172459871e-08
1935,1.4361940969820353e-08
1936,1.091224355320719e-08
1937,3.021868266728234e-08
1938,1.6854778905894818e-08
1939,2.5999884911698246e-08
1940,3.550096039361961e-08
1941,3.836953510472085e-08
1942,1.2136847082899749e-08
1943,2.9032351633873077e-08
1944,9.639558484764166e-09
1945,1.089252066321933e-08
1946,1.1136883415474585e-08
1947,1.3112957830685446e-08
1948,3.2615663503321457e-09
1949,7.853606653895895e-09
1950,2.0207187034770868e-08
1951,1.4925962688039363e-08
1952,8.435843135146115e-09
1953,1.6160740301529586e-08
1954,7.818028890937967e-09
1955,1.0324168187025862e-08
1956,6.976913269340912e-09
1957,1.3252556385623393e-08
1958,8.272243334772611e-09
1959,1.1626121398933265e-08
1960,5.536666680683311e-09
1961,2.292892631317045e-08
1962,1.1415521861124489e-08
1963,1.7458344103715717e-08
1964,2.494427064902993e-08
1965,2.2435377999840966e-08
1966,2.326411419062424e-08
1967,1.7749208325312793e-08
1968,1.0330256650092906e-08
1969,1.9983733778872192e-08
1970,2.115413444414571e-08
1971,1.284599360218408e-08
1972,1.487742551375959e-08
1973,9.923766697284009e-09
1974,1.518904291231138e-08
1975,1.770558810676448e-08
1976,1.5997875024709174e-08
1977,1.1753563455840776e-08
1978,1.485147826940647e-08
1979,2.3993090181306798e-08
1980,1.819248218737357e-08
1981,1.707898356073656e-08
1982,2.2347007799794483e-08
1983,2.1472073896688926e-08
1984,7.538710988796993e-09
1985,1.4437339324047116e-08
1986,1.978180286243969e-08
1987,5.49973533381376e-09
1988,1.0793796967334401e-08
1989,1.7561990972581043e-08
1990,1.5801088437683575e-08
1991,1.3481369798284959e-08
1992,1.597883780846132e-08
1993,1.3848018731721368e-08
1994,1.2132331583813993e-08
1995,1.6809597269684673e-08
1996,2.1886178203089912e-08
1997,1.4384683666435194e-08
1998,2.2410207023426665e-08
1999,1.5995704316651427e-08
2000,1.3695897749244068e-08
2001,1.0514908055370142e-08
2002,1.270554239596322e-08
2003,1.9584538435424292e-08
2004,1.8500124099318782e-08
2005,1.0358624180639708e-08
2006,8.235780057930242e-09
2007,1.5977917655618512e-08
2008,1.0217855006544596e-08
2009,1.192048149079028e-08
2010,1.2281861749841028e-08
2011,1.3383901986685487e-08
2012,1.191488419038933e-08
2013,8.367375237128272e-09
2014,1.147685946278898e-08
2015,9.309617077235544e-09
2016,1.491364898242864e-08
2017,1.33327402451755e-08
2018,9.035133530232997e-09
2019,9.693753355577428e-09
