year,peuvent_VERB amener_VERB,peuvent_VERB ramener_VERB
1800,2.986956246786576e-07,7.231578535993322e-08
1801,1.8096987730586989e-07,4.524246932646747e-08
1802,1.9021641151084623e-07,3.8043282302169246e-08
1803,2.2428901047533145e-07,6.631153581793114e-08
1804,1.1617699158250616e-07,7.168367943677367e-08
1805,1.194008660831969e-07,2.55858996212055e-08
1806,1.498467980809437e-07,2.881669125542885e-09
1807,1.7651122163897526e-07,1.1387820464392462e-08
1808,1.1783584596969376e-07,5.211970233176544e-08
1809,1.7394535234416253e-07,7.228897658251299e-08
1810,2.2465216886757844e-07,4.680253518074551e-09
1811,1.0780430415024966e-07,5.0141535368197765e-09
1812,2.9339290108509886e-07,2.400487453257938e-08
1813,3.134558426154399e-07,6.039057609541487e-08
1814,4.0277467405758216e-07,3.1466772298927026e-08
1815,1.8071398244501324e-07,1.1598061178119679e-07
1816,2.8274766350477876e-07,9.270415546325239e-08
1817,2.802372023325006e-07,3.580808893843823e-08
1818,3.445220215780864e-07,5.722165141719415e-08
1819,1.9563483988349617e-07,2.794783426907088e-08
1820,4.461796834220877e-07,8.187871713971617e-08
1821,1.9328517453232053e-07,2.1695274909916407e-08
1822,2.2056354964661296e-07,4.712039469723095e-08
1823,2.717738993851526e-07,2.2730180404550993e-08
1824,2.1979104758429457e-07,2.105278085196005e-08
1825,2.615216487811267e-07,1.4088708866211164e-08
1826,3.029946640253911e-07,3.787433300317389e-08
1827,3.014048388649826e-07,2.7651818612639545e-08
1828,3.155271599553089e-07,5.595103758082587e-08
1829,3.369258081420412e-07,2.4004892296147773e-08
1830,3.6633292666010675e-07,2.400472176589119e-08
1831,3.7574807265627896e-07,3.274153215215847e-08
1832,3.5313220791977074e-07,4.19429042608499e-08
1833,4.343860666722321e-07,3.938433579264711e-08
1834,3.4071038612637494e-07,3.9205030333278046e-08
1835,4.401717319524323e-07,3.479020449503878e-08
1836,3.9316387301369105e-07,1.8146025126952736e-08
1837,4.6757025984334177e-07,4.5922078584226256e-08
1838,4.096593215763278e-07,3.28232410140572e-08
1839,4.4325952330837026e-07,3.146163862766116e-08
1840,4.790005618815485e-07,6.369688776430849e-08
1841,4.0000017520469555e-07,4.044945711711989e-08
1842,4.1322911670249596e-07,3.152884531232303e-08
1843,5.009060828342626e-07,1.8311423488626133e-08
1844,4.780536642101652e-07,5.2141331252641976e-08
1845,5.066846711088147e-07,3.961961780873935e-08
1846,4.7362917143800587e-07,3.454155717008689e-08
1847,5.058843726146733e-07,5.3392913201832926e-08
1848,5.48684113255149e-07,4.424871846708811e-08
1849,5.647725629387423e-07,1.256912263158938e-08
1850,4.433214542132191e-07,7.060555873295016e-08
1851,5.514270355888584e-07,5.0305622778523684e-08
1852,4.7006139425320725e-07,3.450589147746541e-08
1853,4.96267546168383e-07,2.20961471342207e-08
1854,4.1565314745639625e-07,4.2604447969551984e-08
1855,4.717867057024705e-07,3.555647865027822e-08
1856,3.7068676306262205e-07,3.9346637947801355e-08
1857,4.139519660384394e-07,4.1004675210842834e-08
1858,4.6685670440638205e-07,3.670256987220455e-08
1859,5.102357931718871e-07,3.819129901216911e-08
1860,4.2933984900628275e-07,2.7920821210614122e-08
1861,4.2066395167239534e-07,2.782418562219391e-08
1862,5.380921379583015e-07,4.427626620895353e-08
1863,4.425234010341228e-07,2.097740825490746e-08
1864,5.839978598487505e-07,5.6098315326380543e-08
1865,5.281079324959137e-07,4.283228349777346e-08
1866,5.191608920540602e-07,2.432806489593986e-08
1867,5.430296141639701e-07,2.91168689159349e-08
1868,5.8784502243725e-07,2.865126980111654e-08
1869,6.089748580961896e-07,2.9301114423674335e-08
1870,5.986346991448954e-07,5.103303379883073e-08
1871,6.680720616714098e-07,2.549082545044712e-08
