year,durent_VERB ajouter_VERB
1800,0.0
1801,0.0
1802,1.1189200677108602e-08
1803,0.0
1804,1.2359254952798437e-08
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,6.7770917766551975e-09
1810,2.3401267590372754e-09
1811,0.0
1812,1.0668832928217853e-08
1813,8.627225156487839e-09
1814,0.0
1815,1.6183340889597275e-08
1816,0.0
1817,0.0
1818,3.5763532135746345e-09
1819,6.210630232317271e-09
1820,5.933240565525466e-09
1821,9.86148829262845e-10
1822,5.012807946513931e-09
1823,0.0
1824,8.421112696055388e-09
1825,5.283265824829186e-09
1826,6.1655889282974385e-09
1827,2.7651818612639545e-09
1828,1.8344602503717056e-09
1829,4.286587973467704e-09
1830,1.3567886369969528e-08
1831,1.5591206103948707e-09
1832,0.0
1833,0.0
1834,0.0
1835,1.0588323107185715e-08
1836,9.409050427677812e-09
1837,7.653680356156656e-09
1838,6.312161904276081e-09
1839,0.0
1840,5.095750932326837e-09
1841,1.926164561183441e-09
1842,1.341653010911159e-09
1843,4.7255288571079745e-09
1844,6.586273748609983e-09
1845,1.1160455670733427e-08
1846,1.1709002656346001e-08
1847,7.550513103637968e-09
1848,7.24069959545659e-09
1849,4.1897072478036534e-09
1850,1.5614691761811628e-08
1851,1.0319102017319892e-08
1852,6.510545436100301e-09
1853,3.5831591027601917e-09
1854,4.676098175337984e-09
1855,1.0613874223963649e-09
1856,3.6240324075009767e-09
1857,0.0
1858,1.1255455234504552e-08
1859,1.2221216039165483e-08
1860,1.5562426014525954e-08
1861,1.0846716413936974e-08
1862,9.487771457372673e-09
1863,4.994620717013731e-09
1864,1.2945765348604255e-08
1865,1.3179164426446732e-08
1866,1.1677471434268227e-08
1867,6.79393608038481e-09
1868,6.421836395986702e-09
1869,6.8369265804335555e-09
1870,1.0321287824410774e-08
1871,0.0
1872,3.628403577593531e-09
1873,1.7958012854535355e-09
1874,5.377148060148329e-09
1875,4.005069165202713e-09
1876,1.813804439976252e-09
1877,4.329371083855449e-09
1878,1.2078177347163432e-09
1879,1.3440515367335593e-08
1880,1.0268554007097919e-08
1881,5.5780060570498335e-09
1882,3.3276925659464496e-09
1883,0.0
1884,1.9805090900604227e-09
1885,7.090199094506033e-09
1886,6.4534639854230136e-09
1887,7.834709769838355e-09
1888,2.53624587998047e-09
1889,1.2530273485467092e-09
1890,1.3108772956016423e-09
1891,5.099376032546843e-09
1892,0.0
1893,6.774258043407144e-09
1894,6.9316934414587195e-09
1895,1.8055843487019274e-09
1896,5.89702897624278e-10
1897,2.9133566670225264e-09
1898,6.224190496340043e-09
1899,3.8693048765026106e-09
1900,0.0
1901,8.941982265753268e-09
1902,1.4730852093691738e-09
1903,3.7801539676252105e-09
1904,2.1498500757388683e-09
1905,1.0321518084666081e-09
1906,1.5432553013283723e-09
1907,5.65712765521198e-09
1908,5.40252820258047e-09
1909,3.850688656825696e-09
1910,5.344150677544235e-10
