year,excellent_ADJ établissement_NOUN
1800,2.2009151834367913e-08
1801,7.143547975374531e-09
1802,2.2378401354217203e-09
1803,5.851017448321727e-09
1804,0.0
1805,8.528632911009026e-09
1806,0.0
1807,5.693910232196231e-09
1808,2.2660739951163578e-09
1809,2.25903047379461e-08
1810,0.0
1811,0.0
1812,3.200649700829672e-08
1813,5.751483289628823e-09
1814,1.8880061958270744e-08
1815,2.966945977789237e-08
1816,6.952811659743929e-09
1817,1.8682481339737933e-08
1818,7.152706427149269e-09
1819,6.210630232317271e-09
1820,9.493184904840746e-09
1821,7.88919063410276e-09
1822,0.0
1823,7.906149512848515e-09
1824,8.421112696055388e-10
1825,6.163809906922779e-09
1826,1.8496766784892316e-08
1827,1.013900075008678e-08
1828,1.7427371545863934e-08
1829,2.3147574523818548e-08
1830,3.1310507520032616e-09
1831,6.236482441579483e-09
1832,3.6530916958099624e-08
1833,1.9692167896323554e-08
1834,1.8669061851994684e-09
1835,1.285724948729694e-08
1836,8.736974699274924e-09
1837,2.7831563720326358e-09
1838,8.2058102535143e-09
1839,6.292327547896548e-09
1840,4.458782232319436e-09
1841,1.926164561183441e-09
1842,0.0
1843,2.953455480181333e-09
1844,1.097712254427563e-09
1845,6.138250796539069e-09
1846,1.7563503984519002e-09
1847,2.6966118227278457e-09
1848,1.6090443422100975e-09
1849,8.379414495607307e-09
1850,2.7155984128057753e-09
1851,1.2898877521649865e-09
1852,8.463708844885787e-09
1853,5.971931837933653e-09
1854,4.1565315633818045e-09
1855,1.2736649068756378e-08
1856,7.765783571755946e-09
1857,6.345961978126979e-09
1858,4.893676130990343e-09
1859,1.3748867822016564e-08
1860,3.661747127736703e-09
1861,9.431927461278633e-10
1862,6.776979422085105e-09
1863,1.1487627737949424e-08
1864,6.233146443435089e-09
1865,9.88437331983505e-09
1866,2.919367858567057e-09
1867,4.85281148598915e-09
1868,4.44588676984381e-09
1869,8.301982545866338e-09
1870,1.1468097582678638e-09
1871,3.18635318130589e-09
1872,1.2094679036067646e-08
1873,1.0774807712721213e-08
1874,1.7923826867161097e-09
1875,5.721527251978387e-09
1876,9.673623679873344e-09
