year,veut_VERB appliquer_VERB,veut_VERB rappliquer_VERB
1800,2.6725399493443547e-07,3.144164484325529e-09
1801,1.976381582835529e-07,0.0
1802,1.096541666356643e-07,0.0
1803,1.9503391968100914e-07,0.0
1804,1.8044511307380162e-07,0.0
1805,2.643876371166698e-07,0.0
1806,1.5272846098923765e-07,0.0
1807,1.3380689267705748e-07,0.0
1808,1.8128591250388126e-07,0.0
1809,1.8749953767382976e-07,2.259030518203531e-09
1810,8.658469141664682e-08,0.0
1811,1.2033967777824728e-07,0.0
1812,3.06728935584033e-07,0.0
1813,2.01301915581098e-07,0.0
1814,2.171207285073251e-07,0.0
1815,1.4295284245235962e-07,0.0
1816,1.62232268507978e-07,0.0
1817,1.6502858102285245e-07,1.556873407970727e-09
1818,2.455762455610966e-07,0.0
1819,1.9252952654369437e-07,0.0
1820,1.38837833674188e-07,0.0
1821,1.8342367980039853e-07,0.0
1822,1.5840473110984021e-07,0.0
1823,1.680056840314137e-07,0.0
1824,1.212640228231976e-07,1.6842225392110777e-09
1825,1.6290069027036225e-07,1.7610886082763955e-09
1826,1.673517004974201e-07,0.0
1827,1.705195558088235e-07,0.0
1828,1.8344601926401083e-07,0.0
1829,1.9032451348266477e-07,0.0
1830,2.243919681177431e-07,0.0
1831,2.1983601072861347e-07,0.0
1832,1.8400758960979147e-07,0.0
1833,2.061885879811598e-07,0.0
1834,1.764226311706807e-07,0.0
1835,1.701694714029145e-07,0.0
1836,1.0417162599196672e-07,0.0
1837,1.7325147894098336e-07,0.0
1838,1.4076121601647174e-07,0.0
1839,1.7478687652783265e-07,0.0
1840,1.5796827312897221e-07,0.0
1841,1.8555385850049788e-07,0.0
1842,1.200779422561027e-07,0.0
1843,1.6421212478689995e-07,0.0
1844,2.3491041645229416e-07,5.488561272137815e-10
1845,1.9307589127492975e-07,0.0
1846,1.7914774730343197e-07,0.0
1847,2.0817843449094653e-07,0.0
1848,1.7538583563236898e-07,0.0
1849,2.5473420350863307e-07,0.0
1850,2.3557815609365207e-07,0.0
1851,1.7026518150942138e-07,0.0
1852,1.4974254725075298e-07,0.0
1853,1.6482532316786092e-07,0.0
1854,1.6054603690918157e-07,5.195664454227256e-10
1855,1.5920811335945473e-07,0.0
1856,2.1071160460905958e-07,0.0
1857,1.2057327580805577e-07,0.0
1858,1.8547032709648192e-07,0.0
1859,2.0063163219674607e-07,0.0
1860,1.6935580049448618e-07,0.0
1861,1.4713806706367905e-07,0.0
1862,1.676172871611925e-07,0.0
1863,1.4534346348682448e-07,0.0
1864,1.5439023570706922e-07,0.0
1865,1.6521023837867688e-07,0.0
1866,1.3477747984325106e-07,0.0
1867,1.975094221506879e-07,0.0
1868,2.287161748881772e-07,0.0
1869,1.7434163623875065e-07,0.0
1870,2.0413213519532292e-07,5.734048791339319e-10
1871,1.4232377054668177e-07,0.0
1872,1.5662608632283082e-07,0.0
1873,2.0053114724305487e-07,0.0
1874,1.7983573741275904e-07,0.0
1875,1.5162046906880278e-07,0.0
1876,1.408721459483786e-07,0.0
1877,1.867814489742159e-07,0.0
1878,1.5641239770047832e-07,0.0
1879,1.893890839710366e-07,0.0
1880,2.0922178123328194e-07,0.0
1881,1.7570718569004384e-07,0.0
1882,1.6372247557683295e-07,1.3310770263785798e-09
1883,1.5419186638609972e-07,0.0
1884,1.8352717745528935e-07,0.0
1885,2.0561577684929944e-07,0.0
1886,1.264878903839417e-07,0.0
1887,1.749751845636638e-07,0.0
1888,1.4963850958338298e-07,0.0
1889,1.553753889993459e-07,0.0
1890,1.6189333962302044e-07,0.0
1891,1.8676465174394252e-07,0.0
1892,1.9996554101453512e-07,0.0
1893,1.884475437918809e-07,0.0
1894,1.663606354895819e-07,0.0
1895,1.2518718506271398e-07,0.0
1896,1.7219323922290641e-07,0.0
1897,1.2818769334899116e-07,0.0
1898,1.4881473475725215e-07,0.0
1899,1.2989809761165816e-07,0.0
1900,1.5209785431125056e-07,0.0
1901,2.0510671561169147e-07,0.0
1902,2.155614566845543e-07,0.0
1903,1.5930649510664807e-07,0.0
1904,1.5855144397391996e-07,0.0
1905,1.7959440867798548e-07,0.0
1906,1.5998413971374248e-07,0.0
1907,1.439996140106814e-07,0.0
1908,1.4635939749041427e-07,0.0
1909,1.529273419009769e-07,0.0
1910,1.4749855381523957e-07,0.0
1911,1.3673361820565333e-07,0.0
1912,1.6045017048327281e-07,0.0
1913,1.543170071727218e-07,0.0
1914,1.7143663910701434e-07,6.696743715117748e-10
1915,1.4961567273985565e-07,0.0
1916,1.318495463920044e-07,0.0
1917,1.294038014520993e-07,0.0
1918,1.1716103642811504e-07,0.0
1919,1.0681104356535798e-07,0.0
1920,1.2797072201919946e-07,0.0
1921,1.4085310340306023e-07,7.572747429129834e-10
