year,auraient_VERB acheté_VERB,auraient_VERB racheté_VERB
1800,5.345079756580162e-08,3.144164484325529e-09
1801,1.904946067554647e-08,0.0
1802,5.370816325012129e-08,0.0
1803,2.7304748684287006e-08,0.0
1804,4.449331569844617e-08,2.4718509461507665e-09
1805,1.7057265822018053e-08,0.0
1806,2.305335300434308e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,2.25903047379461e-08,0.0
1810,7.020380365929668e-08,0.0
1811,5.0141537144554604e-08,0.0
1812,4.800974906515876e-08,0.0
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,4.72001566720337e-08,0.0
1815,5.3944472000466703e-08,0.0
1816,6.952811659743929e-09,0.0
1817,4.514932783195036e-08,0.0
1818,4.410835785506606e-08,2.384235475716423e-09
1819,5.175525075173937e-08,6.210630232317271e-09
1820,4.6279275522920216e-08,8.306536791735653e-09
1821,5.5224333550540905e-08,8.875339574387908e-09
1822,4.0102463572111446e-08,1.0025615893027862e-09
1823,3.656594316225892e-08,2.9648061783404955e-09
1824,2.947389532437228e-08,0.0
1825,3.434122675116669e-08,2.641632912414593e-09
1826,5.9013494535520294e-08,0.0
1827,4.608636672287503e-08,7.373818444733615e-09
1828,4.953042775923677e-08,0.0
1829,3.3435387791769244e-08,5.143905745796928e-09
1830,5.4271545479878114e-08,0.0
1831,6.860130952190957e-08,3.1182412207897414e-09
1832,4.058990654698391e-08,9.470978667991403e-09
1833,5.79181431703546e-08,1.3900354645102198e-08
1834,2.7070139907436896e-08,6.534171426153534e-09
1835,2.8739734148075513e-08,2.2689263801112247e-09
1836,3.8980349614803345e-08,3.36037508930076e-09
1837,3.965997663613052e-08,5.5663127440652715e-09
1838,4.3553917805638775e-08,1.0730675015224733e-08
1839,2.3771015378315496e-08,1.3982950353153e-09
1840,2.4204817705708592e-08,9.554533164646273e-09
1841,3.980740004294603e-08,9.630822361827995e-09
1842,3.152884531232303e-08,4.695785538189057e-09
1843,5.9069112268161916e-08,1.5357969118667825e-08
1844,4.061535463506516e-08,2.195424508855126e-09
1845,3.627148004170522e-08,1.1160455892778032e-09
1846,2.6345256642912318e-08,1.7563503984519002e-09
1847,5.015698079091635e-08,7.011190739092399e-09
1848,3.378993085334514e-08,3.218088684420195e-09
1849,5.865590324560799e-08,1.6758829879393033e-09
1850,2.3761487000228954e-08,0.0
1851,5.0305622778523684e-08,3.8696632564949596e-09
1852,4.427170807730363e-08,0.0
1853,2.6873692604567623e-08,2.9859659189668264e-09
1854,2.1302223984775992e-08,4.676098175337984e-09
1855,1.963566731433275e-08,5.306937111981824e-10
1856,2.8992259260007813e-08,1.4496129630003907e-08
1857,2.4895696171256532e-08,9.763018171682347e-10
1858,3.9149409047922745e-08,3.9149408159744326e-09
1859,5.8050776630125256e-08,0.0
1860,3.524431591017674e-08,1.373155145145688e-09
1861,3.584132457490341e-08,9.431927461278633e-10
1862,4.382446761042047e-08,5.421583626485926e-09
1863,2.7969877081091e-08,2.4973103585068657e-09
1864,2.3973639073915365e-08,1.2466292886870178e-08
1865,2.2592853810010638e-08,1.0355057256106193e-08
1866,3.3572728597164314e-08,9.731225825149181e-10
1867,1.649955905236311e-08,4.85281148598915e-10
1868,3.013323279787983e-08,0.0
1869,2.8812763730456936e-08,4.883519144627257e-10
1870,4.4152177025580386e-08,5.734048791339319e-10
1871,4.779529660936532e-08,0.0
1872,2.963196266136947e-08,0.0
1873,2.573981916498269e-08,5.387403856360606e-09
1874,3.4652732239237594e-08,5.974609140757536e-10
1875,2.689117728493784e-08,1.1443054281912168e-09
1876,3.3857681103199866e-08,0.0
1877,3.030559980743419e-08,1.1751150275074451e-08
1878,4.046189516770937e-08,1.3889904337816006e-08
1879,4.154341226580982e-08,2.443730107160036e-09
1880,3.4656370218044685e-08,4.492492600149944e-09
1881,4.322954794133693e-08,9.064259565150223e-09
1882,1.7304001787010748e-08,2.6621540527571597e-09
1883,2.7173157945981075e-08,5.0554711528150165e-09
1884,2.442627788923346e-08,0.0
1885,1.6114089618213256e-08,3.86738152613475e-09
1886,2.6459201052375647e-08,6.453463874400711e-10
1887,3.1991731930247624e-08,1.9586774424595887e-09
1888,2.9800888867725916e-08,5.07249175996094e-09
1889,2.5687061366852504e-08,2.5060546970934183e-09
1890,2.5562107097698572e-08,5.243509182406569e-09
1891,1.784781566982474e-08,1.9122659011827636e-09
1892,2.005923960268774e-08,1.8805537127519756e-09
1893,1.7859408174558666e-08,2.463366621796581e-09
1894,3.150769600779313e-08,4.411077725308132e-09
1895,3.8519132772307785e-08,4.814891596538473e-09
1896,3.007484750128242e-08,7.076434549446731e-09
1897,4.078699333831537e-08,5.826713556089658e-10
1898,2.546259736391221e-08,3.3950129374460403e-09
1899,2.5426860617017155e-08,5.527578395003729e-10
1900,2.6474371139784125e-08,1.5573159428683425e-09
1901,3.576792906301307e-08,5.588738916095792e-10
1902,1.8659077838378835e-08,4.910283846193408e-10
1903,1.1880484152015924e-08,4.860198465905796e-09
1904,1.827372564378038e-08,1.0749250378694342e-09
1905,2.9416327151920996e-08,2.580379465655369e-09
1906,2.5206503551089554e-08,3.0865106026567446e-09
1907,2.8799922446864912e-08,1.131425531042396e-08
