year,pouvaient_VERB éveiller_VERB,pouvaient_VERB réveiller_VERB
1800,0.0,0.0
1801,0.0,1.4287095950749062e-08
1802,0.0,1.1189200677108602e-08
1803,1.950339223455444e-09,3.900678446910888e-09
1804,0.0,1.9774807569206132e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,4.5321479902327155e-09
1809,1.3554183553310395e-08,2.4849335034105025e-08
1810,0.0,2.8081521108447305e-08
1811,0.0,1.0028307073639553e-08
1812,0.0,2.6672083208723052e-08
1813,2.8757416004054903e-08,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,5.394447111228828e-09
1816,0.0,6.952811659743929e-09
1817,6.227493631882908e-09,0.0
1818,0.0,1.668964877410417e-08
1819,9.315945348475907e-09,2.794783426907088e-08
1820,0.0,1.542642635854463e-08
1821,0.0,1.3806083387635226e-08
1822,3.0076847679083585e-09,2.0051231786055723e-09
1823,6.917880934764753e-09,1.087095569118901e-08
1824,0.0,3.9579230559638745e-08
1825,3.522177216552791e-09,1.0566531649658373e-08
1826,2.642395191543301e-09,2.554315514657901e-08
1827,7.373818444733615e-09,3.6869092223668076e-09
1828,2.109629271274116e-08,1.1006761724274838e-08
1829,1.457439946506156e-08,6.001223074036943e-09
1830,3.026682549034376e-08,1.878630406793036e-08
1831,0.0,6.236482441579483e-09
1832,1.3529969367098715e-09,5.411987746839486e-09
1833,1.1583628500844156e-09,5.791814139399776e-09
1834,0.0,1.8669061851994684e-09
1835,4.5378527602224494e-09,9.832014313815307e-09
1836,6.72075017860152e-09,2.1506400216253496e-08
1837,1.1828414692161004e-08,1.461157062010443e-08
1838,1.8936485712828244e-09,9.468243078458727e-09
1839,1.2584655095793096e-08,1.3283802502428443e-08
1840,2.293087852933695e-08,1.9109066329292546e-08
1841,8.988767952189392e-09,1.4767261191650505e-08
1842,3.3541325272778977e-09,1.7441490030023488e-08
1843,2.953455480181333e-09,1.2995204023980023e-08
1844,1.2623690537338916e-08,1.3172547497219966e-08
1845,3.348136878855712e-09,1.674068350610014e-08
1846,5.269050973311096e-09,2.517435504501009e-08
1847,2.3730184040005042e-08,2.534815024546333e-08
1848,7.24069959545659e-09,2.091757700384278e-08
1849,1.256912263158938e-08,3.5193544078993e-08
1850,1.2220192857625989e-08,1.9009188889640427e-08
1851,1.0319102017319892e-08,4.514607354622058e-09
1852,9.114764054629632e-09,8.463708844885787e-09
1853,7.166318205520383e-09,3.5831591027601917e-09
1854,1.610655964157104e-08,4.676098175337984e-09
1855,1.3798036491152743e-08,1.5920811335945473e-08
1856,7.765783571755946e-09,9.836659486950339e-09
1857,5.369659827891837e-09,2.9289054737091647e-08
1858,3.4255731584664773e-09,1.2723557318849998e-08
1859,9.165912473463322e-09,1.6804172275897145e-08
1860,2.1055045706930287e-08,2.746310379109218e-08
1861,1.7920662287451705e-08,9.903524222920623e-09
1862,9.939570055905733e-09,1.490935552794781e-08
1863,7.991393324857654e-09,8.990317823531768e-09
1864,9.589456340108882e-09,1.2466292886870178e-08
1865,8.001635798393636e-09,1.1296426905005319e-08
1866,1.1677471434268227e-08,7.784980660119345e-09
1867,5.82337378318698e-09,1.3102591012170706e-08
1868,1.432563490055827e-08,3.457911734727759e-09
1869,2.0510780629479086e-08,8.790334682373668e-09
1870,7.454262984651905e-09,1.0321287824410774e-08
1871,8.496941816815706e-09,1.274541272522356e-08
1872,2.237515595027162e-08,7.256807155187062e-09
