year,put_VERB appliquer_VERB
1800,2.2009151834367913e-08
1801,7.143547975374531e-09
1802,1.1189200677108602e-08
1803,1.1702034896643454e-08
1804,1.2359254952798437e-08
1805,1.9900143755080535e-08
1806,0.0
1807,2.562259560079383e-08
1808,2.2660739951163578e-09
1809,1.581321384946932e-08
1810,2.3401267590372754e-09
1811,0.0
1812,8.00162425207418e-09
1813,2.8757416448144113e-09
1814,2.5173417128598885e-08
1815,0.0
1816,0.0
1817,0.0
1818,4.768470951432846e-09
1819,1.5526575580793178e-08
1820,9.493184904840746e-09
1821,1.1833785507064931e-08
1822,1.5038423839541792e-08
1823,1.9765373782121287e-09
1824,4.210556348027694e-09
1825,1.6730341556581152e-08
1826,1.5854372037438225e-08
1827,9.217273166939322e-09
1828,1.0089530988466322e-08
1829,3.429270423183084e-09
1830,1.2524203008013046e-08
1831,1.7150327380477393e-08
1832,1.6235963684607668e-08
1833,9.266902800675325e-09
1834,1.9602515166639023e-08
1835,6.050470346963266e-09
1836,1.4113575197427508e-08
1837,2.2265250976261086e-08
1838,2.9667161172142187e-08
1839,1.7478688718597368e-08
1840,2.356784811752277e-08
1841,2.6966304744746594e-08
1842,1.6770663080478698e-08
1843,2.8353174030826267e-08
1844,3.512679214168202e-08
1845,2.287893430263921e-08
1846,1.9905304071698993e-08
1847,7.550513103637968e-09
1848,1.689496542667257e-08
1849,2.4300303991253713e-08
1850,8.146795238417326e-09
1851,1.6768540334055615e-08
1852,3.971432604998881e-08
1853,2.8068079416243563e-08
1854,2.8056588163849483e-08
1855,2.653468555990912e-08
1856,1.65670055451983e-08
1857,3.026535466688074e-08
1858,3.2787628612140907e-08
1859,1.8331824946926645e-08
1860,2.5174511364411956e-08
1861,3.1125360067107977e-08
1862,2.0782737308877586e-08
1863,6.493007020935693e-09
1864,1.821996598039277e-08
1865,2.2592853810010638e-08
1866,3.0166798836717135e-08
1867,1.649955905236311e-08
1868,2.3711395513714706e-08
1869,1.5138908793232986e-08
1870,1.8922360567330543e-08
1871,2.0180236148803488e-08
1872,2.4794090336399677e-08
1873,8.979006871356887e-09
1874,1.7923827755339516e-08
