year,grand_ADJ régal_NOUN
1800,1.1633408547595536e-07
1801,4.286128785224719e-08
1802,8.503792514602537e-08
1803,1.3652374342143503e-08
1804,2.4718509905596875e-08
1805,4.8328921309348516e-08
1806,6.339671898558663e-08
1807,5.693910232196231e-09
1808,9.064295625194063e-08
1809,7.90660692473466e-08
1810,9.126494404654295e-08
1811,7.771937760026049e-08
1812,5.601137331723294e-08
1813,6.614205716459765e-08
1814,3.1466772298927026e-08
1815,2.966945977789237e-08
1816,1.622322720606917e-08
1817,4.981994905506326e-08
1818,5.6029534789558966e-08
1819,7.24573467891787e-08
1820,4.153268307049984e-08
1821,6.212737702071536e-08
1822,4.912551787583652e-08
1823,4.941343334508019e-08
1824,8.168479581627253e-08
1825,3.610231757988913e-08
1826,8.631824499616414e-08
1827,2.1199728195142598e-08
1828,4.494427585655103e-08
1829,4.115124596637543e-08
1830,9.080046936560393e-08
1831,3.741889287312006e-08
1832,6.764985016616265e-08
1833,6.370995464521911e-08
1834,3.4537765314368585e-08
1835,7.714349692378164e-08
1836,3.8308276550935716e-08
1837,5.0096815584765864e-08
1838,5.23909449157145e-08
1839,7.410963576148788e-08
1840,4.0129037870428874e-08
1841,5.3290551527140906e-08
1842,3.4212153110502186e-08
1843,4.902736017164955e-08
1844,2.6345094994439933e-08
1845,3.459741293454499e-08
1846,3.21997570829069e-08
1847,3.343798482546845e-08
1848,3.137636639394259e-08
1849,3.100383594301093e-08
1850,5.4311968256115506e-08
1851,5.417528714524167e-08
1852,2.9948509450150596e-08
1853,2.508211416341055e-08
1854,5.871100938747986e-08
1855,3.343370380548549e-08
1856,1.5531567143511893e-08
1857,5.808995862111033e-08
1858,3.42557329169324e-08
1859,4.6338776371612767e-08
1860,4.7144995019010594e-08
1861,3.206855314630275e-08
1862,4.4728065029531194e-08
1863,4.04564275413577e-08
1864,5.6098315326380543e-08
1865,3.812543880599151e-08
1866,3.6978658357611494e-08
1867,4.0278337110066786e-08
1868,2.716930747048707e-08
1869,3.662639391777134e-08
1870,1.77755516972411e-08
1871,6.585129597169725e-08
1872,3.9912439575573444e-08
1873,4.429643174486131e-08
