year,devaient_VERB emporter_VERB,devaient_VERB remporter_VERB
1800,6.288328968651058e-09,0.0
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,2.2378401354217203e-09,0.0
1803,9.751696339321825e-09,1.950339223455444e-09
1804,2.4718509461507665e-09,0.0
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,2.8469550272802735e-08,0.0
1808,0.0,0.0
1809,0.0,9.036122072814123e-09
1810,1.6380887757350138e-08,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,8.00162425207418e-09
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,1.8880564667256294e-08,5.394447111228828e-09
1816,0.0,1.1588019432906549e-08
1817,1.556873407970727e-09,1.0898113522728181e-08
1818,0.0,2.384235475716423e-09
1819,0.0,7.24573512300708e-09
1820,2.3732962262101864e-09,0.0
1821,1.4792232327920374e-08,7.88919063410276e-09
1822,1.604098542884458e-08,1.4035862250239006e-08
1823,4.941343334508019e-09,1.9765373782121287e-09
1824,6.736890156844311e-09,4.210556348027694e-09
1825,4.4027217427355936e-09,2.641632912414593e-09
1826,1.7615968683770689e-09,8.807984341885344e-10
1827,1.1060727445055818e-08,9.217273166939322e-09
1828,9.172301251858528e-10,6.420610709767516e-09
1829,1.971830521085849e-08,6.858540846366168e-09
1830,4.174734336004349e-09,0.0
1831,0.0,1.5591206103948707e-09
1832,5.411987746839486e-09,4.058990921151917e-09
1833,8.108539617524002e-09,1.50587169400751e-08
1834,3.733812370398937e-09,3.733812370398937e-09
1835,1.285724948729694e-08,6.050470346963266e-09
1836,1.6129799718100912e-08,6.048674894287842e-09
1837,1.0436836284100082e-08,2.7831563720326358e-09
1838,2.5248647617104325e-09,1.0730675015224733e-08
1839,3.4957374772659477e-09,6.9914751765765e-10
1840,1.9109066329292546e-08,1.9746034141121527e-08
1841,1.7977535904378783e-08,9.630822361827995e-09
1842,2.95163662400455e-08,4.024959032733477e-09
1843,2.3627644285539873e-09,7.678984559333912e-09
1844,2.195424464446205e-08,1.3172547497219966e-08
1845,2.0088821273134272e-08,1.1160455670733427e-08
1846,1.3465353276842507e-08,9.952652035849496e-09
1847,2.9123407685460734e-08,5.9325460100012606e-09
1848,3.459445352405055e-08,8.04522137798358e-09
1849,3.603148357456121e-08,8.379414939696517e-10
1850,4.752297222410107e-09,1.6293590476834652e-08
1851,1.870337307252612e-08,7.094382858952031e-09
1852,1.7578472011337e-08,5.859490670445666e-09
1853,1.2541057081705276e-08,4.180352064508952e-09
1854,1.4028294081924741e-08,3.63696517347023e-09
1855,1.2205955357558196e-08,3.714855978387277e-09
1856,2.7439103433835044e-08,6.212626857404757e-09
1857,2.1966791052818735e-08,2.9289055625270066e-09
1858,8.808616946964776e-09,5.3830437884982985e-09
1859,1.8331824946926645e-08,1.5276520048956854e-09
1860,2.334363813361051e-08,2.746310290291376e-09
1861,2.0750240636857598e-08,8.017138064531082e-09
1862,2.1686334505943705e-08,4.517986262886353e-10
1863,3.5461809488879226e-08,5.9935452156878455e-09
1864,2.5412058235474433e-08,1.102787461348953e-08
1865,2.6829013677343028e-08,4.706844247692743e-09
1866,3.454585240092456e-08,2.432806400776144e-09
1867,3.008743121313273e-08,2.91168689159349e-09
1868,1.5807597009143137e-08,2.4699371437009177e-09
1869,1.8557372527538973e-08,4.883519144627257e-10
1870,1.548193218070537e-08,8.027668307875047e-09
1871,1.5931766128574054e-08,1.4869648623516696e-08
1872,1.4513614310374123e-08,3.0236697590169115e-09
1873,3.112722168907567e-08,1.7958012854535355e-09
1874,1.9716210886144836e-08,5.974609140757536e-10
1875,2.7463329388410784e-08,7.437985338754061e-09
1876,1.6928840551599933e-08,9.673623679873344e-09
1877,2.4120781816350245e-08,2.4739263970730008e-09
1878,2.959153455606156e-08,1.2078177347163432e-09
1879,3.9099681714560575e-08,8.55305515301552e-09
1880,5.776061406947974e-09,8.343199908722454e-09
1881,2.719277958362909e-08,1.1156012114099667e-08
1882,1.5307385581309063e-08,2.6621540527571597e-09
1883,1.579834751908038e-08,6.319338941018771e-10
1884,1.5844072720483382e-08,3.300848483434038e-09
1885,1.6114089618213256e-08,3.2228177904158883e-09
1886,2.2587123282846733e-08,2.5813855497602844e-09
1887,2.415702127223085e-08,5.223139698529167e-09
1888,2.4728397107764977e-08,3.1703073499755874e-09
1889,8.14467782106476e-09,1.8795409673089125e-09
1890,1.1142456735058204e-08,5.243509182406569e-09
1891,1.3385862196457765e-08,3.1871101313640793e-09
1892,1.1283322720601063e-08,6.268512375839919e-10
1893,2.4017824173938607e-08,1.847525021858587e-09
