year,fallut_VERB abattre_VERB,fallut_VERB rabattre_VERB
1800,2.2009151834367913e-08,0.0
1801,0.0,0.0
1802,1.5664880947952042e-08,0.0
1803,0.0,0.0
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,6.798221985349073e-09,0.0
1809,2.9367397402779716e-08,0.0
1810,0.0,4.680253518074551e-09
1811,1.7549536934780008e-08,0.0
1812,2.400487453257938e-08,0.0
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,2.6466848268569265e-08,0.0
1818,2.1458118837358597e-08,0.0
1819,9.315945348475907e-09,6.210630232317271e-09
1820,4.746592452420373e-09,0.0
1821,1.1833785507064931e-08,0.0
1822,1.1028177482330648e-08,0.0
1823,5.929612356680991e-09,0.0
1824,3.621078548121659e-08,0.0
1825,1.4088708866211164e-08,0.0
1826,2.2019960965735663e-08,0.0
1827,8.295545583791863e-09,0.0
1828,3.668920500743411e-09,0.0
1829,3.257806824308318e-08,0.0
1830,1.3567886369969528e-08,4.174734336004349e-09
1831,4.677361609140007e-09,0.0
1832,8.117981842303834e-09,0.0
1833,1.853380560135065e-08,1.0425265983826648e-08
1834,1.6802156110884425e-08,0.0
1835,2.193295500774184e-08,0.0
1836,1.2769425516978572e-08,0.0
1837,7.653680356156656e-09,0.0
1838,1.7674054220151447e-08,1.8936485712828244e-09
1839,1.11863602825224e-08,0.0
1840,2.4841785517537573e-08,0.0
1841,1.6051371787284552e-08,0.0
1842,7.379091560011375e-09,0.0
1843,1.5357969118667825e-08,0.0
1844,1.1525978393933656e-08,0.0
1845,1.897277535078956e-08,5.022205318283568e-09
1846,8.196302303531411e-09,4.6836010625384006e-09
1847,1.1325769655456952e-08,4.853901280910122e-09
1848,8.84974404868899e-09,0.0
1849,1.6758829879393033e-09,0.0
1850,1.425689166723032e-08,0.0
1851,1.2898877521649865e-08,3.2247193804124663e-09
1852,1.7578472011337e-08,1.3021090872200602e-09
1853,2.030456869306363e-08,5.971931837933653e-10
1854,5.195664343204953e-09,0.0
1855,1.8574279891936385e-08,0.0
1856,4.659470143053568e-09,1.5531567143511893e-09
1857,1.8061584228235006e-08,4.881509085841174e-10
1858,1.1744822003834088e-08,4.893676019968041e-10
1859,4.582956236731661e-09,0.0
1860,1.327383358784573e-08,0.0
1861,6.13075279431996e-09,0.0
1862,1.1294965851504912e-08,1.3553959066214816e-09
1863,8.490855130105501e-09,0.0
1864,1.342523781033833e-08,0.0
1865,1.0825742080555756e-08,9.41368871743009e-10
1866,6.3252967308358166e-09,4.865612801552288e-09
1867,1.747012134956094e-08,0.0
1868,1.432563490055827e-08,0.0
1869,1.7580669364747337e-08,9.767038289254515e-10
1870,6.880858549607183e-09,0.0
1871,2.2304472935275044e-08,0.0
1872,7.861540751719076e-09,0.0
1873,1.7359413462259e-08,0.0
1874,1.6131444624534197e-08,6.572069999322139e-09
1875,3.1468399441791917e-08,0.0
1876,4.232210137899983e-09,6.04601479992084e-10
1877,8.658742167710898e-09,6.184815992682502e-10
1878,1.6305540029293297e-08,6.039088784604019e-09
1879,2.443730107160036e-09,0.0
1880,5.134277003548959e-09,6.417846254436199e-10
1881,1.8128519130300447e-08,0.0
1882,1.2645231528551903e-08,0.0
1883,8.847074184359371e-09,0.0
1884,1.1883054540362536e-08,3.300848483434038e-09
1885,1.0957580620640783e-08,5.156508553483263e-09
1886,5.808117542471791e-09,1.871504551331782e-08
1887,9.793386546164129e-09,1.3057849246322917e-09
1888,7.60873763994141e-09,6.340614699951175e-09
1889,1.1277245803853475e-08,0.0
1890,1.1797895993481688e-08,6.554386478008212e-10
1891,1.211101796627645e-08,3.824531802365527e-09
1892,6.268512375839919e-10,0.0
1893,4.926733243593162e-09,6.15841644346915e-09
1894,5.041231432301174e-09,1.8904617871129403e-09
1895,7.824199066419624e-09,6.018614495673091e-10
1896,1.1204354777305525e-08,1.179405795248556e-09
1897,1.0488084178916779e-08,1.7480140668268973e-09
1898,4.52668391659472e-09,0.0
1899,1.492446166651007e-08,2.2110313580014918e-09
1900,7.786579381274805e-09,0.0
1901,1.117747761014698e-08,1.676621730339889e-09
1902,8.838511256215043e-09,0.0
1903,4.860198465905796e-09,0.0
1904,2.6873125946735854e-09,0.0
1905,5.160758931310738e-09,5.160759042333041e-10
1906,7.716276506641861e-09,4.115347618238729e-09
1907,2.5714217422034835e-09,1.5428529565042481e-09
1908,5.893666887857307e-09,0.0
1909,1.1001967337165297e-08,0.0
1910,1.1222716089775986e-08,0.0
1911,5.852411444351446e-09,0.0
1912,1.1460726589973547e-08,0.0
1913,1.2196876397752021e-08,0.0
1914,1.339348720819089e-08,0.0
1915,8.246533234057551e-09,0.0
1916,1.538244731591476e-08,0.0
1917,2.1932848870420685e-09,1.2063066989753679e-08
1918,1.6080926812378493e-08,0.0
1919,1.1049418269237776e-08,0.0
1920,9.086678076641874e-09,0.0
1921,3.0290989716519334e-09,7.572747429129834e-10
1922,7.377935595798135e-09,2.951174193910333e-09
1923,8.492758496458919e-09,0.0
1924,1.4180787211159895e-08,0.0
1925,6.598906754362588e-09,1.0998177923937646e-09
1926,5.57306911730393e-09,2.229227691330493e-09
1927,5.574612327308159e-09,3.3447675740205796e-09
1928,9.14083297942625e-09,0.0
1929,3.342121912552898e-09,3.342121912552898e-09
1930,9.453243521306831e-09,0.0
1931,7.983749661377715e-09,2.2810713318222042e-09
1932,0.0,0.0
1933,1.8353059516584835e-08,0.0
1934,5.990790086229936e-09,0.0
1935,5.98414207075848e-09,1.196828414151696e-09
1936,2.0612015205756506e-08,0.0
1937,3.777335333410292e-09,0.0
1938,1.2965214679638848e-08,0.0
1939,1.3764645423464117e-08,1.5294050470515685e-09
1940,1.0143131667916805e-08,0.0
1941,1.4757512545315876e-08,0.0
1942,1.2136847082899749e-08,0.0
1943,1.7419411690866582e-08,2.9032352077962287e-09
1944,0.0,0.0
1945,6.535512131478072e-09,0.0
1946,5.568441707737293e-09,0.0
1947,1.4305045148432782e-08,1.1920870957027319e-09
1948,1.3046265401328583e-08,3.2615663503321457e-09
1949,7.853606653895895e-09,9.817008317369869e-10
1950,7.444753258312176e-09,0.0
1951,1.4925962688039363e-08,0.0
1952,9.490323193972472e-09,0.0
1953,6.464296653518886e-09,2.1547654771580937e-09
1954,1.2704297169818801e-08,9.772536113672459e-10
1955,8.447047505910632e-09,0.0
1956,7.849027205963921e-09,0.0
1957,1.6786572132332367e-08,0.0
1958,3.3088973783179654e-09,0.0
1959,5.425523585955716e-09,0.0
1960,5.536666680683311e-09,6.920833350854139e-10
1961,8.33779090214648e-09,0.0
1962,5.0735651235811474e-09,6.341956404476434e-10
1963,7.759263453976928e-09,0.0
1964,4.258777774879263e-09,1.2167936658258327e-09
1965,7.660860390501512e-09,0.0
1966,4.431259803538978e-09,5.539074754423723e-10
