year,doivent_VERB amener_VERB,doivent_VERB ramener_VERB
1800,8.803660733747165e-08,7.860410988769218e-08
1801,1.262026785298076e-07,1.1905912700171939e-08
1802,1.0741632650024258e-07,1.7902721083373763e-08
1803,1.170203560718619e-07,3.315576790896557e-08
1804,1.3100809326260787e-07,0.0
1805,1.648869130121966e-07,3.695740957709859e-08
1806,6.627838899930794e-08,2.881669125542885e-08
1807,7.402083213037258e-08,1.9928686256776018e-08
1808,2.0847880932706175e-07,2.039466551195801e-08
1809,9.487928309681593e-08,2.25903047379461e-08
1810,1.0764583180389309e-07,3.2761775514700275e-08
1811,6.267691787797958e-08,0.0
1812,9.068507722531649e-08,0.0
1813,7.476928232108548e-08,1.7254450312975678e-08
1814,4.72001566720337e-08,3.4613449884091096e-08
1815,1.2407228666688752e-07,2.966945977789237e-08
1816,1.4832664874120383e-07,4.6352077731626196e-09
1817,1.1676550570882682e-07,3.89218364205135e-08
1818,1.323250700124845e-07,7.152706427149269e-09
1819,2.898294049202832e-08,3.3123360054787554e-08
1820,1.4358441546846734e-07,5.933240565525466e-09
1821,1.1833785862336299e-07,5.719663320746804e-08
1822,9.323822780515911e-08,3.408709403629473e-08
1823,8.004976592701496e-08,1.7788837070042973e-08
1824,1.625274705929769e-07,3.03160057057994e-08
1825,1.171123926724249e-07,2.993850500843109e-08
1826,1.3035817403306282e-07,1.4973572604048968e-08
1827,1.3365045958835253e-07,4.055600300034712e-08
1828,1.2290882978049922e-07,3.760643352279658e-08
1829,1.0973665354185869e-07,2.0575622983187714e-08
1830,1.6177095574221312e-07,4.174734158368665e-08
1831,1.4811645598911127e-07,1.091384405071949e-08
1832,1.1906372776593344e-07,9.470978667991403e-09
1833,1.6912098033117218e-07,1.1583628278799551e-08
1834,1.5962048394158046e-07,2.6136685704614138e-08
1835,1.2176570862720837e-07,2.7227116561334697e-08
1836,1.397915951883988e-07,1.1425274948351216e-08
1837,1.8438410620547074e-07,1.530736071231331e-08
1838,1.3949878052699205e-07,3.787297231383491e-08
1839,1.433252379001715e-07,2.516931019158619e-08
1840,1.8281006930465082e-07,1.8472096741106725e-08
1841,1.3097918838411715e-07,1.6051371787284552e-08
1842,1.5160678401571204e-07,2.2808102073668124e-08
1843,1.66574892546123e-07,1.8902115428431898e-08
1844,1.3007890231619967e-07,2.9089374464774664e-08
1845,1.6071057018507418e-07,2.6785095030845696e-08
1846,1.8207498442279757e-07,1.9319854160926297e-08
1847,1.8714486316184775e-07,2.8044762956369595e-08
1848,1.7538583563236898e-07,2.574470947536156e-08
