year,devrait_VERB égaler_VERB
1921,1.5145494858259667e-09
1922,1.0329110011753073e-08
1923,5.307974060286824e-09
1924,3.867487219366694e-09
1925,3.299453377181294e-09
1926,6.687683296036084e-09
1927,6.689535148041159e-09
1928,4.570416489713125e-09
1929,3.342121912552898e-09
1930,4.201441416995522e-09
1931,6.843213995466613e-09
1932,6.575722188983946e-09
1933,1.0323596200123575e-08
1934,0.0
1935,2.393656828303392e-09
1936,3.6374143697059935e-09
1937,1.0072894518486919e-08
1938,1.2965214679638848e-08
1939,3.058810094103137e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,4.357008087652048e-09
1946,2.7842208538686464e-09
1947,0.0
1948,6.523132700664291e-09
1949,5.890204768377316e-09
1950,0.0
1951,2.1322803522849654e-09
1952,7.381362632230548e-09
1953,5.386913581872932e-09
1954,6.840775057526116e-09
1955,1.8771215692936494e-09
1956,0.0
1957,0.0
1958,6.617794756635931e-09
1959,1.5501495642666896e-09
1960,3.460416619915918e-09
1961,0.0
1962,1.9025869768540815e-09
1963,3.2330267352165265e-09
1964,3.6503808864551957e-09
1965,2.73602163147757e-09
1966,3.8773522170743036e-09
1967,2.9582012395223956e-09
1968,3.5931326802796093e-09
1969,4.541757636644661e-09
1970,5.058597540852361e-09
1971,2.569198631618974e-09
1972,6.156176013405457e-09
1973,6.615844760915479e-09
1974,6.1881286761433785e-09
1975,3.4268881066168433e-09
1976,4.570821499072508e-09
1977,5.289103821581875e-09
1978,7.72276909088987e-09
1979,9.363157360553487e-09
1980,4.548120546843393e-09
1981,1.8976649140967083e-09
1982,3.1037510339615437e-09
1983,3.157658134966823e-09
1984,3.479405208395292e-09
1985,4.210890747202711e-09
1986,4.196139880008332e-09
1987,3.0554083707556856e-09
1988,4.197587610832443e-09
1989,1.6464366536794728e-09
1990,3.2691906959314565e-09
1991,4.10302547493302e-09
1992,2.7549720282848966e-09
1993,5.539207315052863e-09
1994,6.329911705904578e-09
1995,1.626735190995987e-09
1996,2.6690460952494277e-09
1997,3.835915585170824e-09
1998,3.814503379828693e-09
1999,4.570201106446348e-09
2000,1.3254094710646314e-08
2001,1.2267393323384113e-08
2002,1.0953053575235572e-08
2003,7.91715315529018e-09
2004,5.726228824443069e-09
2005,2.702249757291497e-09
2006,3.294311934354255e-09
2007,7.988958938831558e-10
2008,1.2772318758180745e-09
2009,1.907277002999308e-09
2010,4.2514138876015295e-09
2011,1.529588788962144e-09
2012,0.0
2013,8.367375126105969e-10
2014,6.496335691608124e-10
2015,3.989835573037226e-09
2016,1.2428040818690533e-09
2017,2.0124890642847504e-09
2018,1.5488800242380307e-09
2019,1.2754939326953263e-09
