year,dut_VERB envoyer_VERB,dut_VERB renvoyer_VERB
1800,0.0,0.0
1801,2.8574191901498125e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,6.7770917766551975e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,0.0,2.3176038865813098e-09
1817,1.556873407970727e-09,0.0
1818,3.2187177367859476e-08,1.5497530370112145e-08
1819,0.0,0.0
1820,0.0,0.0
1821,4.930744257336528e-09,0.0
1822,1.2030739071633434e-08,4.010246357211145e-09
1823,9.882686891060644e-10,0.0
1824,3.3684450784221553e-09,0.0
1825,1.7610886970942374e-08,1.0566531649658373e-08
1826,1.145037931138404e-08,0.0
1827,5.530363722527909e-09,0.0
1828,2.8434133270138773e-08,0.0
1829,1.2859763920403111e-08,0.0
1830,1.3567886369969528e-08,0.0
1831,6.236482441579483e-09,2.3386808933878456e-08
1832,8.117981842303834e-09,0.0
1833,3.4750886612755494e-08,2.3167257001688313e-09
1834,9.334530925997342e-10,9.334530925997342e-10
1835,2.2689263801112247e-08,3.025235173481633e-09
1836,2.2178475944656384e-08,0.0
1837,2.2961039292113128e-08,1.3915782304252389e-08
1838,2.7773513266993177e-08,6.943378316748294e-09
1839,4.4046291947097416e-08,0.0
1840,2.6752692505738196e-08,4.458782232319436e-09
1841,2.43980835534785e-08,1.2841097074556274e-08
1842,2.683306021822318e-08,6.037438549100216e-09
1843,1.063243981747064e-08,8.860366662588604e-09
1844,3.0735943568060975e-08,3.2931368743049916e-09
1845,3.627148004170522e-08,2.7901139176833567e-09
1846,2.0490753982471688e-08,5.854501328173001e-09
1847,2.1572894581822766e-08,1.1325769655456952e-08
1848,4.827133182061516e-08,2.172209789819135e-08
1849,3.4355601030711114e-08,1.256912263158938e-08
1850,4.3449574604892405e-08,6.788996032014438e-09
1851,4.450112811582585e-08,5.159551008659946e-09
1852,2.799534470909748e-08,1.3021090872200602e-09
1853,3.702597695109944e-08,2.9859659189668264e-09
1854,2.4939190268469247e-08,3.117398783558656e-09
1855,2.4411910715116392e-08,5.306937111981824e-09
1856,4.504154560436291e-08,5.694908100650764e-09
1857,3.221796163188628e-08,1.3180074809326925e-08
1858,4.159624467092726e-08,4.404308473482388e-09
1859,2.64793023063703e-08,3.055304009791371e-09
1860,7.003091440083153e-08,8.238931314963338e-09
1861,3.961409689168249e-08,1.131831339762357e-08
1862,4.879425219428413e-08,7.228778020618165e-09
1863,4.04564275413577e-08,6.99246927027275e-09
1864,3.8837296045812764e-08,5.274200631788517e-09
1865,4.330296832222302e-08,1.0825742080555756e-08
1866,5.1088935748566655e-08,9.244664589402873e-09
1867,8.055667422013357e-08,1.1161466417775046e-08
1868,5.5820578381826635e-08,6.421836395986702e-09
1869,5.860222884734867e-08,1.660396442559886e-08
1870,4.013834242755365e-08,1.548193218070537e-08
1871,6.903765381593985e-08,1.5931766128574054e-08
1872,7.135860613516343e-08,3.205089882385437e-08
1873,5.7465641134513135e-08,2.2746817762708815e-08
1874,7.34876905994497e-08,5.377148060148329e-09
1875,5.607096653648114e-08,1.0298748520654044e-08
1876,9.25040239962982e-08,2.0556450763820067e-08
1877,6.308512467967375e-08,1.2988113695655557e-08
1878,6.944951991272319e-08,1.3889904337816006e-08
1879,4.7652736867576095e-08,2.077170613290491e-08
1880,3.9790645445236805e-08,1.0268554007097919e-08
1881,5.020205406935929e-08,1.9523021421719022e-08
1882,7.254369904785563e-08,1.7969540522244642e-08
1883,6.635305993540896e-08,1.516641390253426e-08
1884,7.525934364593923e-08,3.9610181801208455e-09
1885,5.994441210077639e-08,1.8692343672910283e-08
1886,7.421483161351716e-08,2.3232470169887165e-08
1887,5.288428894800745e-08,1.3057849024278312e-08
1888,6.467426771905593e-08,1.7119660356001987e-08
1889,8.207329216247672e-08,1.7542383545787743e-08
1890,7.013193226157455e-08,1.5075089621063853e-08
1891,6.69293100941104e-08,2.677172439291553e-08
1892,7.020733505669341e-08,1.7551833764173352e-08
1893,6.035248389935077e-08,1.847524977449666e-08
1894,7.246769939683873e-08,2.079507943619774e-08
1895,6.078800396380757e-08,1.023164486468886e-08
1896,1.0319800480829144e-07,1.9460195233023114e-08
1897,7.283392022827684e-08,1.3401440845939305e-08
1898,6.903192684148962e-08,2.6028432742464247e-08
1899,7.628058540376514e-08,1.1055156790007459e-08
1900,5.191053276121238e-08,1.453494924419374e-08
1901,5.756401222356544e-08,1.900171220370339e-08
1902,4.959386856739911e-08,1.1293653123800595e-08
1903,6.480264147512571e-08,1.7280704867062013e-08
1904,9.781818022247535e-08,9.674325340824907e-09
1905,5.934872859825191e-08,1.0321517862621477e-08
1906,9.722509020093639e-08,4.115347618238729e-09
1907,6.222840198688573e-08,8.228549397415463e-09
1908,6.72860309691714e-08,2.0627833663411366e-08
1909,8.086446001698278e-08,1.4302557360679202e-08
1910,7.749018493541371e-08,2.6186338430989053e-08
1911,8.991432309812808e-08,1.702519725199636e-08
1912,6.511776717843532e-08,1.0418842677495377e-08
1913,7.795394907361697e-08,1.6969567084856862e-08
1914,6.897646187553619e-08,2.0759905794420774e-08
1915,4.7123048574349014e-08,1.6493066468115103e-08
1916,4.9443578120644815e-08,2.197492321442951e-08
1917,8.882803825827068e-08,1.2063066989753679e-08
1918,5.743188324913717e-08,1.6080926812378493e-08
