year,faut_VERB éveiller_VERB,faut_VERB réveiller_VERB
1800,0.0,8.174827570428533e-08
1801,5.476719877606229e-08,2.6193008650921e-08
1802,3.1329761895904085e-08,4.0281122437590966e-08
1803,7.801356893821776e-09,2.9255089017965474e-08
1804,4.69651695311768e-08,3.213406074564773e-08
1805,1.9900143755080535e-08,1.421438877713399e-08
1806,3.7461699520235925e-08,2.305335300434308e-08
1807,1.7081731584767113e-08,5.693910232196231e-09
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,3.388545621874073e-08,9.036122072814123e-09
1810,2.3401266702194334e-08,1.6380887757350138e-08
1811,3.5099073869560016e-08,2.757784400841956e-08
1812,0.0,6.13457871168066e-08
1813,2.8757416448144113e-09,2.8757416004054903e-08
1814,0.0,4.405347908686963e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,4.6352077731626196e-09
1817,2.6466848268569265e-08,1.5568733857662664e-08
1818,2.2650237241350624e-08,3.695565098382758e-08
1819,6.210630232317271e-09,1.9666995143552413e-08
1820,9.493184904840746e-09,4.50926265216367e-08
1821,2.2681422962023134e-08,3.550135829755163e-08
1822,1.0025615893027862e-08,1.9048670196752937e-08
1823,2.9648061783404955e-09,1.8777104315859106e-08
1824,2.5263338088166165e-09,3.452656116564867e-08
1825,7.924898959288385e-09,3.522177394188475e-08
1826,1.4092774947016551e-08,8.80798456392995e-09
1827,1.013900075008678e-08,1.6591091167583727e-08
1828,1.1006761724274838e-08,2.5682442839070063e-08
1829,7.715858174606183e-09,3.600733933240008e-08
1830,1.2524203008013046e-08,2.7135772739939057e-08
1831,1.4032085715598441e-08,1.5591206548037917e-08
1832,1.2176972319366541e-08,2.570694235259907e-08
1833,8.108539617524002e-09,4.6334513115198206e-08
1834,1.213489042584115e-08,2.6136685704614138e-08
1835,6.806779140333674e-09,2.8739734148075513e-08
1836,1.5457725766054864e-08,1.68018754465038e-08
1837,4.87052354003481e-09,1.7394727436226276e-08
1838,5.049729523420865e-09,1.64116205070286e-08
1839,6.292327547896548e-09,1.957613093850341e-08
1840,5.732719632334238e-09,1.8472096741106725e-08
1841,1.1556987367100646e-08,2.5682194149112547e-08
1842,2.1466448174578545e-08,3.5553803456878086e-08
1843,1.2404512972352677e-08,8.269675610961258e-09
1844,3.2931368743049916e-09,2.305195678786731e-08
1845,3.348136878855712e-09,2.0646844234306627e-08
1846,4.6836010625384006e-09,1.6978054517835517e-08
1847,5.3932236454556914e-09,4.0449176452739266e-08
1848,3.218088684420195e-09,3.861706332486392e-08
1849,8.379414495607307e-09,2.513824526317876e-08
1850,9.504594444820214e-09,1.4935791270431764e-08
1851,9.674158363282004e-09,1.9993260380601896e-08
1852,1.4974254725075298e-08,2.0833745395520964e-08
1853,5.3747388761848924e-09,2.8665272822081533e-08
1854,6.234797567117312e-09,2.286092382064453e-08
1855,8.491099379170919e-09,9.552486801567284e-09
1856,5.177189232874468e-10,8.28350277259915e-09
1857,4.881508974818871e-09,2.9777204701986193e-08
1858,1.3702292633865909e-08,1.761723389392955e-08
1859,8.147477359443656e-09,2.800695320104296e-08
1860,7.323494255473406e-09,3.4328881071132855e-08
1861,1.7920662287451705e-08,2.169343282787395e-08
1862,8.132375661773494e-09,2.2589931703009825e-08
1863,2.0477944673302773e-08,6.493007020935693e-09
1864,5.274200631788517e-09,1.6302074357099627e-08
1865,6.589582213223366e-09,1.4120533187167439e-08
1866,6.811858188626729e-09,1.751620715140234e-08
1867,5.82337378318698e-09,3.396968040192405e-08
1868,1.531360993567432e-08,1.877152122631287e-08
1869,2.9301114867763545e-09,2.5882650689368347e-08
1870,1.1468097582678638e-09,2.9243649279919737e-08
1871,1.0621176826930423e-08,3.3987767267262825e-08
1872,1.5118347462816928e-08,2.53988243770209e-08
1873,7.781805422268917e-09,1.616221290134945e-08
1874,1.7923827755339516e-08,2.5093358502203955e-08
1875,5.149374260327022e-09,2.0597497041308088e-08
1876,7.859819461941697e-09,1.3301232115736639e-08
1877,8.040260901509555e-09,6.80329748092845e-09
1878,1.0266450800600069e-08,3.140326043649111e-08
1879,9.163987790827832e-09,1.4662380642960215e-08
1880,5.776061406947974e-09,2.631317030932223e-08
1881,1.045876096839038e-08,1.5339516323820135e-08
1882,1.6638463051776853e-08,3.0614771162618126e-08
1883,1.0110942305630033e-08,2.5277355319985872e-08
1884,5.281357573494461e-09,2.442627788923346e-08
1885,1.160214413431504e-08,1.8692343672910283e-08
1886,8.38950331427668e-09,2.1296431285122708e-08
1887,1.2404957061562527e-08,1.5016526688782506e-08
1888,2.4728397107764977e-08,1.3315291091942072e-08
1889,1.3783300722991498e-08,1.6915869593958632e-08
1890,2.0318598359381213e-08,3.080561583601593e-08
1891,1.211101796627645e-08,1.4023283867459213e-08
1892,2.820830502514582e-08,1.2537024751679837e-08
1893,7.390100087434348e-09,2.4017824173938607e-08
1894,2.079507943619774e-08,1.9534772022211655e-08
1895,1.1435367319734269e-08,3.009307292245467e-08
1896,1.179405795248556e-09,1.533227589334274e-08
1897,1.6897470089816125e-08,1.3401440845939305e-08
1898,1.1316709347397591e-08,2.093591255913907e-08
1899,1.326618814800895e-08,1.8241008703512307e-08
1900,1.6092265298084385e-08,7.26747462209687e-09
1901,1.676621685930968e-08,1.7883964531506535e-08
1902,2.1605249145295602e-08,9.329538919189417e-09
1903,2.214090244478939e-08,1.4580594509538969e-08
1904,1.7198800605910947e-08,1.7736262236667244e-08
1905,2.2191263937543226e-08,1.186974607492175e-08
1906,1.9033482345776065e-08,1.4918134283448126e-08
1907,1.2857108266928208e-08,1.9542804707839423e-08
1908,2.3083527977973972e-08,3.732655784460803e-08
1909,1.870334465081669e-08,2.585462333115629e-08
1910,3.099607326362275e-08,2.672075360976578e-08
1911,2.926205766584644e-08,1.4365010514438836e-08
1912,3.0735584743979416e-08,2.0837685354990754e-08
1913,3.181793672979438e-08,1.5378670781274195e-08
1914,2.276892807628883e-08,1.2723813114234872e-08
1915,1.767114277129167e-08,1.5314990164938536e-08
1916,1.4283700444650549e-08,1.8678685265172135e-08
1917,2.52227767560953e-08,4.7155623406069935e-08
1918,4.9391417178412667e-08,2.5270027848023346e-08
1919,2.6702760891339494e-08,3.1306683467846597e-08
1920,1.8930579770426448e-08,2.0445025228355007e-08
1921,2.2718241510233383e-08,2.3475516641724425e-08
1922,1.8444838545406128e-08,2.951174238319254e-08
1923,2.3355084977083607e-08,2.229349149729387e-08
1924,2.1915761649893284e-08,3.351822286390416e-08
1925,1.9796720707176974e-08,2.3096173862313663e-08
1926,8.916910765321973e-09,1.2260752413340015e-08
1927,1.8953683067479687e-08,2.2298449309232637e-08
1928,1.7139061725401916e-08,1.7139061725401916e-08
1929,2.4508894469477127e-08,1.1140405931087116e-08
1930,3.046045193855207e-08,2.2057568216382606e-08
1931,1.9389105432310316e-08,1.3686427990933225e-08
1932,1.753525857850491e-08,2.4110979879310435e-08
1933,2.6382522833046096e-08,1.4911860191091364e-08
1934,1.7972370258689807e-08,9.585264137967897e-09
1935,1.555876849579363e-08,1.4361940969820353e-08
1936,1.2124714565686645e-08,1.576212937948185e-08
1937,2.392312481447334e-08,2.2664012888640173e-08
1938,2.5930429359277696e-08,1.6854778905894818e-08
1939,3.8235125288110794e-08,2.2941076593951948e-08
1940,1.7750480196809804e-08,2.028626333583361e-08
1941,2.3612020783048138e-08,6.493305448884712e-08
1942,2.730790527039062e-08,3.3376331032286544e-08
1943,2.322588166236983e-08,2.322588166236983e-08
1944,1.927911696952833e-08,3.2131861615880553e-09
1945,2.832055301382752e-08,5.010559434026618e-08
1946,2.7842208538686464e-08,2.9234318077442367e-08
1947,2.26496545963073e-08,3.5762614203349585e-08
1948,1.848220954059343e-08,2.717971980814582e-08
1949,2.0615717133409817e-08,1.2762110479513922e-08
