year,pouvait_VERB apporter_VERB,pouvait_VERB rapporter_VERB
1800,2.829747991484055e-08,5.65949598296811e-08
1801,2.1430643926123594e-08,1.6668277424969347e-08
1802,8.951360541686881e-09,2.6854081625060644e-08
1803,1.950339267864365e-08,3.315576790896557e-08
1804,8.651478111687538e-08,7.4155526164076946e-09
1805,7.107194477384837e-08,6.254330742194725e-08
1806,3.1698359492793315e-08,2.305335300434308e-08
1807,1.195721210933698e-07,5.124519120158766e-08
1808,9.970725756147658e-08,4.078933102391602e-08
1809,4.51806094758922e-08,2.9367397402779716e-08
1810,6.786367379163494e-08,7.020380277111826e-09
1811,4.763445815569867e-08,2.757784400841956e-08
1812,1.1202274663446588e-07,3.200649700829672e-08
1813,7.764502640839055e-08,4.888760685162197e-08
1814,7.237357380063258e-08,1.8880061958270744e-08
1815,6.203614333344376e-08,7.552225866902518e-08
1816,8.806894413737609e-08,2.5493642752394408e-08
1817,9.029865566390072e-08,6.538868291272593e-08
1818,1.0252212234718172e-07,2.384235386898581e-08
1819,1.2317750019974483e-07,6.210630232317271e-08
1820,9.8491796052258e-08,5.6959109429044474e-08
1821,8.185035227370463e-08,1.676452932031225e-08
1822,9.223566621585633e-08,3.709477880420309e-08
1823,1.1958050549765176e-07,2.4706716672540097e-08
1824,1.381062446625947e-07,5.810567671460376e-08
1825,8.893497494000258e-08,4.3146670236637874e-08
1826,1.382853582754251e-07,4.844391554570393e-08
1827,1.1245072784049626e-07,6.544264152807955e-08
1828,8.89713192009367e-08,7.246117661452445e-08
1829,1.5860375413012662e-07,8.401712392469562e-08
1830,9.601888706356476e-08,6.366470017837855e-08
1831,1.7306238930814288e-07,5.456922025359745e-08
1832,1.041807635715486e-07,4.6001897402447867e-08
1833,1.6217079235048004e-07,4.749287541017111e-08
1834,1.698884659617761e-07,6.347480763224667e-08
1835,1.3462296521993267e-07,5.067268915581735e-08
1836,1.5726554636330548e-07,6.115882911217341e-08
1837,1.0158520780123581e-07,6.74915412446353e-08
1838,1.1740620919908906e-07,4.797243136067664e-08
1839,1.1745678563102047e-07,5.173691519644308e-08
1840,1.4013315308147867e-07,7.834717052901397e-08
1841,1.7078659197977686e-07,5.264849889385914e-08
1842,1.355069514374918e-07,6.976596012009395e-08
1843,1.27589274256934e-07,6.14318764746713e-08
1844,1.4434915840411122e-07,6.147188713612195e-08
1845,1.2109094882362115e-07,7.533307666562905e-08
1846,1.4870433062696975e-07,9.542836920672926e-08
1847,1.4345974364005087e-07,8.197699941092651e-08
1848,1.6734061603074224e-07,8.045221733254948e-08
1849,1.8099535736837424e-07,5.865590324560799e-08
1850,1.3238542351245997e-07,5.7706465383944305e-08
1851,1.3930787190474803e-07,7.67483214758613e-08
1852,1.6081047249372205e-07,6.315229228448516e-08
1853,1.2899373302843742e-07,7.345476404907458e-08
1854,1.1742201877495972e-07,3.117398605922972e-08
1855,1.3161204037714924e-07,6.899018245576372e-08
1856,1.2994745191008406e-07,2.4332790005132665e-08
1857,9.958278468502613e-08,3.7099468386259105e-08
1858,1.5855509616358177e-07,6.166031596421817e-08
1859,1.7517076855710911e-07,4.124660435422811e-08
1860,1.1580275582900867e-07,4.668727626722102e-08
1861,1.3581976077148283e-07,4.7631232291678316e-08
1862,1.2650362180011143e-07,5.557123117228002e-08
1863,1.1437681735060323e-07,6.243276118311769e-08
1864,1.4863657327168767e-07,3.5960461275408306e-08
1865,1.2237795488090342e-07,4.424433797112215e-08
1866,1.0753004886510098e-07,5.157549765044678e-08
1867,1.4849602791855432e-07,3.105799351033056e-08
1868,1.60051925490734e-07,5.186867824136243e-08
1869,1.4797062419802387e-07,5.518376511304268e-08
1870,9.002456380358126e-08,4.529898589566983e-08
1871,1.0090118252037428e-07,7.328612383616928e-08
1872,1.30622524352475e-07,6.22875973022019e-08
1873,1.1612848993536318e-07,7.003625057677709e-08
1874,1.3741600923822261e-07,4.002988163165355e-08
1875,1.178634576604054e-07,3.718992758194872e-08
1876,1.529641764363987e-07,4.6554312405078235e-08
1877,7.8547159887421e-08,6.061119961486838e-08
1878,1.2198958643239166e-07,5.012443438090486e-08
1879,1.0141479833691847e-07,5.1929266220440695e-08
1880,9.626769070791852e-08,4.685027832351807e-08
1881,1.3108314078635885e-07,5.787181223126936e-08
1882,1.3776647733720893e-07,4.9249848643739824e-08
1883,1.0932456717682726e-07,6.382532546922448e-08
1884,1.2081105182915053e-07,5.545425452169184e-08
1885,1.5598438096731115e-07,4.898683059195719e-08
1886,8.002295004416737e-08,4.001147502208369e-08
1887,1.351487384226857e-07,3.264462478114183e-08
1888,1.369572828480159e-07,3.61415040117663e-08
1889,1.1527851739856487e-07,3.633779144252003e-08
1890,1.1011369593916243e-07,4.129263331265065e-08
1891,1.1919791376158173e-07,3.569563133964948e-08
1892,1.1032581426206889e-07,3.2596265242545996e-08
1893,1.2070496779870155e-07,4.557228194812524e-08
1894,1.1972925051395578e-07,5.797416235964192e-08
1895,1.2037229168981867e-07,5.476939080040211e-08
1896,1.2265820714674192e-07,4.717623269812066e-08
1897,1.0721152676751444e-07,4.311768009301886e-08
1898,9.732370642723254e-08,3.395012981854961e-08
1899,1.1220983964221887e-07,2.65323762960179e-08
1900,1.3548648780670192e-07,3.3741844873702576e-08
1901,1.3971846613003436e-07,3.7444550571308355e-08
1902,1.3748794458479097e-07,3.535404502486017e-08
1903,1.2204498034407152e-07,4.5361851164216205e-08
1904,1.5102696693247708e-07,3.869730136329963e-08
1905,1.1198847005289281e-07,3.612531429553201e-08
1906,1.6358507082259166e-07,4.8869754465385995e-08
1907,1.4039962081824342e-07,3.857132568896304e-08
1908,1.3702775447654858e-07,1.620758460774141e-08
1909,1.402750768875194e-07,4.7858556229130045e-08
1910,1.5658361007808708e-07,3.313373397872965e-08
1911,1.292850981826632e-07,3.937076797910777e-08
1912,1.5055226754157047e-07,3.125652625612929e-08
1913,1.4052922381324606e-07,3.6590627416899224e-08
1914,1.4264064418512135e-07,4.3528835647066444e-08
1915,1.6375258837797446e-07,2.3561524287174507e-08
1916,1.4503450529446127e-07,6.702352095544484e-08
1917,2.061687780496868e-07,5.592876561877347e-08
1918,1.297960494639483e-07,3.101321510712296e-08
1919,1.4824635741206293e-07,3.4069039145379065e-08
1920,1.7416132891412417e-07,3.710393414735336e-08
1921,1.5675587405894476e-07,2.9533714140939082e-08
1922,1.4903429246260202e-07,4.574319945049865e-08
1923,1.6030081440021604e-07,4.140219900250486e-08
1924,1.7532609319914627e-07,3.867487308184536e-08
1925,2.1446446396566898e-07,4.5092530598367375e-08
1926,1.270659737429014e-07,4.458455293843144e-08
1927,1.6054883644756046e-07,3.0102906833917586e-08
1928,1.5082373749919498e-07,3.999114284169991e-08
1929,1.8158861792016978e-07,4.790374674712439e-08
1930,1.9221594982354873e-07,3.571225093423891e-08
1931,1.5511284345848253e-07,2.5091784650044247e-08
1932,1.8192831419128197e-07,4.4934100884574946e-08
1933,1.9614832069692056e-07,4.7029715233293246e-08
1934,1.8811080337854946e-07,3.5944740517379614e-08
1935,1.7832743992585165e-07,3.949533677882755e-08
1936,1.8914555255378218e-07,4.4861444337129797e-08
1937,2.241219050347354e-07,3.399602022113868e-08
1938,1.6336170460817812e-07,5.186085871855539e-08
1939,2.2176372738158534e-07,3.211750509990452e-08
1940,2.2568467272776616e-07,4.057252667166722e-08
1941,1.9775067983118788e-07,2.066051862925633e-08
1942,1.456421614420833e-07,5.158160121254696e-08
1943,2.1193616817072325e-07,1.1612940831184915e-08
1944,2.3134940363433998e-07,9.639558129492798e-08
1945,2.940980436960672e-07,4.357008265287732e-08
1946,2.6450098289387824e-07,2.5057987684817817e-08
1947,2.205361084861579e-07,5.245183132274178e-08
1948,1.9569398546082084e-07,5.109787437618252e-08
1949,2.189192827017905e-07,2.6505922789965553e-08
1950,2.3397795700930146e-07,3.616023036556726e-08
1951,2.2069102101340832e-07,2.4521224162299404e-08
1952,2.140595256605593e-07,5.061505703451985e-08
1953,2.2086345552452258e-07,3.770839640537815e-08
1954,2.0620051088826585e-07,4.202190595492539e-08
1955,2.6279701614839723e-07,4.035811329572425e-08
1956,2.4419196620328876e-07,3.0523995775411095e-08
1957,2.3501200985265314e-07,4.329168490357915e-08
1958,1.9522494199009088e-07,2.3162280982091943e-08
1959,2.48023923177243e-07,3.332821663093455e-08
1960,2.2907958907580905e-07,3.5296249478733444e-08
1961,2.369322373851901e-07,2.709782087606527e-08
1962,2.492388944119739e-07,3.297817485758969e-08
1963,2.3795075776433805e-07,3.4916688207431434e-08
1964,2.427503318358504e-07,2.8594651979574337e-08
1965,1.942575380553535e-07,3.775710055720083e-08
1966,2.2211689554296754e-07,2.658755882123387e-08
1967,2.2433026458656968e-07,2.465167803222812e-08
1968,2.3355362088750553e-07,2.8295920273535557e-08
1969,2.1346261291910196e-07,4.541757903098187e-08
1970,2.3591459807903448e-07,4.598724956395017e-08
1971,2.0039750836531312e-07,2.0553589052951793e-08
1972,1.9238051152115077e-07,3.1806909106535386e-08
1973,2.1887419165977917e-07,2.4258095976392724e-08
1974,2.3627400480563665e-07,3.4878542720662153e-08
1975,2.495916930911335e-07,2.9699696924012642e-08
1976,2.4053949232438754e-07,3.313845553520878e-08
1977,2.1038879083334905e-07,2.056873604772136e-08
1978,2.3049494757287903e-07,5.1089084962541165e-08
1979,1.8550755953583575e-07,4.154901134256761e-08
1980,2.285430582560366e-07,4.43441763309238e-08
1981,2.0811057765968144e-07,3.479052068655619e-08
1982,2.1726258125909226e-07,3.227901146374279e-08
1983,2.191414694152627e-07,3.8523428003145455e-08
1984,2.180427145503927e-07,5.161117400120929e-08
1985,2.2438031521687662e-07,4.3913573222198465e-08
1986,2.265915526322715e-07,4.076250093021372e-08
1987,2.1815615980358416e-07,3.910922785621551e-08
1988,2.4046181579251424e-07,3.597932263232906e-08
1989,2.0415814105945174e-07,3.2928731741321826e-08
1990,1.8961304704134818e-07,3.650596269721973e-08
1991,2.2390797482785274e-07,4.3374843272658836e-08
1992,2.248057171527762e-07,3.4161654838271716e-08
1993,2.0218107010805397e-07,3.545092752688106e-08
1994,2.1785446335798042e-07,4.3781891889693725e-08
1995,2.1744027378645114e-07,4.9886548225686056e-08
1996,2.215308256836579e-07,3.683283722466513e-08
1997,2.3063442711190874e-07,4.267456077400311e-08
1998,2.1504263258975698e-07,3.8621845277475586e-08
1999,2.079441543401117e-07,4.661605146338843e-08
2000,2.2001796651238692e-07,3.7111465900352414e-08
2001,2.2607052585499332e-07,4.381211837767296e-08
2002,2.0854614035670238e-07,3.986911423226047e-08
2003,2.1209638134678244e-07,4.3752692135967663e-08
2004,2.1539429440053937e-07,4.096455796798182e-08
2005,2.3419498518251203e-07,4.638862094452634e-08
2006,2.1948353889911232e-07,4.4473210891737835e-08
2007,2.1170741604237264e-07,4.513761808766503e-08
2008,2.303274868609151e-07,3.8316958494988285e-08
2009,2.0741637740684382e-07,4.577464807198339e-08
2010,2.3524489733972587e-07,4.959982646823846e-08
2011,2.3135029891818704e-07,4.282848564685082e-08
2012,2.260423741518025e-07,5.446804252073889e-08
2013,2.2926607812223665e-07,6.052401602119062e-08
