year,voulant_VERB approcher_VERB,voulant_VERB rapprocher_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,9.524730337773235e-09
1802,1.3427040812530322e-08,0.0
1803,0.0,1.1702034896643454e-08
1804,0.0,2.9662210465630778e-08
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,5.124519120158766e-08
1808,0.0,2.2660739062985158e-08
1809,0.0,0.0
1810,2.106114038724627e-08,7.020380277111826e-09
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,1.5733386149463513e-08
1815,0.0,0.0
1816,0.0,4.6352077731626196e-09
1817,3.113746815941454e-09,1.5568733857662664e-08
1818,2.384235475716423e-09,8.344824387052086e-09
1819,1.035105001712111e-09,3.1053151161586356e-09
1820,3.5599443393152796e-09,9.493184904840746e-09
1821,6.903041693817613e-09,5.9168927535324656e-09
1822,6.015369535816717e-09,2.0051231786055723e-08
1823,2.8659792761231984e-08,3.9530747564242574e-09
1824,0.0,0.0
1825,8.805443041381977e-10,5.283265824829186e-09
1826,1.2331177856594877e-08,0.0
1827,4.608636583469661e-09,1.8434546111834038e-09
1828,0.0,1.651014225334535e-08
1829,0.0,8.573175946935407e-09
1830,0.0,6.262101504006523e-09
1831,9.354723218280014e-09,0.0
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,0.0,1.1583628500844156e-09
1834,9.334530925997342e-10,5.600718555598405e-09
1835,1.1344631900556124e-08,7.563087933704082e-09
1836,1.2097349788575684e-08,3.36037508930076e-09
1837,1.3915781860163179e-09,2.0873671680021744e-09
1838,2.3986214570115294e-08,1.0099459268886335e-08
1839,3.4957375882882502e-09,4.194885327990505e-09
1840,5.0957510988602905e-09,3.1848443882154243e-09
1841,3.2102742686390684e-09,4.494383976094696e-09
1842,2.683306021822318e-09,4.695785538189057e-09
1843,1.6539351332944818e-08,1.8311424432315704e-08
1844,6.037417232818143e-09,1.591682791124427e-08
1845,4.464182468133515e-09,0.0
1846,7.610851504580296e-09,1.1709002656346001e-09
1847,3.775256551818984e-09,1.3483059113639229e-08
1848,6.436177313329239e-09,0.0
1849,8.379414717651912e-09,1.005529792763582e-08
1850,2.0366988096043315e-09,1.2899092460827433e-08
1851,5.8044946626978344e-09,6.449438760824933e-10
1852,2.6042181744401205e-09,7.161600201754936e-09
1853,2.9859659189668264e-09,1.1943863675867306e-08
1854,4.1565315633818045e-09,6.234797400583858e-09
1855,3.1841622671890946e-09,3.1841622671890946e-09
1856,1.0872097000458325e-08,4.659470143053568e-09
1857,1.2691923956253959e-08,9.274867318609381e-09
1858,1.468102750479261e-09,4.893676130990343e-09
1859,1.527652027100146e-08,4.073738679721828e-09
1860,2.288591982591015e-09,2.7463103458025273e-09
