year,doivent_VERB aller_VERB,doivent_VERB râler_VERB
1800,2.86118961412285e-07,0.0
1801,3.595585837956605e-07,0.0
1802,5.124653625898645e-07,0.0
1803,3.0815360219094146e-07,0.0
1804,2.644880510160874e-07,0.0
1805,3.809456075032358e-07,0.0
1806,3.919070081792597e-07,0.0
1807,2.1636859059981361e-07,0.0
1808,2.991217797898571e-07,0.0
1809,1.8749953767382976e-07,0.0
1810,4.0718205696066434e-07,0.0
1811,2.206227520673565e-07,0.0
1812,2.2137828636914492e-07,0.0
1813,3.4221326927763585e-07,0.0
1814,4.4997483428232954e-07,0.0
1815,2.454473531088297e-07,0.0
1816,4.055806925862271e-07,0.0
1817,2.7556660597838345e-07,0.0
1818,2.8610824642782973e-07,0.0
1819,2.1530183857976226e-07,0.0
1820,4.4143308741695364e-07,0.0
1821,2.57384840551822e-07,0.0
1822,3.338529950269731e-07,0.0
1823,2.727621506437572e-07,0.0
1824,3.2758129009380355e-07,0.0
1825,3.372484798092046e-07,0.0
1826,2.2724599091361597e-07,0.0
1827,2.368839204791584e-07,0.0
1828,3.0910655368643347e-07,0.0
1829,2.8291481157793896e-07,0.0
1830,3.172798130890442e-07,0.0
1831,3.2117884529725416e-07,0.0
1832,2.3406846594298258e-07,0.0
1833,2.884323464513727e-07,0.0
1834,2.529657763261639e-07,0.0
1835,3.0857398769512656e-07,0.0
1836,2.7622283482742205e-07,0.0
1837,3.534608481459145e-07,0.0
1838,3.0929592753636825e-07,0.0
1839,4.2857743665081216e-07,0.0
1840,3.8982494743322604e-07,0.0
1841,3.1139660450207884e-07,0.0
1842,2.736972248840175e-07,0.0
1843,2.3686713745973975e-07,0.0
1844,2.760746440344519e-07,0.0
1845,2.818015047978406e-07,0.0
1846,2.974086612539395e-07,0.0
1847,3.014812079982221e-07,0.0
1848,2.976732105253177e-07,0.0
1849,2.874139397590625e-07,0.0
1850,3.3944979804800823e-07,0.0
1851,2.6507194661462563e-07,0.0
1852,3.476631320609158e-07,0.0
1853,2.878471150324913e-07,0.0
1854,3.039463649656682e-07,0.0
1855,3.709548934693885e-07,0.0
1856,3.246097719511454e-07,0.0
1857,3.7148285514376767e-07,0.0
1858,3.024291856945638e-07,0.0
1859,2.749773670984723e-07,0.0
1860,3.231491803035169e-07,0.0
1861,3.9991371636460826e-07,0.0
1862,3.338791714213585e-07,0.0
1863,3.3763637929951074e-07,0.0
1864,3.404256858630106e-07,0.0
1865,3.1818268553251983e-07,0.0
1866,3.1285890145227313e-07,0.0
1867,2.887422851927113e-07,0.0
1868,3.1466998962059733e-07,0.0
1869,2.558963956289517e-07,0.0
1870,2.591790178030351e-07,0.0
1871,2.506597809315281e-07,0.0
1872,2.902722826547688e-07,0.0
1873,2.3824297556984675e-07,0.0
1874,2.001494010528404e-07,0.0
1875,2.7177253514309996e-07,0.0
1876,3.1318356263909664e-07,0.0
1877,3.166625788253441e-07,0.0
1878,2.802137260005111e-07,0.0
1879,3.0913184900782653e-07,0.0
1880,1.9831145436910447e-07,0.0
1881,2.9005630608480715e-07,0.0
1882,2.3360401257832564e-07,0.0
1883,2.5909290002346097e-07,0.0
1884,2.561458529726224e-07,0.0
1885,2.848970837021625e-07,0.0
1886,2.67818762722527e-07,0.0
1887,2.970660659684654e-07,0.0
