year,puissent_VERB éveiller_VERB,puissent_VERB réveiller_VERB
1800,1.5720821977538435e-08,1.5720821977538435e-08
1801,0.0,4.7623651688866175e-09
1802,0.0,4.0281122437590966e-08
1803,0.0,7.801356893821776e-09
1804,9.887403784603066e-09,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,2.2775640928784924e-08
1808,0.0,9.064295980465431e-09
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,1.556873407970727e-09
1818,0.0,8.344824387052086e-09
1819,0.0,0.0
1820,2.3732962262101864e-09,1.3053129244156025e-08
1821,4.930744257336528e-09,7.88919063410276e-09
1822,0.0,0.0
1823,6.917880934764753e-09,0.0
1824,8.421112696055388e-10,6.736890156844311e-09
1825,0.0,0.0
1826,8.807984341885344e-10,3.5231937367541377e-09
1827,2.7651818612639545e-09,8.295545583791863e-09
1828,0.0,1.0089530988466322e-08
1829,0.0,4.286587973467704e-09
1830,0.0,3.1310507520032616e-09
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,5.791814139399776e-09,9.266902800675325e-09
1834,3.733812370398937e-09,2.8003592777992026e-09
1835,0.0,1.5126175867408165e-09
1836,7.392825018825988e-09,0.0
1837,1.3915781860163179e-09,8.349468672008697e-09
1838,1.2624323808552163e-09,8.837027110075724e-09
1839,1.3283802502428443e-08,2.0974426639952526e-09
1840,0.0,1.9109065441114126e-09
1841,0.0,3.852329122366882e-09
1842,6.708265054555795e-10,6.708265054555795e-09
1843,5.906911071384968e-10,4.134837805480629e-09
1844,9.879410178825765e-09,2.7442805805577564e-09
1845,2.7901139176833567e-09,3.348136878855712e-09
1846,8.196302303531411e-09,1.7563503984519002e-09
1847,1.6179670936367074e-09,1.0786447290911383e-09
1848,6.43617736884039e-09,0.0
1849,8.379414939696517e-10,1.4245005175439474e-08
1850,6.788996032014438e-10,0.0
1851,6.449438760824933e-09,1.0319102017319892e-08
1852,0.0,1.1067927019325907e-08
1853,0.0,1.1943863675867306e-09
1854,0.0,6.754363734984281e-09
1855,5.306937111981824e-09,1.5920811335945473e-09
1856,3.6240324075009767e-09,4.141751386299575e-09
1857,1.9526036343364694e-09,5.369659827891837e-09
1858,9.787352039936081e-10,0.0
1859,5.092173349652285e-10,5.092173349652285e-10
1860,1.373155145145688e-09,0.0
1861,2.357981809808507e-09,1.8863854922557266e-09
1862,9.035972525772706e-10,4.9697850279528666e-09
1863,1.1987090431375691e-08,1.4983863039219614e-09
1864,1.4384183844029508e-09,4.794727948009836e-10
1865,1.882737743486018e-09,9.41368871743009e-10
1866,4.865612912574591e-10,1.4596839292835284e-09
1867,1.455843445796745e-09,9.7056229719783e-10
1868,5.9278488784286765e-09,3.951899252285784e-09
1869,1.953407657850903e-09,4.883519144627257e-10
1870,2.2936195165357276e-09,2.8670243956696595e-09
1871,4.248470908407853e-09,5.3105884134652115e-09
1872,0.0,6.652073114565837e-09
1873,1.1972008939764578e-09,1.7958012854535355e-09
1874,0.0,1.1949218281515073e-09
1875,8.010138330405425e-09,5.721527140956084e-10
1876,4.232210137899983e-09,1.813804439976252e-09
1877,1.2369631985365004e-09,1.2369631985365004e-09
1878,5.435179861734696e-09,6.039088673581716e-10
1879,3.0546627449723474e-09,1.3440515367335593e-08
1880,6.417846254436199e-10,6.417846254436199e-10
1881,1.3945015142624584e-09,6.2752567586699115e-09
1882,5.324308105514319e-09,6.655385131892899e-09
1883,5.687405213450347e-09,1.8958017378167824e-09
1884,6.601696966868076e-10,0.0
1885,6.445635691854079e-10,0.0
1886,2.5813855497602844e-09,3.872078213618124e-09
1887,3.264462256069578e-09,0.0
1888,1.268122939990235e-09,2.53624587998047e-09
1889,1.8795409673089125e-09,0.0
1890,2.6217545912032847e-09,0.0
1891,1.9122659011827636e-09,1.9122659011827636e-09
1892,1.2537024751679837e-09,6.268512375839919e-10
1893,6.158416554491453e-10,1.2316833108982905e-09
1894,1.8904617871129403e-09,6.301539290376468e-10
1895,6.6204757231957956e-09,4.213029924926559e-09
1896,6.486732040400511e-09,1.179405795248556e-09
1897,1.7480140668268973e-09,0.0
1898,7.355861253444118e-09,0.0
1899,9.949641111006713e-09,1.6582735185011188e-09
1900,3.114631885736685e-09,5.191053142894475e-10
1901,1.676621730339889e-09,5.588738916095792e-10
1902,2.9461704187383475e-09,1.4730852093691738e-09
1903,1.6200660812870638e-09,5.400220270956879e-10
