year,peut_VERB enseigner_VERB,peut_VERB renseigner_VERB
1800,4.7162465932615305e-08,0.0
1801,7.381665767525192e-08,0.0
1802,1.1189200677108602e-07,0.0
1803,1.170203560718619e-07,0.0
1804,7.909923027682453e-08,0.0
1805,1.250866148438945e-07,0.0
1806,1.556101381083863e-07,0.0
1807,1.224190668835945e-07,0.0
1808,1.11037628869326e-07,0.0
1809,1.8072244145628247e-08,6.7770917766551975e-09
1810,1.2168659679900884e-07,0.0
1811,5.264861258069686e-08,0.0
1812,5.867858021701977e-08,2.6672082320544632e-09
1813,1.1502966401621961e-07,1.1502966579257645e-08
1814,9.44003133440674e-08,0.0
1815,1.0788894400093341e-07,0.0
1816,1.4600904307826568e-07,0.0
1817,1.214361304846534e-07,0.0
1818,1.1205906957911793e-07,0.0
1819,1.366338580055526e-07,0.0
1820,1.1391821885808895e-07,0.0
1821,1.5088076565916708e-07,0.0
1822,8.822541985864518e-08,0.0
1823,1.096978223813494e-07,0.0
1824,8.084268188213173e-08,0.0
1825,1.320816522820678e-07,8.805443041381977e-10
1826,1.1802698907104059e-07,0.0
1827,9.8624823863247e-08,5.530363722527909e-09
1828,1.1190207516165174e-07,9.172301251858528e-10
1829,1.2602568233432976e-07,2.571952872898464e-09
1830,1.4611569554290327e-07,0.0
1831,1.216114071667107e-07,0.0
1832,1.6912461830997927e-07,0.0
1833,1.18153010930655e-07,0.0
1834,8.961149688957448e-08,0.0
1835,9.302598158456021e-08,7.563087933704082e-10
1836,1.1022029866580851e-07,0.0
1837,1.3428729062070488e-07,6.957890930081589e-10
1838,1.3949878052699205e-07,0.0
1839,1.0137639350205063e-07,0.0
1840,1.713446238227334e-07,0.0
1841,1.5473521841613547e-07,0.0
1842,1.301403358411335e-07,0.0
1843,1.2640789748274983e-07,0.0
1844,1.756339571556964e-07,5.488561272137815e-10
1845,1.4899208622409787e-07,0.0
1846,1.2762812673372537e-07,1.1709002656346001e-09
1847,1.5208890147277998e-07,5.393223645455691e-10
1848,1.6090443466509896e-07,1.6090443422100975e-09
1849,1.5250535057020898e-07,2.513824481908955e-09
1850,2.5051394914044067e-07,8.146795238417326e-09
1851,1.5607642467330152e-07,2.579775504329973e-09
1852,1.4713832285906392e-07,0.0
1853,1.0809196737682214e-07,5.971931837933653e-10
1854,1.080698197597485e-07,1.558699302961486e-08
1855,1.358575900667347e-07,2.1227748447927297e-09
1856,1.3305376000971592e-07,2.5885946719483854e-09
1857,1.054405984746154e-07,8.298565390418844e-09
1858,1.438740753201273e-07,7.829881631948865e-09
1859,1.1813842348828985e-07,3.055304009791371e-09
1860,1.240416906966857e-07,1.373155189554609e-08
1861,1.3912092811096954e-07,4.715963619617014e-09
1862,1.0572087916216333e-07,1.3553959066214816e-09
1863,1.3585368208168802e-07,3.496234635136375e-09
1864,1.6302074357099627e-07,9.109982990196386e-09
1865,1.515603855750669e-07,1.882737743486018e-09
1866,1.1434190128056798e-07,5.352174259343201e-09
1867,1.2132028359701508e-07,9.7056229719783e-10
1868,1.491842027689927e-07,1.1361710683388537e-08
1869,1.2062292853443068e-07,5.371870948067681e-09
1870,1.7374168237438425e-07,1.3188312664169644e-08
1871,1.083360103848463e-07,4.248470908407853e-09
1872,1.402982690024146e-07,2.4189358072135292e-08
1873,1.2331169330082048e-07,2.6338419445437466e-08
1874,7.707245686106035e-08,2.5690820137924675e-08
1875,1.6306351824368903e-07,2.0025344937835143e-08
1876,1.2454790976335062e-07,1.9951848173604958e-08
1877,9.091679231687522e-08,1.9172929910382663e-08
1878,9.66254205536643e-08,2.959153455606156e-08
1879,1.7594857126823626e-07,1.3440515367335593e-08
1880,1.5081938897765212e-07,7.059631101924424e-09
1881,1.0458761323661747e-07,3.9046042843438045e-08
1882,1.124760089510346e-07,1.6638463051776853e-08
1883,1.1627583518247775e-07,1.516641390253426e-08
1884,1.293932569979006e-07,1.650424152899177e-08
1885,7.8636752220973e-08,3.287274097374393e-08
1886,1.4778431989270757e-07,3.226731948302586e-08
1887,1.168677528085027e-07,5.941321390423582e-08
1888,9.574328174721813e-08,3.804368731152863e-08
1889,1.5286933319202944e-07,4.322944491264025e-08
1890,1.173235162355013e-07,2.3595791986963377e-08
1891,7.139126267929896e-08,3.1233678754460925e-08
1892,8.086380631766588e-08,2.7581453565517222e-08
1893,7.944357349742859e-08,2.6481190573690583e-08
1894,8.822154740073529e-08,2.5836310868498913e-08
1895,1.131499516304757e-07,4.032471778714353e-08
1896,9.848038473592169e-08,4.0689499769541726e-08
1897,7.749529373768382e-08,4.661370667236042e-08
1898,1.1939128796711884e-07,4.0174320758978865e-08
1899,1.1331535887393329e-07,5.5828543565894506e-08
1900,1.0330195721053315e-07,5.0353214930964896e-08
1901,1.089804086973345e-07,6.42704947040329e-08
1902,1.1048138759406356e-07,5.990546014800202e-08
1903,1.2312501951328159e-07,5.994244389739833e-08
1904,8.384415650652954e-08,7.793206435735556e-08
1905,1.3521189146104007e-07,5.26397414546409e-08
1906,1.0957113261156337e-07,9.722509020093639e-08
1907,1.1314255488059644e-07,8.588548183752209e-08
1908,9.331639461152008e-08,6.875944791318034e-08
1909,9.956779933872895e-08,7.646367095048845e-08
1910,1.3681025734513241e-07,7.32148635051999e-08
1911,1.4311805784927856e-07,6.384448880680793e-08
1912,9.793711797101423e-08,6.772247473918469e-08
1913,1.2355965850474604e-07,9.12114259676855e-08
