year,fallut_VERB ouvrir_VERB,fallut_VERB rouvrir_VERB
1800,1.5720821977538435e-08,0.0
1801,9.524730337773235e-09,0.0
1802,8.951360541686881e-09,0.0
1803,2.145373123596528e-08,0.0
1804,5.9324420931261557e-08,0.0
1805,4.8328921309348516e-08,0.0
1806,5.76333825108577e-09,0.0
1807,2.2775640928784924e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,3.162642769893864e-08,2.259030518203531e-09
1810,1.0530570193623134e-07,0.0
1811,5.515568801683912e-08,0.0
1812,2.400487453257938e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,0.0,0.0
1815,2.6972236000233352e-08,0.0
1816,1.3905623319487859e-08,9.270415546325239e-09
1817,3.113746771532533e-08,0.0
1818,1.5497530370112145e-08,0.0
1819,3.9333990287104825e-08,9.315945348475907e-09
1820,6.526564533260171e-08,0.0
1821,2.2681422962023134e-08,0.0
1822,2.7069162911175226e-08,0.0
1823,4.4472091786929013e-08,0.0
1824,7.663212642228245e-08,0.0
1825,3.0819052199149155e-08,0.0
1826,2.025836387531399e-08,2.642395191543301e-09
1827,1.8434546333878643e-08,0.0
1828,3.210305266065916e-08,0.0
1829,3.1720752247110795e-08,0.0
1830,4.0703660886265425e-08,2.0873671680021744e-09
1831,4.677361609140007e-09,0.0
1832,1.8941957335982806e-08,0.0
1833,1.1583628278799551e-08,2.3167257001688313e-09
1834,4.573920264761e-08,4.667265685043276e-09
1835,3.781543966852041e-08,0.0
1836,4.704525125021064e-08,6.72075017860152e-09
1837,1.87863058442872e-08,1.0436836284100082e-08
1838,5.807189040751837e-08,6.312161904276081e-10
1839,3.5656523067473245e-08,1.3982950353153e-09
1840,3.3759349093998026e-08,5.095750932326837e-09
1841,2.43980835534785e-08,5.778493683550323e-09
1842,2.1466448174578545e-08,4.024959032733477e-09
1843,3.36693943836508e-08,2.3627644285539873e-09
1844,3.1833653935109396e-08,3.841992946007622e-09
1845,2.7901139176833567e-08,3.348136878855712e-09
1846,2.9272506196775794e-08,2.9272506640865004e-09
1847,3.613459753637471e-08,7.011190739092399e-09
1848,2.091757700384278e-08,0.0
1849,1.6758828991214614e-08,0.0
1850,3.190828223864628e-08,6.788996032014438e-10
1851,5.997978291816253e-08,1.9348316282474798e-09
1852,4.687592536356533e-08,0.0
1853,4.060913738612726e-08,1.7915795513800958e-09
1854,5.0917510208137173e-08,5.195664454227256e-10
1855,4.5108965451845506e-08,5.306937111981824e-10
1856,5.694908100650764e-09,1.0354378465748937e-09
1857,2.880090299584026e-08,5.369659827891837e-09
1858,3.425573069648635e-08,0.0
1859,4.83756465996521e-08,0.0
1860,3.9363783344015246e-08,2.288591982591015e-09
1861,2.5466203368296192e-08,1.4147891747029462e-09
1862,3.5240294238292336e-08,0.0
1863,2.996772607843923e-08,1.4983863039219614e-09
1864,2.589153069720851e-08,2.3973640850272204e-09
1865,4.283228349777346e-08,3.294791106611683e-09
1866,2.432806489593986e-08,7.784980660119345e-09
1867,2.91168689159349e-08,9.7056229719783e-10
1868,4.100095551962113e-08,7.409810987013543e-09
1869,5.3718711257033647e-08,4.395167341186834e-09
1870,4.6445794765759274e-08,0.0
1871,2.973929724703339e-08,1.0621177271019633e-09
1872,3.5679303067581714e-08,6.047339295989218e-10
1873,4.070482972906575e-08,2.3944017879529156e-09
1874,3.345781252050983e-08,7.169530746864439e-09
1875,3.089624556196213e-08,4.005069165202713e-09
1876,2.0556450763820067e-08,6.04601479992084e-10
1877,3.7727378554563984e-08,1.2369631985365004e-09
1878,1.509772218355465e-08,0.0
1879,4.581993806596074e-08,3.0546627449723474e-09
1880,3.144744553651435e-08,1.2835692508872398e-09
1881,3.486253774553916e-08,1.3945015142624584e-09
1882,3.660461800336634e-08,1.9966155395678697e-09
1883,2.6541224329434954e-08,1.2638677882037541e-09
1884,3.1688145440966764e-08,3.9610181801208455e-09
1885,5.285421167400273e-08,6.445635691854079e-10
1886,4.130216879616455e-08,3.2267319927115068e-09
1887,2.6115698048556624e-08,0.0
1888,4.057993407968752e-08,5.706553452000662e-09
1889,3.5084767091575486e-08,1.2530273485467092e-09
1890,3.080561583601593e-08,5.898947996740844e-09
1891,1.6572972327821844e-08,1.9122659011827636e-09
1892,3.322311670217459e-08,6.268512375839919e-10
1893,3.3255449949365357e-08,2.463366621796581e-09
1894,4.0329851458409394e-08,3.150769645188234e-09
1895,3.49079627426363e-08,3.0093072478365457e-09
1896,5.6611476395573845e-08,4.717623180994224e-09
1897,1.806281169081103e-08,5.826713556089658e-10
1898,2.998928039232851e-08,1.0185038590293516e-08
1899,1.9346524382513053e-08,4.4220627160029835e-09
1900,2.699347589896206e-08,3.633737311048435e-09
1901,3.520905522691464e-08,1.1177477832191585e-09
1902,2.6024505217492333e-08,2.9461704187383475e-09
1903,2.592105730059302e-08,4.860198465905796e-09
1904,3.2247751136083025e-08,2.6873125946735854e-09
1905,1.8062657147766004e-08,1.5482277682110634e-09
1906,3.137952475640304e-08,5.658602919567102e-09
1907,3.651418722938615e-08,6.685696440911215e-09
1908,2.1118973236866623e-08,2.4556945366072114e-09
1909,1.8153246017504898e-08,5.500983557560346e-10
1910,3.099607326362275e-08,5.34415089958884e-09
1911,2.926205766584644e-08,2.128149656499545e-09
1912,1.82329742415277e-08,3.646594803896619e-09
1913,2.3863453435524207e-08,0.0
1914,2.5447626228469744e-08,1.3393487430235496e-09
1915,2.3561524287174507e-08,0.0
1916,1.8678685265172135e-08,3.2962386153911893e-09
1917,5.483212106582869e-09,4.386569774084137e-09
1918,5.168869421368072e-08,1.1486376294556067e-09
1919,3.1306683467846597e-08,9.207848372660976e-10
