year,faudrait_VERB apporter_VERB,faudrait_VERB rapporter_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,7.143547975374531e-09,1.904946067554647e-08
1802,1.5664880947952042e-08,2.4616241489638924e-08
1803,0.0,5.851017448321727e-09
1804,2.4718509461507665e-09,2.2246657849223084e-08
1805,2.842877711017877e-09,2.842877711017877e-09
1806,2.881669125542885e-09,8.645007376628655e-09
1807,5.693910232196231e-09,1.7081731584767113e-08
1808,1.1330369531492579e-08,3.172503681980743e-08
1809,0.0,2.0331274441787173e-08
1810,7.020380277111826e-09,2.8081521108447305e-08
1811,1.504245972228091e-08,1.7549536934780008e-08
1812,2.6672082320544632e-09,4.000812481308458e-08
1813,2.8757416448144113e-09,6.614205716459765e-08
1814,3.1466771410748606e-09,4.72001566720337e-08
1815,0.0,3.506390555685357e-08
1816,9.270415546325239e-09,4.6352077731626196e-08
1817,1.0898113522728181e-08,5.7604317760251433e-08
1818,2.2650237241350624e-08,6.318224166079744e-08
1819,1.449147024601416e-08,5.2790355198339967e-08
1820,1.898636980968149e-08,3.9159388620646496e-08
1821,1.676452932031225e-08,5.325203744632745e-08
1822,4.010246357211145e-09,3.60922172149003e-08
1823,8.894418535021487e-09,1.2847492847356534e-08
1824,2.6105450245950124e-08,5.9789897477458e-08
1825,1.7610886970942374e-08,6.251864448358901e-08
1826,1.4973572604048968e-08,5.19671061738336e-08
1827,1.566936447261469e-08,2.949527377893446e-08
1828,1.3758452155343548e-08,6.970948618345574e-08
1829,3.5150023336427694e-08,5.829759786024624e-08
1830,2.1917355041978226e-08,4.4878394334091354e-08
1831,3.585977381703742e-08,4.2096257146795324e-08
1832,1.352996914505411e-08,3.3824925083081325e-08
1833,9.266902800675325e-09,8.456049016558609e-08
1834,1.6802156110884425e-08,6.907552574375586e-08
1835,3.479020449503878e-08,4.9916380362446944e-08
1836,2.083432448785061e-08,4.973355061110851e-08
1837,3.5485243188304594e-08,5.98378591121218e-08
1838,3.029837714052519e-08,6.438405364406208e-08
1839,7.830452375401364e-08,5.453350482298447e-08
1840,3.885510224677091e-08,8.280595409360103e-08
1841,2.0545755319290038e-08,7.447836480878323e-08
1842,4.8299508392801727e-08,6.104521332872537e-08
1843,3.485077471054865e-08,6.73387887673016e-08
1844,4.061535463506516e-08,7.135129465041246e-08
1845,4.408380149811819e-08,5.859239493588575e-08
1846,3.571245699163228e-08,4.3323311160747835e-08
1847,2.1033571329098777e-08,8.25163226636505e-08
1848,4.022610866627474e-08,3.700802153616678e-08
1849,2.0948537127196687e-08,4.022119171054328e-08
1850,5.295417082606946e-08,6.042206734946376e-08
1851,2.8377531435808123e-08,5.224045551699419e-08
1852,2.8646400807019745e-08,5.208436348880241e-08
1853,1.970737528722566e-08,6.5094056367343e-08
1854,1.0910895298366086e-08,4.72805474771576e-08
1855,2.7596072982305486e-08,5.306937111981824e-08
1856,2.2261913201759853e-08,2.8992259260007813e-08
1857,2.4895696171256532e-08,4.637433548282388e-08
1858,8.808616946964776e-09,3.131952652779546e-08
1859,2.5460867192350634e-08,6.670747154657874e-08
1860,4.439868561689764e-08,7.781212474355925e-08
1861,2.6880993431177558e-08,4.810283016354333e-08
1862,2.3493528900075944e-08,4.789065499721801e-08
1863,4.5950510951797696e-08,3.7459656709870615e-08
