year,voudrait_VERB appliquer_VERB
1800,0.0
1801,2.8574191901498125e-08
1802,0.0
1803,1.950339267864365e-08
1804,2.4718509461507665e-09
1805,1.421438877713399e-08
1806,5.76333825108577e-09
1807,2.8469551160981155e-09
1808,4.078933102391602e-08
1809,2.4849335034105025e-08
1810,1.1700633351097167e-08
1811,7.521229861140455e-09
1812,4.000812481308458e-08
1813,1.1502966579257645e-08
1814,1.2586708564299443e-08
1815,2.966945977789237e-08
1816,2.7811246638975717e-08
1817,1.0898113522728181e-08
1818,9.536941902865692e-09
1819,2.4842520929269085e-08
1820,3.322614716694261e-08
1821,1.2819934447350079e-08
1822,2.90742860897808e-08
1823,6.917880934764753e-09
1824,1.2631669044083083e-08
1825,1.4088708866211164e-08
1826,2.906634755106552e-08
1827,4.7929820112813104e-08
1828,3.0268594741755805e-08
1829,4.029392641768936e-08
1830,1.0436835395921662e-08
1831,3.585977381703742e-08
1832,1.7588959622116818e-08
1833,1.3900354645102198e-08
1834,1.8669062740173104e-08
1835,3.554651328840919e-08
1836,2.352262562510532e-08
1837,2.5048407792382932e-08
1838,2.5879863585487328e-08
1839,2.0974425751774106e-08
1840,2.1019973317493168e-08
1841,1.4125206782011901e-08
1842,3.4882980060046975e-08
1843,4.7255287682901326e-08
1844,4.445734802516199e-08
1845,1.8414752389617206e-08
1846,1.9905304071698993e-08
1847,3.3977308078192436e-08
1848,2.735375304041554e-08
1849,4.692472543865733e-08
1850,3.190828223864628e-08
1851,2.579775504329973e-08
1852,3.385483537954315e-08
1853,3.642878354526147e-08
1854,1.4028294081924741e-08
1855,2.5473298137512757e-08
1856,3.468716869292621e-08
1857,3.221796163188628e-08
1858,3.7191938417890924e-08
1859,2.64793023063703e-08
1860,1.6477862629926676e-08
1861,3.206855225812433e-08
1862,1.490935552794781e-08
1863,2.6970951694238465e-08
1864,3.0206784629172034e-08
1865,3.530133341200781e-08
1866,2.432806489593986e-08
1867,2.9602150064533816e-08
1868,2.222943251695142e-08
1869,2.783605879130846e-08
1870,1.77755516972411e-08
1871,4.354682658913589e-08
1872,2.660829245826335e-08
