year,ont_VERB attrapé_VERB,ont_VERB rattrapé_VERB
1800,9.432493897065797e-09,0.0
1801,2.6193008650921e-08,7.143547975374531e-09
1802,5.818384352096473e-08,0.0
1803,1.950339267864365e-08,9.751696339321825e-09
1804,9.887403784603066e-09,0.0
1805,0.0,0.0
1806,2.0171682990621775e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,9.064295980465431e-09,0.0
1809,9.036122072814123e-09,0.0
1810,3.978215445954447e-08,0.0
1811,2.757784400841956e-08,0.0
1812,8.00162425207418e-09,0.0
1813,5.751483289628823e-09,0.0
1814,3.1466772298927026e-08,0.0
1815,5.394447111228828e-09,0.0
1816,6.952811659743929e-09,0.0
1817,1.401186100480345e-08,0.0
1818,5.0068944545955674e-08,0.0
1819,1.0351049795076506e-08,0.0
1820,3.797273961936298e-08,0.0
1821,3.550135829755163e-08,0.0
1822,3.308453244699194e-08,0.0
1823,1.2847492847356534e-08,0.0
1824,3.115811608722652e-08,0.0
1825,4.4027217427355936e-09,0.0
1826,1.9377566218281572e-08,0.0
1827,1.013900075008678e-08,0.0
1828,7.337841001486822e-09,0.0
1829,3.1720752247110795e-08,0.0
1830,1.878630406793036e-08,0.0
1831,2.494592976631793e-08,1.5591206103948707e-09
1832,2.705993873419743e-09,6.764984572527055e-09
1833,6.950177322551099e-09,0.0
1834,7.467624740797874e-09,0.0
1835,3.327758690829796e-08,0.0
1836,1.747394939854985e-08,0.0
1837,2.365682938432201e-08,1.3915781860163179e-09
1838,1.199310784016916e-08,3.1560809521380406e-09
1839,2.7965900706306e-09,0.0
1840,4.458782232319436e-09,6.369688665408546e-10
1841,1.0272877659645019e-08,6.420548537278137e-10
1842,5.366612043644636e-09,0.0
1843,1.1813821920725331e-08,0.0
1844,8.232841963717874e-09,0.0
1845,6.138250796539069e-09,3.348136878855712e-09
1846,3.102885770545072e-08,0.0
1847,3.775256551818984e-09,0.0
1848,1.528592186161859e-08,0.0
1849,5.02764896381791e-09,0.0
1850,9.504594444820214e-09,0.0
1851,9.029214709244116e-09,0.0
1852,1.0416872697760482e-08,0.0
1853,1.2541057081705276e-08,7.166318205520383e-09
1854,3.117398783558656e-09,5.195664454227256e-10
1855,7.960405667972736e-09,1.0613874223963649e-09
1856,1.1907535402144731e-08,0.0
1857,1.6597130780837688e-08,9.763018171682347e-10
1858,1.8595969208945462e-08,9.787352039936081e-10
1859,1.629495471888731e-08,1.018434669930457e-09
1860,1.5104706818647173e-08,4.577183909670879e-10
1861,2.357981898626349e-08,1.8863854922557266e-09
1862,1.671654992208005e-08,2.710791813242963e-09
1863,1.1487627737949424e-08,4.994620828036034e-10
1864,2.0137857603685916e-08,4.315255264231155e-09
1865,1.6003271596787272e-08,2.3534221238463715e-09
1866,8.271541673821048e-09,1.9462451650298362e-09
1867,4.998396008204509e-08,0.0
1868,1.1361710683388537e-08,5.9278488784286765e-09
