year,fallut_VERB apporter_VERB,fallut_VERB rapporter_VERB
1800,3.144164484325529e-09,1.8864987794131594e-08
1801,4.7623651688866175e-09,0.0
1802,1.3427040812530322e-08,1.7902721083373763e-08
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,0.0,4.5321479902327155e-09
1809,0.0,0.0
1810,1.4040760554223652e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,8.091670444798638e-09
1816,0.0,2.3176038865813098e-09
1817,0.0,6.227493631882908e-09
1818,1.1921176934492905e-08,0.0
1819,1.0351049795076506e-08,0.0
1820,5.933240565525466e-09,5.933240565525466e-09
1821,5.9168927535324656e-09,7.88919063410276e-09
1822,2.3058916553964082e-08,1.2030739071633434e-08
1823,1.581229902569703e-08,0.0
1824,1.0105335235266466e-08,0.0
1825,1.3208164340028361e-08,7.044354433105582e-09
1826,6.1655889282974385e-09,1.6735169694470642e-08
1827,0.0,0.0
1828,7.337841001486822e-09,2.7516904310687096e-09
1829,1.3717081692732336e-08,8.57317605795771e-10
1830,2.0873671680021744e-09,6.262101504006523e-09
1831,1.2472964883158966e-08,0.0
1832,3.111892965534935e-08,1.7588959622116818e-08
1833,3.4750886612755494e-09,0.0
1834,1.0267983796552471e-08,0.0
1835,7.563087933704082e-10,3.781543966852041e-09
1836,6.72075017860152e-09,6.720750067579218e-10
1837,2.5744196108234974e-08,5.5663127440652715e-09
1838,6.312161904276081e-09,7.574594285131298e-09
1839,4.194885327990505e-09,1.3982950353153e-09
1840,9.554533164646273e-09,8.280594876453051e-09
1841,4.494383976094696e-09,4.494383976094696e-09
1842,1.408735705865638e-08,2.683306021822318e-09
1843,4.134837805480629e-09,5.906910960362666e-09
1844,9.879410178825765e-09,0.0
1845,3.348136878855712e-09,1.674068439427856e-09
1846,4.6836010625384006e-09,4.0981511517657054e-09
1847,4.853901280910122e-09,7.550513103637968e-09
1848,8.84974404868899e-09,8.04522137798358e-09
1849,5.865590679832167e-09,5.02764896381791e-09
1850,1.2220192857625989e-08,4.752297222410107e-09
1851,6.449438760824933e-10,6.449438760824933e-10
1852,1.1718981340891332e-08,4.557382027314816e-09
1853,5.971931837933653e-09,4.777545470346922e-09
1854,1.1950028522278444e-08,1.1950028522278444e-08
1855,5.306937111981824e-09,9.021793090369101e-09
1856,6.73034605824796e-09,3.1063134287023786e-09
1857,6.8341128311999455e-09,4.881508974818871e-09
1858,4.404308473482388e-09,4.893676019968041e-10
1859,1.1202780925145817e-08,4.582956236731661e-09
1860,3.661747127736703e-09,1.0985241161165504e-08
1861,3.3011746669586728e-09,1.0375120318428799e-08
1862,6.325180823552046e-09,3.162590411776023e-09
1863,9.989241656072068e-10,3.496234635136375e-09
1864,1.2466292886870178e-08,0.0
1865,9.41368871743009e-10,3.765475486972036e-09
1866,2.432806400776144e-09,1.9462451650298362e-09
1867,6.308654931785895e-09,6.79393608038481e-09
1868,6.421836395986702e-09,5.433861360870651e-09
1869,4.883519144627257e-10,0.0
1870,3.4404292748035914e-09,9.747882501187632e-09
1871,2.1242354542039266e-09,5.3105884134652115e-09
1872,3.628403577593531e-09,4.23313739617015e-09
1873,5.986004469882289e-10,3.591602570907071e-09
1874,1.7923826867161097e-09,7.766991494406739e-09
1875,8.010138330405425e-09,1.716458086775674e-09
1876,7.859819461941697e-09,3.627608879952504e-09
1877,1.2988113695655557e-08,8.040260901509555e-09
1878,4.22736201599605e-09,5.435179861734696e-09
1879,1.221865097988939e-08,4.887460214320072e-09
1880,1.2193908105473383e-08,1.9253538763308597e-09
1881,9.064259565150223e-09,9.761510710859511e-09
