year,fallait_VERB abaisser_VERB,fallait_VERB rabaisser_VERB
1800,5.345079756580162e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,2.106114038724627e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,3.200649700829672e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.1577788444915313e-08,2.697223555614414e-09
1816,0.0,2.3176038865813098e-08
1817,1.2454987263765815e-08,0.0
1818,0.0,1.1921177378582115e-09
1819,8.280840013696888e-09,0.0
1820,1.779972080839798e-08,0.0
1821,4.930744257336528e-09,0.0
1822,8.02049271442229e-09,0.0
1823,0.0,0.0
1824,5.894778887238772e-09,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,1.474763688946723e-08,0.0
1828,1.8344602503717056e-09,0.0
1829,1.0287811491593857e-08,0.0
1830,9.39315203396518e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,2.705993829010822e-08,0.0
1833,6.950177322551099e-09,0.0
1834,5.600718555598405e-09,0.0
1835,1.0588323107185715e-08,0.0
1836,1.68018754465038e-08,0.0
1837,1.3219993100221927e-08,0.0
1838,3.1560809521380406e-09,0.0
1839,1.0487212875887053e-08,0.0
1840,1.7198159341091923e-08,4.458782232319436e-09
1841,8.346713542550788e-09,1.2841097074556274e-09
1842,2.683306021822318e-09,6.708265054555795e-10
1843,9.451057714215949e-09,1.1813822142769936e-09
1844,1.4270259640625227e-08,0.0
1845,2.0646844234306627e-08,0.0
1846,6.439951683034906e-09,0.0
1847,1.1325769655456952e-08,0.0
1848,2.494018680465615e-08,8.045221711050488e-10
1849,5.111443002192573e-08,0.0
1850,3.394498016007219e-09,0.0
1851,1.0319102017319892e-08,0.0
1852,1.8229528109259263e-08,0.0
1853,8.957897534855874e-09,5.971931837933653e-10
1854,1.3508727469968562e-08,2.5978321716024766e-09
1855,7.960405667972736e-09,0.0
1856,5.694908100650764e-09,5.694908100650764e-09
1857,6.8341128311999455e-09,0.0
1858,8.31924928945682e-09,0.0
1859,7.129042689513199e-09,0.0
1860,8.696649622663699e-09,5.492620580582752e-09
1861,1.2733101684148096e-08,0.0
1862,1.7168348520613108e-08,0.0
1863,1.548332484446746e-08,0.0
1864,4.794728170054441e-09,0.0
1865,1.2237795665726026e-08,2.8241067262513297e-09
1866,6.3252967308358166e-09,0.0
1867,9.7056229719783e-09,0.0
1868,1.877152122631287e-08,2.4699371437009177e-09
