year,doivent_VERB appliquer_VERB
1800,1.8864987794131594e-08
1801,2.6193008650921e-08
1802,1.1189200677108602e-08
1803,3.1205427575287104e-08
1804,3.460591457837836e-08
1805,6.822906328807221e-08
1806,2.5935023018064385e-08
1807,5.693910054560547e-08
1808,7.478044494746428e-08
1809,2.710836710662079e-08
1810,9.594519667643908e-08
1811,5.515568801683912e-08
1812,4.800974906515876e-08
1813,7.764502640839055e-08
1814,5.034683425719777e-08
1815,1.6183340889597275e-08
1816,7.416332437060191e-08
1817,2.3353100786493997e-08
1818,2.2650237241350624e-08
1819,3.3123360054787554e-08
1820,3.322614716694261e-08
1821,3.155676253641104e-08
1822,4.712039469723095e-08
1823,6.423746157224741e-08
1824,4.21055617039201e-08
1825,4.226612659863349e-08
1826,7.04638765114396e-08
1827,8.387718253288767e-08
1828,4.4027046897099353e-08
1829,5.744027831156018e-08
1830,8.662573947049168e-08
1831,9.978371906527173e-08
1832,7.035583848846727e-08
1833,5.6759780875381693e-08
1834,8.68111342811062e-08
1835,4.9160071569076536e-08
1836,9.005805168271763e-08
1837,6.331680424409569e-08
1838,5.491580878924651e-08
1839,6.641901251214222e-08
1840,5.350538501147639e-08
1841,5.008027770259105e-08
1842,6.238686722781495e-08
1843,4.7255287682901326e-08
1844,6.915587391631561e-08
1845,5.970844085823046e-08
1846,6.498496674112175e-08
1847,4.907833428546837e-08
1848,7.884317199113866e-08
1849,6.703531596485846e-08
1850,7.5357853290825e-08
1851,5.6755062871616246e-08
1852,8.268392548416159e-08
1853,6.091370607919089e-08
1854,4.416314780542052e-08
1855,5.890700194299825e-08
1856,6.316170697573398e-08
1857,5.760180599168052e-08
1858,4.061751113226819e-08
1859,3.6154432336843456e-08
1860,5.5841642421228244e-08
1861,5.611996911625283e-08
1862,4.743885639868495e-08
1863,3.446288232566985e-08
1864,5.370095124135332e-08
1865,2.8241066374334878e-08
1866,4.476363812955242e-08
1867,4.949867715708933e-08
1868,5.4832600682175325e-08
1869,3.711474505507795e-08
1870,3.956493799250893e-08
1871,6.372706451429622e-08
1872,4.051717183983783e-08
1873,3.1725821969530443e-08
1874,4.899179373296647e-08
1875,3.4901315615343265e-08
1876,5.622793608495158e-08
1877,3.587193120324628e-08
1878,3.01954443671093e-08
1879,3.726688291294522e-08
1880,7.38052321480609e-08
1881,6.48443219120054e-08
1882,7.786800892972678e-08
1883,5.1186646032874705e-08
1884,8.054070121943369e-08
1885,4.963139588198828e-08
1886,3.291266637006629e-08
1887,6.920659956222153e-08
1888,4.375024076352929e-08
1889,6.954302023132186e-08
1890,1.0028211505641593e-07
1891,7.33035321331954e-08
1892,5.767031296954883e-08
1893,5.665743074700913e-08
1894,6.742646974089439e-08
1895,7.282523739604585e-08
1896,7.371286159241208e-08
1897,7.050323347357335e-08
1898,5.828105642535775e-08
1899,1.2879257837994373e-07
1900,1.1472227612330244e-07
1901,1.1792239007490934e-07
1902,9.624156405152462e-08
1903,6.210253644667318e-08
1904,4.998401337275027e-08
1905,8.824898145576299e-08
1906,6.738881808132646e-08
1907,1.1468540606074384e-07
1908,9.970119663194055e-08
1909,6.986249445617432e-08
1910,7.749018493541371e-08
1911,7.980560923215307e-08
1912,6.772247473918469e-08
1913,5.88631863251976e-08
1914,7.902157506123331e-08
1915,5.301343009023185e-08
1916,7.471474106068854e-08
1917,8.005489604556715e-08
1918,1.0337738842736144e-07
1919,5.340552178267899e-08
1920,8.480899538199083e-08
1921,1.2040668195822946e-07
1922,8.041949683956773e-08
1923,8.917396598917549e-08
1924,7.477142105472012e-08
1925,8.908524051776112e-08
1926,4.56991671171636e-08
1927,8.58490309951776e-08
1928,9.02657291135256e-08
1929,9.135133183235666e-08
1930,7.037414206934045e-08
1931,1.300210641375088e-07
1932,8.110057336807586e-08
1933,9.061822936473618e-08
1934,8.866369682891673e-08
1935,7.659701850570855e-08
1936,6.789839801513153e-08
1937,9.821071955684602e-08
1938,1.0372171743711078e-07
1939,7.647025057622159e-08
1940,5.832300686847702e-08
1941,8.854507882460894e-08
1942,4.247896612241675e-08
1943,4.064529335323641e-08
1944,5.462416652335378e-08
1945,4.357008265287732e-08
1946,5.707652661612883e-08
1947,6.318061451793255e-08
1948,5.435943961629164e-08
1949,1.0209688383611137e-07
1950,7.444752725405124e-08
1951,8.742349422163898e-08
1952,1.1493835927467444e-07
1953,8.619061730996691e-08
1954,9.088458341466321e-08
1955,8.447047150639264e-08
1956,7.587393469066228e-08
1957,8.304935761316301e-08
1958,8.354965785883905e-08
1959,1.0618524726169198e-07
1960,7.405292024031951e-08
1961,8.546236074380431e-08
1962,1.0147130069526611e-07
1963,8.793832506626131e-08
