year,devait_VERB envoyer_VERB,devait_VERB renvoyer_VERB
1800,2.5153315874604232e-08,1.5720821977538435e-08
1801,7.619784270218588e-08,3.5717739876872656e-08
1802,1.1189200677108602e-07,1.3427040812530322e-08
1803,4.8758479920252285e-08,1.950339267864365e-08
1804,2.9662210465630778e-08,4.943701892301533e-09
1805,9.665784261869703e-08,3.1271653710973624e-08
1806,1.4408345627714425e-08,4.610670600868616e-08
1807,1.5942949005420815e-07,5.693910054560547e-08
1808,4.305540457494317e-08,3.852325747288887e-08
1809,1.7620438086396462e-07,6.777091243748146e-08
1810,7.254392642153107e-08,6.786367379163494e-08
1811,1.9053783262279467e-07,4.011322829455821e-08
1812,1.0935553973467904e-07,1.1735716043403954e-07
1813,1.2365688917270745e-07,4.3136125782439194e-08
1814,6.293354459785405e-08,2.8320094713762956e-08
1815,1.3216394734172354e-07,5.933891955578474e-08
1816,3.9399267848239106e-08,1.8540831092650478e-08
1817,1.4167548556542897e-07,1.71256075987003e-08
1818,1.8597036444134574e-07,3.5763530803478716e-08
1819,1.500902300222151e-07,2.794783426907088e-08
1820,2.491960913175717e-07,3.9159388620646496e-08
1821,1.7257605122722453e-07,2.9584464655840748e-08
1822,1.4737655362750957e-07,2.5064039732569654e-08
1823,2.6584427814668743e-07,4.15072847204101e-08
1824,1.945277006143442e-07,3.705289586264371e-08
1825,2.879379792375403e-07,7.04435478837695e-08
1826,2.589547420939198e-07,4.315912249808207e-08
1827,2.037017310385636e-07,7.742509211539073e-08
1828,1.5317742452225502e-07,9.172300963200541e-08
1829,2.6834041477741266e-07,2.914879893012312e-08
1830,1.6594569274275273e-07,4.905312778191728e-08
1831,1.808579952466971e-07,5.9246584527272717e-08
1832,1.4071167697693454e-07,5.0060886991332154e-08
1833,1.285782786908385e-07,4.749287541017111e-08
1834,9.614566920390644e-08,2.240287422239362e-08
1835,1.792451769233594e-07,4.4622218808854086e-08
1836,2.0296664615671034e-07,3.2259599436201825e-08
1837,2.219567249994725e-07,4.940102726891382e-08
1838,1.9757067093451042e-07,3.471689069556305e-08
1839,2.328161201603507e-07,5.8029243632518046e-08
1840,2.7644449573926977e-07,3.3759349093998026e-08
1841,2.0096317143725173e-07,4.943822418113086e-08
1842,2.0929786614942714e-07,4.561620414733625e-08
1843,2.0792326438368036e-07,3.485077471054865e-08
1844,2.1734702215781e-07,4.7750482679020934e-08
1845,1.6740683861371508e-07,3.013322924516615e-08
1846,1.9261310058027448e-07,3.688335681317767e-08
1847,1.6826857063279022e-07,5.015698079091635e-08
1848,1.874536650348091e-07,7.079795238951192e-08
1849,2.0194390515371197e-07,6.954914510970411e-08
1850,2.1317447362889652e-07,1.6293590476834652e-08
1851,1.3027866430093127e-07,3.8696633453128015e-08
1852,1.0286661478176029e-07,3.6459056218518526e-08
1853,1.6542250591555785e-07,2.508211416341055e-08
1854,1.6002645963908435e-07,5.455447649183043e-08
1855,1.501863238217993e-07,5.625353338700734e-08
1856,1.346069211649592e-07,3.1063134287023786e-08
1857,1.6645945777327142e-07,4.393358210563747e-08
1858,1.8057664874504553e-07,3.131952652779546e-08
1859,2.1896345003824536e-07,1.8331824946926645e-08
1860,1.9498803283113375e-07,3.524431591017674e-08
1861,1.6788830237146612e-07,3.6312922446768425e-08
1862,1.6400289837292803e-07,3.162590545002786e-08
1863,1.7631010962304572e-07,3.845858032036631e-08
1864,1.8267913048930495e-07,3.0206784629172034e-08
1865,1.8309624749690556e-07,4.094954419997521e-08
1866,1.9365138825833128e-07,1.8489329178805747e-08
