year,pourrait_VERB appliquer_VERB,pourrait_VERB rappliquer_VERB
1800,7.545995117652637e-08,0.0
1801,1.0715321963061797e-07,0.0
1802,9.84649659585557e-08,0.0
1803,1.1507001573818343e-07,0.0
1804,1.0628959046243835e-07,0.0
1805,1.4782963830839435e-07,0.0
1806,1.2967511509032192e-07,0.0
1807,1.6512339584551228e-07,0.0
1808,1.6768947830314573e-07,0.0
1809,1.1746958961111886e-07,2.259030518203531e-09
1810,1.942305232205399e-07,0.0
1811,1.5293167621166504e-07,0.0
1812,1.9203899626063503e-07,0.0
1813,1.8404746526812232e-07,0.0
1814,1.7621391634747852e-07,0.0
1815,1.8610842289490392e-07,0.0
1816,2.456660013194778e-07,0.0
1817,1.9149543106777855e-07,0.0
1818,1.740491910595665e-07,0.0
1819,1.376689624521532e-07,0.0
1820,1.6019750148643652e-07,0.0
1821,2.268142367256587e-07,0.0
1822,2.2758148077173246e-07,0.0
1823,1.6701740435109969e-07,0.0
1824,1.4989581131885643e-07,0.0
1825,2.0604736050700012e-07,0.0
1826,2.0258363520042622e-07,0.0
1827,1.8250200639613468e-07,0.0
1828,1.8528048428834154e-07,0.0
1829,2.3404770388424367e-07,0.0
1830,1.930814619299781e-07,0.0
1831,2.104812892866903e-07,0.0
1832,2.300094763540983e-07,0.0
1833,1.610124371609345e-07,0.0
1834,2.1189384824538138e-07,0.0
1835,1.8907719834260206e-07,0.0
1836,2.076711780318874e-07,0.0
1837,1.7742621594152297e-07,0.0
1838,2.0262039868157444e-07,0.0
1839,2.1533743677082384e-07,0.0
1840,2.3822636308068468e-07,0.0
1841,2.869985280540277e-07,0.0
1842,2.368017533171951e-07,0.0
1843,2.4159265876733116e-07,0.0
1844,2.969311765355087e-07,0.0
1845,2.2599922999688715e-07,0.0
1846,2.4354724814656947e-07,0.0
1847,2.5833540462372184e-07,0.0
1848,1.9871697531925747e-07,0.0
1849,2.4635480144752364e-07,0.0
1850,2.450827594202565e-07,6.788996032014438e-10
1851,2.431438304029143e-07,0.0
