year,devrait_VERB emporter_VERB,devrait_VERB remporter_VERB
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,2.0140561218795483e-08,0.0
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,3.008491944456182e-08,0.0
1812,0.0,0.0
1813,2.5881675469463516e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,0.0
1818,4.768470951432846e-09,5.960588467246453e-09
1819,9.315945348475907e-09,0.0
1820,3.5599443393152796e-09,1.1866481131050932e-09
1821,8.875339574387908e-09,0.0
1822,4.010246357211145e-09,0.0
1823,7.906149512848515e-09,9.882686891060644e-10
1824,1.0105335235266466e-08,0.0
1825,7.924898959288385e-09,0.0
1826,8.807984341885344e-10,0.0
1827,1.1982455028203276e-08,0.0
1828,4.586150570418113e-09,0.0
1829,1.3717081692732336e-08,0.0
1830,2.400472176589119e-08,0.0
1831,1.5591206548037917e-08,0.0
1832,5.411987746839486e-09,1.3529969367098715e-09
1833,1.9692167896323554e-08,0.0
1834,6.534171426153534e-09,0.0
1835,1.5126175867408165e-08,0.0
1836,1.6129799718100912e-08,6.720750067579218e-10
1837,5.5663127440652715e-09,4.87052354003481e-09
1838,5.680945491803868e-09,6.312161904276081e-10
1839,8.38977065598101e-09,2.0974426639952526e-09
1840,1.1465439264668476e-08,6.369688665408546e-10
1841,5.1364388298225094e-09,4.494383976094696e-09
1842,8.720745015011744e-09,0.0
1843,3.5441467538532834e-09,2.3627644285539873e-09
1844,4.9397050894128824e-09,3.841992946007622e-09
1845,5.580227835366713e-09,5.580227946389016e-10
1846,4.6836010625384006e-09,0.0
1847,1.3483059113639229e-08,5.393223645455691e-10
1848,8.84974404868899e-09,0.0
1849,3.3517659758786067e-09,0.0
1850,6.1100964288129944e-09,0.0
1851,7.094382858952031e-09,0.0
1852,9.114764054629632e-09,6.510545436100301e-10
1853,1.1943863675867306e-09,0.0
1854,1.558699391779328e-09,4.1565315633818045e-09
1855,4.776243400783642e-09,3.714855978387277e-09
