year,devraient_VERB entrer_VERB,devraient_VERB rentrer_VERB
1800,2.2009151834367913e-08,0.0
1801,0.0,0.0
1802,8.951360541686881e-09,0.0
1803,3.900678446910888e-09,5.851017448321727e-09
1804,2.4718509905596875e-08,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,1.3554183553310395e-08,0.0
1810,2.3401266702194334e-08,9.360507036149102e-09
1811,4.011322829455821e-08,0.0
1812,4.5342538612658245e-08,1.3336041604361526e-08
1813,7.189353823378042e-08,0.0
1814,9.440030979135372e-09,3.1466771410748606e-09
1815,1.0788894222457657e-08,1.0788894222457657e-08
1816,0.0,0.0
1817,1.0898113522728181e-08,3.113746815941454e-09
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,3.1053151161586356e-09,4.140420006848444e-09
1820,3.678609061807947e-08,1.1866481131050932e-08
1821,1.3806083387635226e-08,4.930744257336528e-09
1822,1.1028177482330648e-08,2.606660132187244e-08
1823,2.2730180404550993e-08,5.929612356680991e-09
1824,2.189489300974401e-08,1.2631669044083083e-08
1825,3.522177216552791e-09,6.163809906922779e-09
1826,3.699353356978463e-08,1.4973572604048968e-08
1827,2.027800150017356e-08,1.8434546111834038e-09
1828,3.0268594741755805e-08,1.2841221419535032e-08
1829,3.086343269842473e-08,1.800366966620004e-08
1830,8.349468672008697e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,6.764984572527055e-09,1.488296597074168e-08
1833,3.1275796175123105e-08,1.1583628500844156e-09
1834,2.14694217959277e-08,4.667265685043276e-09
1835,2.7983425354705105e-08,3.025235173481633e-09
1836,8.736974699274924e-09,4.704525213838906e-09
1837,1.87863058442872e-08,1.3915781860163179e-09
1838,2.7773513266993177e-08,6.312161904276081e-10
1839,3.985140750728533e-08,1.7478688718597368e-08
1840,1.0191501864653674e-08,1.1465439264668476e-08
1841,3.659712533021775e-08,1.6693427085101575e-08
1842,8.720745015011744e-09,3.3541325272778977e-09
1843,1.4767278067040479e-08,1.4176587015413133e-08
1844,2.030767731753258e-08,5.488561161115513e-09
1845,3.2923345827384765e-08,1.1160455670733427e-08
1846,1.6978054517835517e-08,2.1076203893244383e-08
1847,3.020205241455187e-08,8.629157832729106e-09
1848,3.539897619475596e-08,3.378993085334514e-08
1849,3.6869426622843093e-08,1.1731181359664333e-08
1850,3.2587180953669304e-08,1.0183494048021657e-08
1851,1.805842941848823e-08,9.029214709244116e-09
1852,1.3021090872200602e-08,9.765818376195057e-09
1853,2.09017620989016e-08,1.911018188138769e-08
1854,2.338049043260071e-08,1.0391328686409906e-08
1855,3.290301009428731e-08,9.552486801567284e-09
1856,3.002769588533738e-08,3.6240324075009767e-09
1857,2.0502337605421417e-08,5.857811125054013e-09
1858,2.397901255335455e-08,1.663849857891364e-08
1859,2.0877910955618972e-08,1.171199848215565e-08
1860,3.066713105681629e-08,1.0069804545764782e-08
1861,1.744906619194353e-08,6.6023493339173456e-09
1862,2.6204320491274302e-08,1.8523744316212287e-08
1863,1.897955925755923e-08,9.989241434027463e-09
1864,2.2535221688713136e-08,6.712618905169165e-09
1865,1.7415324293779122e-08,5.6482134525026595e-09
1866,1.9462451206209153e-08,1.4110277390955162e-08
1867,2.038180824115443e-08,4.0278337110066786e-08
1868,2.0253484223076157e-08,4.939874287401835e-09
1869,2.6859355628516823e-08,8.790334682373668e-09
1870,2.6376625328339287e-08,1.8922360567330543e-08
1871,4.354682658913589e-08,1.5931766128574054e-08
1872,4.051717183983783e-08,6.047339518033823e-09
1873,2.9331422624068182e-08,9.577607151811662e-09
1874,1.3741600746186577e-08,4.779687312606029e-09
1875,2.345826111138649e-08,1.0870901512305409e-08
1876,2.7207066821688386e-08,1.3301232115736639e-08
1877,3.958282235316801e-08,1.2369632429454214e-08
1878,2.4156355138416075e-08,1.3889904337816006e-08
1879,2.8102896010295808e-08,7.94212251520321e-09
1880,1.1552122813895949e-08,8.343199908722454e-09
1881,2.719277958362909e-08,1.1853263259808955e-08
1882,2.5290463057103807e-08,1.7304001787010748e-08
1883,2.0221884611260066e-08,1.1374810426900694e-08
1884,1.386356363042296e-08,1.1222884843675729e-08
1885,1.9981470700258797e-08,1.5469526104539e-08
1886,2.0005737511041843e-08,9.034849313138693e-09
1887,2.6115698048556624e-08,2.7421483750345033e-08
1888,1.1413106904001324e-08,1.2047167707862627e-08
1889,2.6940087494153886e-08,1.566284169030041e-08
1890,2.6217545467943637e-08,1.7696843102044113e-08
1891,3.059625441892422e-08,2.6134301833735663e-08
1892,2.1312942521944933e-08,2.6954603882245465e-08
1893,2.8328715373504565e-08,1.970693297437265e-08
1894,1.764431090123253e-08,1.449354058991048e-08
1895,3.250051960890232e-08,2.166701307260155e-08
1896,2.358811634906033e-08,8.255840455717589e-09
1897,3.787363667129284e-08,2.2141511735185304e-08
1898,2.319925584970406e-08,1.0750873968845553e-08
1899,3.3165470370022376e-08,1.2160672469008205e-08
1900,4.1009318607621026e-08,1.7130474816440255e-08
1901,2.5708198236884527e-08,2.0678333711998675e-08
1902,1.9641134940684424e-08,1.5712908307818907e-08
1903,2.9161189019077938e-08,2.8621167658116065e-08
1904,4.998401337275027e-08,1.4511488011237361e-08
1905,3.096455358786443e-08,2.2191263937543226e-08
1906,2.006231980544726e-08,2.0576738535282857e-08
1907,4.1142747875255736e-08,1.5942815068115124e-08
1908,4.6167055955947944e-08,1.5716445034286153e-08
1909,3.905698164885507e-08,1.1552065082298668e-08
1910,4.5959694716657395e-08,7.481810726517324e-09
1911,4.8947441655400326e-08,1.649316061502759e-08
1912,3.5945006970905524e-08,5.730363294986773e-09
1913,2.2802856491921375e-08,1.3257474229533273e-08
1914,3.549274296688054e-08,6.696743604095445e-09
1915,6.361611326610728e-08,1.5314990164938536e-08
1916,4.8344833913915863e-08,6.592477230782379e-09
1917,3.61891991929042e-08,8.773139548168274e-09
1918,3.331049214239101e-08,3.5607765624945387e-08
1919,2.6702760891339494e-08,1.1970202606903513e-08
1920,3.33178178379967e-08,2.6502810612782923e-08
1921,4.770830841493989e-08,1.5902768879527684e-08
1922,3.9103056792555435e-08,6.640141769764796e-09
1923,3.715581797791856e-08,5.307974060286824e-09
1924,4.769901096324247e-08,7.734974438733389e-09
1925,4.2892892793133797e-08,1.8696901804560184e-08
1926,4.904300965336006e-08,6.687683296036084e-09
1927,3.9022285847067906e-08,1.2264147031260109e-08
1928,4.227635130860108e-08,1.3711249025050165e-08
1929,2.4508894469477127e-08,6.684243825105796e-09
1930,4.621585603103995e-08,1.05036033204442e-08
1931,3.307553342324354e-08,1.4826963656844327e-08
1932,3.1782654730250215e-08,1.2055489939655217e-08
1933,3.555905436769535e-08,1.0323596200123575e-08
1934,4.4331848414458364e-08,9.585264137967897e-09
1935,2.992070946561398e-08,1.196828414151696e-08
1936,4.364897421282876e-08,8.487299751891442e-09
