year,excellent_ADJ homme_NOUN,excellent_ADJ rhum_NOUN
1800,5.470846220489989e-07,6.288328968651058e-09
1801,4.9290481740627e-07,0.0
1802,5.214167799749703e-07,0.0
1803,4.5052835595527085e-07,0.0
1804,6.229064140050866e-07,0.0
1805,6.510189809461053e-07,0.0
1806,5.648071237374097e-07,8.645007376628655e-09
1807,4.128084847287994e-07,0.0
1808,4.2375582953724233e-07,0.0
1809,5.353902159388468e-07,1.8072244145628247e-08
1810,5.382291448086107e-07,9.360507036149102e-09
1811,4.863729046178378e-07,0.0
1812,3.867451994210569e-07,5.3344164641089264e-09
1813,5.693968603281974e-07,8.627225156487839e-09
1814,4.5626819256128215e-07,0.0
1815,5.259585824646251e-07,0.0
1816,4.866968144057182e-07,0.0
1817,4.826307311578404e-07,0.0
1818,6.938125114430704e-07,0.0
1819,5.19622703976097e-07,0.0
1820,5.292450406813032e-07,0.0
1821,7.93849789459955e-07,0.0
1822,6.065497899498951e-07,0.0
1823,8.340988015831385e-07,1.9765373782121287e-09
1824,5.372670166536864e-07,1.6842225392110777e-09
1825,7.405377857594431e-07,0.0
1826,5.478566532657325e-07,0.0
1827,6.765478239856293e-07,1.8434546111834038e-09
1828,6.108752899081082e-07,0.0
1829,8.255968593218199e-07,0.0
1830,8.599952572296843e-07,1.0436835840010872e-09
1831,1.2083185154665443e-06,0.0
1832,1.0404546522124747e-06,0.0
1833,8.687721608779952e-07,1.6217079235048004e-08
1834,8.625106744375444e-07,3.733812370398937e-09
1835,1.008159635773609e-06,2.2689263801112247e-09
1836,9.046129605394526e-07,0.0
1837,7.8624168331487e-07,1.3915781860163179e-09
1838,6.855007637085464e-07,8.2058102535143e-09
1839,5.935762494857499e-07,6.9914751765765e-10
1840,7.051245134448436e-07,6.369688665408546e-10
1841,7.325846098638067e-07,6.420548537278137e-10
1842,5.58127626781868e-07,1.341653010911159e-09
1843,7.111920981017761e-07,2.3627644285539873e-09
1844,6.970472803402572e-07,1.097712254427563e-09
1845,6.94738380602189e-07,6.138250796539069e-09
1846,1.0063887527778093e-06,3.5127007969038004e-09
1847,5.732996859464379e-07,0.0
1848,5.607519337758049e-07,0.0
1849,5.144960883995964e-07,5.02764896381791e-09
1850,7.284592662415434e-07,2.0366988096043315e-09
1851,6.933146563525838e-07,3.8696632564949596e-09
1852,5.16286256413423e-07,6.510545436100301e-10
1853,6.742310993956835e-07,1.1943863675867306e-09
1854,6.998560113657959e-07,0.0
1855,8.390267645097538e-07,1.0613874223963649e-09
1856,7.315368151239454e-07,1.0354378465748937e-09
1857,8.728137999014507e-07,0.0
1858,9.983099422683495e-07,1.468102750479261e-09
1859,9.965383256371751e-07,5.092173349652285e-10
1860,1.1076784636188108e-06,4.577183909670879e-10
1861,8.738681032127715e-07,1.8863854922557266e-09
1862,9.03597240586862e-07,1.8071945051545413e-09
1863,8.805516529264423e-07,0.0
1864,8.462694873756504e-07,2.3973640850272204e-09
1865,9.267776590604626e-07,0.0
1866,8.743506203501283e-07,9.731225825149181e-10
1867,7.720822861045917e-07,0.0
1868,8.056934746036859e-07,4.44588676984381e-09
1869,8.233613506547499e-07,4.883519144627257e-10
1870,7.953125642501391e-07,5.734048791339319e-10
1871,7.817186720160407e-07,0.0
1872,7.680120921449429e-07,1.8142017887967654e-09
1873,7.841665876640036e-07,0.0
1874,8.07169710625999e-07,1.1949218281515073e-09
1875,8.073074919678902e-07,0.0
1876,7.763083056389064e-07,3.627608879952504e-09
1877,7.279528508874478e-07,1.2369631985365004e-09
1878,6.769818430285568e-07,6.039088673581716e-10
1879,7.752733508503695e-07,0.0
1880,7.496044567290028e-07,1.2835692508872398e-09
1881,7.795263332610602e-07,6.972507571312292e-10
1882,7.879976093860819e-07,6.655385131892899e-10
1883,9.46005021873475e-07,6.319338941018771e-10
1884,8.965104250080458e-07,0.0
1885,8.785401703903517e-07,0.0
1886,7.982934961958676e-07,6.453463874400711e-10
1887,7.43644513079289e-07,0.0
1888,8.077943185469394e-07,1.268122939990235e-09
1889,7.236232786311803e-07,1.8795409673089125e-09
1890,7.327804123491433e-07,0.0
1891,7.425966153107311e-07,1.9122659011827636e-09
1892,7.942204920396989e-07,4.387958441043338e-09
1893,8.178377033374318e-07,6.158416554491453e-10
1894,7.290880823518364e-07,3.150769645188234e-09
1895,7.986701309192767e-07,6.018614495673091e-10
1896,8.061238752077315e-07,0.0
1897,7.289218615369464e-07,5.826713556089658e-10
1898,6.00351457435977e-07,0.0
1899,6.91500085636676e-07,1.1055156790007459e-09
1900,6.680885196175268e-07,1.038210628578895e-09
1901,6.589123033862165e-07,5.588738916095792e-10
1902,5.862878746931699e-07,4.910283846193408e-10
1903,6.966283967457798e-07,0.0
1904,6.223816040318297e-07,0.0
1905,6.141302995033016e-07,1.5482277682110634e-09
1906,6.49710495181921e-07,0.0
1907,6.078841137124869e-07,2.5714217422034835e-09
1908,6.772805285493178e-07,0.0
1909,8.119451653243459e-07,0.0
1910,7.011525902100857e-07,5.344150677544235e-10
1911,6.187595218420938e-07,1.5961122423746588e-09
1912,6.70452529938359e-07,1.0418842455450772e-09
1913,6.665858043319872e-07,0.0
1914,6.998097141774906e-07,6.696743715117748e-10
1915,5.525177249054991e-07,0.0
1916,4.757571048230602e-07,6.592477230782379e-09
1917,4.869092560255694e-07,0.0
1918,5.329678440801899e-07,1.1486376294556067e-09
1919,5.616787746021146e-07,0.0
