year,faut_VERB échauffer_VERB,faut_VERB réchauffer_VERB
1800,1.2576657937302116e-08,3.458580977167003e-08
1801,4.7623650800687756e-08,1.904946067554647e-08
1802,3.3567602031325805e-08,1.1189200677108602e-08
1803,9.751696339321825e-09,7.801356893821776e-09
1804,9.887403784603066e-09,3.213406074564773e-08
1805,3.695740957709859e-08,5.685755422035754e-09
1806,5.76333825108577e-09,1.4408345627714425e-08
1807,5.693910054560547e-08,0.0
1808,0.0,2.2660739951163578e-09
1809,1.581321384946932e-08,2.25903047379461e-08
1810,9.360507036149102e-09,5.616304221689461e-08
1811,1.7549536934780008e-08,1.7549536934780008e-08
1812,2.400487453257938e-08,4.267533171287141e-08
1813,1.1502966579257645e-08,0.0
1814,4.405347908686963e-08,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,9.270415546325239e-09
1817,0.0,3.113746815941454e-09
1818,1.7881765401739358e-08,8.344824387052086e-09
1819,1.5526575580793178e-08,3.1053151161586356e-09
1820,1.1866481131050932e-09,1.779972080839798e-08
1821,2.3667571014129862e-08,5.9168927535324656e-09
1822,1.9048670196752937e-08,1.9048670196752937e-08
1823,9.882686669016039e-09,6.917880934764753e-09
1824,4.210556348027694e-09,5.894778887238772e-09
1825,1.2327619813845558e-08,4.4027217427355936e-09
1826,2.290075862276808e-08,1.145037931138404e-08
1827,2.7651818612639545e-09,9.217273166939322e-09
1828,1.3758452155343548e-08,1.0089530988466322e-08
1829,7.715858174606183e-09,9.430493719264632e-09
1830,1.461157062010443e-08,1.1480519646056564e-08
1831,1.5591206103948707e-09,1.5591206548037917e-08
1832,1.0823975493678972e-08,2.705993873419743e-09
1833,1.1583628278799551e-08,1.50587169400751e-08
1834,9.334531370086552e-09,2.8003592333902816e-08
1835,2.117664621437143e-08,1.3613558280667348e-08
1836,1.4113575197427508e-08,4.032449929525228e-09
1837,6.262101948095733e-09,7.653680356156656e-09
1838,5.680945491803868e-09,1.1361890983607736e-08
1839,7.690622361167243e-09,4.194885327990505e-09
1840,9.554533164646273e-09,5.732719632334238e-09
1841,1.2841097074556274e-09,1.4125206782011901e-08
1842,3.3541325272778977e-09,1.2745703159566801e-08
1843,1.2404512972352677e-08,1.2404512972352677e-08
1844,4.9397050894128824e-09,4.9397050894128824e-09
1845,5.022205318283568e-09,1.0602432709561072e-08
1846,3.5127007969038004e-09,1.1709002656346001e-08
1847,9.168480197274675e-09,0.0
1848,8.045221711050488e-10,4.02261068899179e-09
1849,9.217356655710773e-09,1.6758829879393033e-09
1850,2.7155984128057753e-09,3.394498016007219e-09
1851,1.3543821175687754e-08,1.2898877521649865e-08
1852,3.2552727180501506e-09,4.557382027314816e-09
1853,1.1346670270029335e-08,1.0152284346531815e-08
1854,2.5978321716024766e-09,9.352196350675968e-09
1855,5.306937111981824e-10,1.751289246954002e-08
1856,2.0708756931497874e-09,1.0354378465748937e-09
1857,3.905207268672939e-09,9.763018171682347e-10
1858,4.404308473482388e-09,5.3830437884982985e-09
1859,5.601390462572908e-09,6.619825576592575e-09
1860,1.2358396972445007e-08,1.4189270203246451e-08
1861,2.2165028923382124e-08,6.13075279431996e-09
1862,6.776979422085105e-09,3.6143890103090826e-09
1863,2.097740825490746e-08,5.494082966350788e-09
1864,4.315255264231155e-09,7.671564716815737e-09
1865,2.3534221238463715e-09,1.6003271596787272e-08
1866,1.4596839292835284e-09,2.919367858567057e-09
1867,5.82337378318698e-09,2.91168689159349e-09
1868,6.421836395986702e-09,1.1361710683388537e-08
1869,9.767038289254515e-10,3.4184632902167778e-09
1870,4.587239033071455e-09,2.2936195165357276e-09
1871,5.3105884134652115e-09,5.3105884134652115e-09
1872,1.8746751706544273e-08,1.0885210954825197e-08
1873,7.183205141814142e-09,1.7958013742713774e-08
1874,6.572069999322139e-09,6.572069999322139e-09
1875,2.8607636259891933e-09,8.58229043387837e-09
1876,1.209202959984168e-08,2.418405919968336e-09
1877,1.6699003069220453e-08,2.040989244278535e-08
1878,9.662541877730746e-09,8.4547240319921e-09
1879,1.588424503040642e-08,1.4051448005147904e-08
1880,1.6686399817444908e-08,1.2193908105473383e-08
1881,3.4862537301449947e-09,1.2550513517339823e-08
1882,1.5972924316542958e-08,1.3976308999019693e-08
1883,3.791603475633565e-09,6.319338829996468e-09
1884,3.300848483434038e-09,8.582206056928499e-09
1885,4.511945039809007e-09,5.80107206715752e-09
1886,1.936039106809062e-09,1.2261581083805595e-08
1887,1.4363633837888301e-08,1.3057849246322917e-09
1888,8.876860135842435e-09,1.521747527988282e-08
1889,1.3156786771162388e-08,1.1903759755682586e-08
1890,0.0,7.865263995654459e-09
1891,1.0836173736095134e-08,1.2748440525456317e-08
1892,1.3163876211308434e-08,6.268512375839919e-09
1893,3.079208221734575e-09,6.774258043407144e-09
1894,8.192000855444803e-09,8.822155450616265e-09
1895,6.6204757231957956e-09,1.3240951446391591e-08
1896,2.948514543632541e-09,5.307326134129653e-09
1897,7.574727511894253e-09,9.905413378419325e-09
1898,3.3950129374460403e-09,7.355861253444118e-09
1899,6.633094074004475e-09,6.633094074004475e-09
1900,3.633737311048435e-09,1.6092265298084385e-08
1901,5.58873880507349e-09,1.1736351446245408e-08
1902,7.856454153909453e-09,1.0311596021495006e-08
1903,2.7001101354784396e-09,4.320176216765503e-09
1904,4.837162670412454e-09,6.449550227216605e-09
1905,6.708986699521802e-09,9.805441791854719e-09
1906,5.658602919567102e-09,1.0288369267641428e-08
1907,7.199980611716228e-09,1.4399961223432456e-08
1908,8.349361202419914e-09,1.620758460774141e-08
1909,3.300590023513905e-09,1.5402754627302784e-08
1910,1.6032452032632705e-09,1.3894791983659616e-08
1911,3.7242617878519013e-09,6.916486494645824e-09
1912,4.167536982180309e-09,1.0939784189645252e-08
1913,1.060597942803554e-09,1.4318072061314524e-08
1914,4.018046340092951e-09,2.209925398233281e-08
1915,0.0,1.4136913861761968e-08
1916,1.0987462051303964e-09,1.3184954461564757e-08
1917,3.289927441585405e-09,5.483212106582869e-09
1918,0.0,1.033773866510046e-08
1919,0.0,1.5653341733923298e-08
1920,2.2716695191604686e-09,1.4387239843927091e-08
1921,3.0290989716519334e-09,2.120369302360814e-08
1922,7.377935484775833e-10,1.475587119159627e-08
1923,2.1231896241147297e-09,1.3800733000834953e-08
1924,1.289162443462999e-09,1.1602462102189293e-08
1925,4.399271169575059e-09,1.2097995494286806e-08
1926,1.1146138456652466e-09,5.57306911730393e-09
1927,2.2298449753321847e-09,1.2264147031260109e-08
1928,1.1426041224282812e-09,1.3711249025050165e-08
1929,5.570202965543558e-09,1.1140405931087116e-08
1930,1.0503603542488804e-09,3.1510811737689437e-09
1931,1.1405356659111021e-09,5.7026783295555106e-09
1932,7.6716757391182e-09,8.767629289252454e-09
1933,2.2941324395731044e-09,1.0323596200123575e-08
1934,2.3963160344919743e-09,1.3179738189705859e-08
1935,0.0,2.0346082152400413e-08
1936,4.849885826274658e-09,1.4549657478823974e-08
1937,3.777335333410292e-09,6.295559185076627e-09
1938,1.2965214457594243e-09,1.2965214679638848e-08
1939,6.117620188206274e-09,7.647025235257843e-09
1940,0.0,1.0143131667916805e-08
1941,0.0,1.7709016475464523e-08
1942,3.034211770724937e-09,6.068423541449874e-09
1943,2.9032352077962287e-09,2.9032351633873077e-08
1944,0.0,6.4263723231761105e-09
1945,4.357008087652048e-09,1.089252066321933e-08
1946,0.0,1.2528993842408909e-08
1947,3.5762612871081956e-09,8.344609447874518e-09
1948,6.523132700664291e-09,1.3046265401328583e-08
1949,0.0,9.817008539414473e-09
1950,0.0,8.508289184305795e-09
1951,0.0,9.595261474260042e-09
1952,2.1089607837865287e-09,1.0544804140977249e-08
1953,0.0,6.464296653518886e-09
1954,9.772536113672459e-10,7.818028890937967e-09
1955,9.385607846468247e-10,6.569925492527773e-09
1956,0.0,9.593255967388359e-09
1957,3.534015080575159e-09,1.1485549400447326e-08
1958,0.0,1.1581140491045971e-08
1959,0.0,5.425523585955716e-09
1960,0.0,6.2287499602575735e-09
1961,0.0,4.86371165564492e-09
1962,2.5367825617905737e-09,6.976152100435229e-09
1963,3.2330267352165265e-09,5.819448034571906e-09
1964,2.4335873316516654e-09,4.867174663303331e-09
1965,2.73602163147757e-09,2.73602163147757e-09
1966,0.0,3.3234448526542337e-09
1967,4.930335584241163e-10,2.465167847631733e-09
1968,0.0,4.940557296606585e-09
1969,4.5417578031781147e-10,6.8126366770115965e-09
1970,1.3796175313274261e-09,5.518470125309705e-09
1971,5.138397485282553e-10,5.138397263237948e-09
1972,5.130146862875051e-10,4.6171320100540925e-09
1973,2.205281512956958e-09,5.513203671370093e-09
1974,1.1251143350321513e-09,3.3753431161187564e-09
1975,0.0,8.567219822452898e-09
1976,5.713526873840635e-10,5.713526984862938e-09
1977,5.876781838942691e-10,2.3507127355770763e-09
1978,5.940591352171509e-10,4.158414057542359e-09
1979,2.3407893401383717e-09,4.681578680276743e-09
1980,1.1370301367108482e-09,3.97960553399912e-09
1981,0.0,3.795329828193417e-09
1982,6.207502289967692e-10,7.449002747961231e-09
1983,0.0,5.68378455412244e-09
1984,1.739702604197646e-09,2.8995041922996734e-09
1985,1.2031116103372597e-09,7.218669662023558e-09
1986,2.3977941854269602e-09,2.997242676272549e-09
1987,0.0,3.6664902225425067e-09
1988,5.996553809062277e-10,2.398621523624911e-09
1989,0.0,3.2928733073589456e-09
1990,1.089730194969718e-09,8.717841559757744e-09
1991,4.68917216167597e-09,8.20605094986604e-09
1992,1.1019888335184191e-09,3.856960972825618e-09
1993,2.7696036575264316e-09,6.647049133334804e-09
1994,1.5824779264761446e-09,6.857404422078162e-09
1995,5.422450821690461e-10,7.0491861237087505e-09
1996,0.0,3.2028553142993132e-09
1997,3.3564262480467733e-09,5.274384040632185e-09
1998,2.86087753487152e-09,1.9072516899143466e-09
1999,3.656160929565999e-09,7.769341614505265e-09
2000,4.4180314962005696e-10,3.97622823555821e-09
2001,2.190605918883648e-09,3.066848330846028e-09
2002,4.38122149670761e-10,4.81934359086722e-09
2003,2.9168460979889232e-09,5.8336921959778465e-09
2004,4.404791253964646e-10,4.845270407116686e-09
2005,2.251874686720612e-09,4.503749373441224e-09
2006,1.6471559671771274e-09,4.117890028965121e-09
2007,2.3966877371606188e-09,5.991719120856942e-09
2008,1.2772318758180745e-09,4.257439734089985e-09
2009,4.76819250749827e-10,3.337734755248789e-09
2010,1.8895172093635892e-09,4.723792912386671e-09
2011,7.64794394481072e-10,5.353560705856353e-09
2012,1.7021263287730903e-09,6.127654827992046e-09
2013,1.3945624655065103e-09,5.857162754807632e-09
2014,6.496335691608124e-10,6.712880029624557e-09
2015,1.994917786518613e-09,9.309617077235544e-09
2016,3.1070099826280284e-09,6.006886099640951e-09
2017,2.515611330355938e-10,3.773417134311785e-09
2018,1.290733298020541e-09,6.453666934191915e-09
2019,2.55098775436835e-10,6.12237061048404e-09
