year,peut_VERB allumer_VERB,peut_VERB rallumer_VERB
1800,1.1633408547595536e-07,9.432493897065797e-09
1801,7.619784270218588e-08,2.3811825400343878e-08
1802,1.0517848636482086e-07,7.384872446891677e-08
1803,1.326230716358623e-07,2.145373123596528e-08
1804,5.438072037122765e-08,2.4718509461507665e-09
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,4.8988376022407465e-08,2.881669125542885e-09
1807,1.9928686256776018e-08,2.8469551160981155e-09
1808,7.024829073998262e-08,0.0
1809,4.51806094758922e-08,6.7770917766551975e-09
1810,7.488405628919281e-08,0.0
1811,3.259199843341776e-08,0.0
1812,8.535066342574282e-08,5.3344164641089264e-09
1813,3.738464116054274e-08,2.0130190847567064e-08
1814,1.5733386149463513e-08,2.5173417128598885e-08
1815,4.8550024445148665e-08,8.091670444798638e-09
1816,2.5493642752394408e-08,6.952811659743929e-09
1817,5.1376822796100896e-08,3.113746860350375e-08
1818,8.106400883889364e-08,0.0
1819,5.2790355198339967e-08,2.3807415594490067e-08
1820,6.882559233645225e-08,2.0173017034608165e-08
1821,4.536284592404627e-08,1.3806083387635226e-08
1822,4.6117833107928163e-08,2.0051231786055723e-08
1823,5.929612001409623e-08,1.680056804787e-08
1824,6.82110155025839e-08,1.2631669044083083e-08
1825,6.339919167430708e-08,5.283265824829186e-09
1826,3.787433300317389e-08,8.807984341885344e-10
1827,5.8068820862899884e-08,1.751281847317543e-08
1828,6.237164740241496e-08,1.3758452155343548e-08
1829,5.915491385621863e-08,1.62890345656308e-08
1830,4.800944353178238e-08,2.2961038625979313e-08
1831,7.171954763407484e-08,4.677361831184612e-09
1832,5.682587200794842e-08,2.705993829010822e-08
1833,5.21263281427764e-08,1.1583628278799551e-08
1834,6.067445212920575e-08,2.0535967593104942e-08
1835,4.310960122211327e-08,3.781543966852041e-09
1836,3.293167694096155e-08,6.72075017860152e-09
1837,3.6181031504156635e-08,9.045257876039159e-09
1838,3.3454458758797045e-08,5.680945713848473e-09
1839,2.027527834513876e-08,9.788065469251706e-09
1840,4.395085184683012e-08,1.3376346585936005e-08
1841,3.5955071808757566e-08,4.494383976094696e-09
1842,4.293289634915709e-08,9.391571076378114e-09
1843,5.3752891915337386e-08,1.1223130869097986e-08
1844,5.2690189988879865e-08,2.360081374774836e-08
1845,2.9575208060350633e-08,7.254296274794569e-09
1846,4.5665110803838616e-08,7.025401593807601e-09
1847,3.074137566727586e-08,7.011190739092399e-09
1848,3.620349886546137e-08,6.43617736884039e-09
1849,3.77073661184113e-08,8.379414495607307e-09
1850,5.499086697113853e-08,1.968808760466345e-08
1851,4.1921353499674296e-08,1.5478653025979838e-08
1852,5.208436348880241e-08,1.1067927019325907e-08
1853,2.508211416341055e-08,7.166318205520383e-09
1854,4.46827144173767e-08,1.1950028522278444e-08
1855,3.8209947206269135e-08,6.8990182455763716e-09
1856,3.6240326295455816e-08,1.0354378687793542e-08
1857,4.539803555303479e-08,1.2203773103180993e-08
1858,6.997957058274551e-08,2.0064071293290908e-08
1859,4.786642904264227e-08,7.638259802433822e-09
1860,6.270742147762576e-08,4.57718396518203e-09
1861,6.130753149591328e-08,8.017138064531082e-09
1862,6.325181090005572e-08,1.0843167252971853e-08
1863,3.5461809488879226e-08,1.4983863039219614e-08
1864,4.315254997777629e-08,6.233146443435089e-09
1865,5.601144792422019e-08,1.0355057256106193e-08
1866,3.795178216137174e-08,5.838735717134114e-09
1867,5.677789260971622e-08,1.164674756637396e-08
1868,4.2482916740027576e-08,9.385760946223343e-09
1869,5.1765301378736694e-08,1.3185501579471293e-08
1870,3.841812556970581e-08,7.454262984651905e-09
1871,4.142259157902117e-08,7.434824311758348e-09
1872,3.38650991693612e-08,3.0236697590169115e-09
1873,4.42964314117944e-08,5.387403856360606e-09
1874,1.9716210886144836e-08,3.584765484454522e-09
1875,3.318485752856759e-08,4.005069165202713e-09
1876,5.078652520751348e-08,1.1487427897804992e-08
1877,5.999271479595336e-08,2.4120781816350245e-08
1878,8.031987874801416e-08,1.8117265909722846e-08
