year,auront_VERB apporté_VERB,auront_VERB rapporté_VERB
1800,3.458580977167003e-08,9.432493897065797e-09
1801,2.8574191901498125e-08,2.3811825844433088e-09
1802,6.713520406265161e-09,8.951360541686881e-09
1803,2.5354410126965377e-08,9.751696339321825e-09
1804,3.460591457837836e-08,3.213406074564773e-08
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,2.881669125542885e-08,4.034336598124355e-08
1807,5.97860605466849e-08,3.701041606518629e-08
1808,2.7192887941396293e-08,1.3596443970698147e-08
1809,3.162642769893864e-08,1.3554183553310395e-08
1810,4.680253518074551e-09,1.8721014072298203e-08
1811,1.7549536934780008e-08,1.0028307073639553e-08
1812,2.1337665856435706e-08,0.0
1813,8.627225156487839e-09,0.0
1814,6.293354282149721e-09,0.0
1815,1.3486118000116676e-08,5.394447111228828e-09
1816,9.270415546325239e-09,4.6352077731626196e-09
1817,2.0239355080775567e-08,2.80237220096069e-08
1818,4.6492591110336434e-08,1.7881765401739358e-08
1819,1.5526575580793178e-08,1.8631890696951814e-08
1820,2.7292905713238724e-08,3.559944161679596e-08
1821,9.861488514673056e-09,1.1833785507064931e-08
1822,1.7043547018147365e-08,8.02049271442229e-09
1823,1.680056804787e-08,0.0
1824,4.463189640091514e-08,1.1789557774477544e-08
1825,1.2327619813845558e-08,2.553578504205234e-08
1826,2.025836387531399e-08,7.0463874735082754e-09
1827,4.608636672287503e-08,3.041700225026034e-08
1828,4.035812395386529e-08,1.3758452155343548e-08
1829,2.743416338546467e-08,1.2859763920403111e-08
1830,3.757260813586072e-08,1.0436835840010872e-09
1831,1.4032085715598441e-08,9.354723218280014e-09
1832,2.3000948701223933e-08,1.6235963684607668e-08
1833,5.791814139399776e-09,1.1583628500844156e-09
1834,3.267085801894609e-08,4.480574844478724e-08
1835,4.5378527602224494e-08,1.5882484660778573e-08
1836,1.6129799718100912e-08,7.392825018825988e-09
1837,1.6698937344017395e-08,1.6003149028165353e-08
1838,1.3886756633496589e-08,1.8936485712828244e-09
1839,1.1885507689157748e-08,3.076248944466897e-08
1840,1.46502836528839e-08,1.1465439264668476e-08
1841,3.0818632978935057e-08,1.9903700021473014e-08
1842,1.542900918138912e-08,1.2074877098200432e-08
1843,2.3627643841450663e-08,7.678984559333912e-09
1844,4.226192018563779e-08,2.25031016043431e-08
1845,8.37034175305007e-09,1.0602432709561072e-08
1846,2.1076203893244383e-08,1.8148954339380907e-08
1847,5.3392913201832926e-08,1.1865092020002521e-08
1848,1.448139919091318e-08,4.82713291560799e-09
1849,4.776266493422554e-08,9.217356655710773e-09
1850,2.9192683825840504e-08,2.5119284430275002e-08
1851,8.448764532431596e-08,1.2898877521649865e-08
1852,1.4974254725075298e-08,9.765818376195057e-09
1853,1.911018188138769e-08,5.3747388761848924e-09
1854,4.9878380536938494e-08,8.313063126763609e-09
1855,2.600399184871094e-08,1.0083180512765466e-08
1856,3.158085348786699e-08,8.801221973442352e-09
1857,2.2943092758964667e-08,9.763017949637742e-09
1858,2.104280660830682e-08,1.3212924976357954e-08
1859,1.9859475841599306e-08,4.582956236731661e-09
1860,2.8836257826014844e-08,9.612086238064421e-09
1861,2.6409397335669382e-08,2.5466203368296192e-08
1862,3.3884898442693157e-08,1.671654992208005e-08
1863,4.9446747141246306e-08,2.9967726078439227e-09
1864,3.787835112234461e-08,1.1507347075223606e-08
1865,4.094954419997521e-08,2.8241067262513297e-09
1866,4.4277076227672296e-08,1.216403244796993e-08
1867,6.551295683721037e-08,1.7955402498159856e-08
1868,3.754304245262574e-08,5.9278488784286765e-09
1869,3.2231227464762924e-08,1.4650557211837167e-08
1870,1.77755516972411e-08,9.17447806614291e-09
1871,3.9298356568906456e-08,4.248470908407853e-09
1872,4.7169248063028135e-08,8.4662747923403e-09
1873,2.8134220286801792e-08,1.1972008939764578e-09
1874,4.600449088343339e-08,1.4339061493728877e-08
1875,3.4901315615343265e-08,1.716458086775674e-09
1876,4.776351758550845e-08,1.813804439976252e-09
1877,1.7317484335421796e-08,2.1028373708986692e-08
1878,3.2611080058586595e-08,9.662541877730746e-09
1879,3.5434087664043545e-08,1.3440515367335593e-08
1880,4.2357786611546544e-08,8.984985200299889e-09
1881,3.6257038260600893e-08,3.4862537301449947e-09
1882,1.2645231528551903e-08,3.9932310791357395e-09
1883,5.308244865886991e-08,1.2006744043446815e-08
1884,1.7824582698722224e-08,1.7824582698722224e-08
1885,3.0294486919046903e-08,2.2559724754955823e-08
1886,3.1621972595985426e-08,2.3877817056927597e-08
1887,3.003305337756501e-08,1.9586773092328258e-08
1888,6.911270133969083e-08,3.4239320712003973e-08
1889,4.009687515349469e-08,1.628935564212952e-08
1890,4.1948073459252555e-08,1.0487018364813139e-08
1891,3.824532157636895e-08,5.099376032546843e-09
1892,3.0715710863660206e-08,3.761107425503951e-09
1893,1.6627724974682678e-08,9.23762488724833e-09
1894,2.0164925729204697e-08,2.0164925729204697e-08
1895,3.189865793729041e-08,7.22233739480771e-09
1896,5.071444775239797e-08,9.435246361988447e-09
1897,3.1464253424928756e-08,1.1653426668090106e-08
1898,2.6028432742464247e-08,7.355861253444118e-09
1899,2.65323762960179e-08,7.738609753005221e-09
1900,3.5818267463127995e-08,6.748368974740515e-09
1901,4.918090112937534e-08,1.117747761014698e-08
1902,5.695929417015577e-08,2.455141867585553e-09
1903,4.3741785304973746e-08,8.100330184390714e-09
1904,2.0961039126632386e-08,1.0211787859759625e-08
1905,4.283430143914302e-08,1.1353670004154992e-08
1906,1.9033482345776065e-08,8.745113966313056e-09
1907,2.7257069490360664e-08,1.0285686968813934e-08
1908,2.6521501439447093e-08,8.349361202419914e-09
1909,3.740668930163338e-08,9.901770070541716e-09
1910,2.672075360976578e-08,8.550641084070776e-09
1911,2.4473720827700163e-08,9.044636151145369e-09
1912,3.542406545875565e-08,3.646594803896619e-09
1913,4.030272293675807e-08,9.015082902408267e-09
1914,3.683209115479258e-08,4.68772043404897e-09
1915,4.5944972271172446e-08,4.712304768617059e-09
1916,4.504859418830165e-08,8.789969641043172e-09
1917,4.8252267959014716e-08,1.0966424213165737e-08
1918,5.283732917860107e-08,2.5270027848023346e-08
1919,3.6831394822911534e-08,3.6831393490643904e-09
1920,1.514446346106979e-08,3.104614876292544e-08
1921,2.499006690470651e-08,3.7863738810983705e-09
1922,3.467629738906908e-08,5.902348387820666e-09
1923,2.0170300985000722e-08,4.246379248229459e-09
1924,2.0626599095407983e-08,3.867487219366694e-09
1925,4.2892892793133797e-08,1.4297631523163545e-08
1926,2.1177662290483568e-08,6.687683296036084e-09
1927,1.8953683067479687e-08,5.574612327308159e-09
1928,3.085031252680892e-08,0.0
1929,1.7824650200282122e-08,4.4561625500705304e-09
1930,1.470504518152893e-08,8.402882833991043e-09
1931,1.4826963656844327e-08,7.983749661377715e-09
1932,3.287861005674131e-08,5.4797681947604815e-09
1933,1.0323596200123575e-08,2.2941324395731044e-09
1934,1.7972370258689807e-08,7.188948103475923e-09
1935,2.752705441366743e-08,2.393656828303392e-09
1936,4.364897421282876e-08,3.6374143697059935e-09
1937,1.0072894518486919e-08,2.5182236296217297e-09
1938,3.3709557811789637e-08,0.0
1939,4.5882153187903896e-08,1.070583532936098e-08
1940,1.5214697057785997e-08,2.5357829169792012e-09
1941,2.3612020783048138e-08,8.854508237732261e-09
1942,2.730790527039062e-08,3.034211770724937e-09
1943,2.9032351633873077e-08,0.0
1944,6.7476911169706e-08,3.2131861615880553e-09
1945,6.971212940243277e-08,4.357008087652048e-09
1946,4.454753366189834e-08,1.3921104269343232e-09
1947,2.0265479960812627e-08,1.1920870957027319e-09
1948,2.5005341797168512e-08,2.174377566888097e-09
1949,2.1597418964347526e-08,4.908504269707237e-09
1950,4.679559140186029e-08,6.381216888229346e-09
1951,1.8124383771578323e-08,5.330700769690111e-09
1952,1.8980646387944944e-08,2.1089607837865287e-09
1953,2.2625037843226892e-08,1.0773827385790469e-09
1954,2.443134050622575e-08,9.772536113672459e-10
1955,2.440258128899586e-08,0.0
1956,4.7966278060584955e-08,6.976913269340912e-09
1957,1.236905244894615e-08,2.6505113659425206e-09
1958,2.6471179026543723e-08,9.926692356998501e-09
1959,4.2629114460623896e-08,5.425523585955716e-09
1960,1.7994166157109248e-08,1.3841666701708277e-09
1961,2.084447814354462e-08,2.779263708063695e-09
1962,1.7123282347597524e-08,6.976152100435229e-09
1963,2.5864213881732212e-08,6.466053470433053e-09
1964,2.3727476872181796e-08,3.6503808864551957e-09
1965,2.407699106754535e-08,7.1136563306595235e-09
1966,2.4925835617750636e-08,3.3234448526542337e-09
1967,4.092178684800274e-08,4.437302081328198e-09
1968,2.380450325745187e-08,5.838840522187638e-09
1969,3.179230390060184e-08,1.090021850558287e-08
1970,3.1731204330753826e-08,7.817832603507213e-09
1971,1.849823050292798e-08,2.0553589941130213e-09
1972,2.3085661382538092e-08,3.5911027485013847e-09
1973,2.6463379043661917e-08,8.269805285010534e-09
1974,2.2502286256553816e-08,3.3753431161187564e-09
1975,1.7134439644905797e-08,5.140332159925265e-09
1976,2.171140245366132e-08,3.4281160132820787e-09
1977,3.467301112891619e-08,2.938390863960194e-09
1978,2.0198010375338527e-08,3.5643548113029055e-09
1979,2.984506508596496e-08,1.1703946700691858e-09
1980,2.785723829390463e-08,4.548120546843393e-09
1981,2.4037088763861902e-08,1.8976649140967083e-09
1982,2.3588508923921836e-08,8.690503427999374e-09
1983,2.5261265079734585e-08,8.209910973278056e-09
1984,1.9716628330002095e-08,6.958810416790584e-09
1985,2.2257564680217e-08,3.609334831011779e-09
1986,1.7384007122700496e-08,2.997242676272549e-09
1987,1.711028652096047e-08,6.110816852533674e-10
1988,2.0388283061834045e-08,7.795519785247507e-09
1989,1.4269117443177493e-08,3.841685636274406e-09
1990,2.2884334427430986e-08,3.814055737905164e-09
1991,2.5204300868608698e-08,1.1722930404189924e-09
1992,1.8182815253453555e-08,2.2039776670368383e-09
