year,eût_VERB ajouté_VERB
1800,1.7921738049153646e-07
1801,2.1668761007731518e-07
1802,2.1483265300048515e-07
1803,2.1258696847326064e-07
1804,2.4718508484511403e-07
1805,2.302730877090653e-07
1806,1.988351669979238e-07
1807,2.2490945639219717e-07
1808,2.22075257738652e-07
1809,1.0843346842648316e-07
1810,3.556992567155248e-07
1811,1.4039629547824006e-07
1812,3.253994123042503e-07
1813,2.1280487771946355e-07
1814,1.5104049566616595e-07
1815,1.8610842289490392e-07
1816,2.062667476820934e-07
1817,2.95805961059159e-07
1818,2.1577331210664852e-07
1819,2.4014437371988606e-07
1820,2.4326286052200885e-07
1821,2.2780038477776543e-07
1822,2.446250277898798e-07
1823,1.8381797417532653e-07
1824,1.886329243916407e-07
1825,2.4655241759319324e-07
1826,2.0082204343907506e-07
1827,2.1476246558904677e-07
1828,2.2013523448549677e-07
1829,2.63196511696151e-07
1830,1.49246758951449e-07
1831,1.5435294642429653e-07
1832,1.7724259748774784e-07
1833,1.5637898798104288e-07
1834,1.1948199585276598e-07
1835,1.2479094380069e-07
1836,1.6869083196979773e-07
1837,1.3776623575267877e-07
1838,1.571728347471435e-07
1839,1.5521074203661556e-07
1840,1.8089916409280704e-07
1841,1.5473521841613547e-07
1842,1.82464816589345e-07
1843,1.334961865495643e-07
1844,1.1416207712500182e-07
1845,1.886117075855509e-07
1846,1.645114906523304e-07
1847,1.294373674909366e-07
1848,1.2872354204773728e-07
1849,1.8518507260978367e-07
1850,1.3170652835015062e-07
1851,1.4640225742823532e-07
1852,1.9531636041847378e-07
1853,1.7079725012081326e-07
1854,1.1066765637224307e-07
1855,1.363882802252192e-07
1856,1.68258651456199e-07
1857,1.7719878542266088e-07
1858,1.414272361444091e-07
1859,1.41053206448305e-07
1860,1.6432090887974482e-07
1861,1.3864932668639085e-07
1862,1.3689498246094445e-07
1863,1.633241026866017e-07
1864,1.299371206187061e-07
1865,1.143763199706882e-07
1866,1.4012965721121873e-07
1867,1.1743803440822376e-07
1868,1.5708799594449374e-07
1869,1.5529590768892376e-07
1870,1.1296076252165221e-07
1871,1.380753076318797e-07
1872,1.3243672469798184e-07
1873,1.0056487553811166e-07
1874,1.1650487863335002e-07
1875,1.4132172054814873e-07
1876,8.101660142756373e-08
1877,1.2431479490260244e-07
1878,1.0870359545833708e-07
1879,1.0508039594014917e-07
1880,1.1167052349492224e-07
1881,1.2829413265080802e-07
1882,1.1846585579178281e-07
1883,8.783881355611811e-08
1884,9.374409870588352e-08
1885,7.090199005688191e-08
1886,9.422057445362952e-08
1887,7.899998877292091e-08
1888,9.320703497905924e-08
1889,9.710961990094802e-08
1890,8.586246025288347e-08
1891,7.394095291601843e-08
1892,7.710270466532165e-08
1893,7.88277318974906e-08
1894,6.868678070759415e-08
1895,7.222337217172026e-08
1896,6.781583294923621e-08
1897,6.700720689423179e-08
1898,9.619203211741478e-08
1899,6.688370035590196e-08
1900,8.201863721524205e-08
1901,4.918090112937534e-08
1902,4.7629754362787935e-08
1903,7.34429974613704e-08
1904,6.449550227216605e-08
1905,9.547404289378392e-08
1906,6.430230570231288e-08
1907,5.7599844893729824e-08
1908,8.447589294746649e-08
1909,7.646367095048845e-08
1910,5.71824116946118e-08
1911,4.5223181643905264e-08
1912,6.511776717843532e-08
1913,4.8787505591008085e-08
1914,5.960101745472457e-08
1915,6.243804051564439e-08
1916,7.581348882013117e-08
1917,8.224818515145671e-08
1918,1.206069555337308e-07
1919,7.366278964582307e-08
1920,5.906340660999376e-08
1921,6.512562578109282e-08
1922,6.271245212019494e-08
1923,5.4141334970836397e-08
1924,7.09039369439779e-08
1925,5.939016034517408e-08
1926,6.018914433525424e-08
1927,4.9056588125040435e-08
1928,5.141718517620575e-08
1929,5.570203143179242e-08
1930,4.3064773080914165e-08
1931,2.5091784650044247e-08
1932,3.835837958376942e-08
