year,voulait_VERB envoyer_VERB,voulait_VERB renvoyer_VERB
1800,8.489244152087849e-08,3.144164484325529e-09
1801,2.6193008650921e-08,7.143547975374531e-09
1802,1.5664880947952042e-08,1.3427040812530322e-08
1803,7.80135707145746e-08,0.0
1804,4.449331569844617e-08,0.0
1805,7.107194477384837e-08,5.685755422035754e-09
1806,5.4751712497136396e-08,1.4408345627714425e-08
1807,3.9857372513552036e-08,5.693910232196231e-09
1808,9.064295980465431e-09,1.3596443970698147e-08
1809,7.00299480627109e-08,2.4849335034105025e-08
1810,1.8721014072298203e-08,7.020380277111826e-09
1811,1.9555199060050654e-07,2.757784400841956e-08
1812,1.2535878113340004e-07,2.400487453257938e-08
1813,7.764502640839055e-08,2.8757416448144113e-09
1814,4.72001566720337e-08,0.0
1815,5.1247248222807684e-08,2.697223555614414e-09
1816,4.8669683394564345e-08,4.6352077731626196e-09
1817,7.161617787687646e-08,1.401186100480345e-08
1818,5.48374146092101e-08,1.3113295338484932e-08
1819,6.728182455617571e-08,6.210630232317271e-09
1820,1.6257078527814883e-07,3.9159388620646496e-08
1821,9.171183990019927e-08,1.8736827200882544e-08
1822,1.223125138949399e-07,1.0025615893027862e-08
1823,1.591112521737159e-07,2.7671523739059012e-08
1824,1.6000113589598186e-07,3.452656116564867e-08
1825,1.5937851571834472e-07,2.4655239627691117e-08
1826,1.1978858083239174e-07,4.051672775062798e-08
1827,1.649891885335819e-07,1.6591091167583727e-08
1828,1.0731592681167967e-07,1.559291185060374e-08
1829,1.5345985104886495e-07,2.1432940755516938e-08
1830,1.2941676175159955e-07,2.7135772739939057e-08
1831,1.1069756311599122e-07,2.182768810143898e-08
1832,1.8536057666551642e-07,5.547287429408243e-08
1833,1.1467792404573629e-07,2.20088942626262e-08
1834,9.894602470694736e-08,6.627517024071494e-08
1835,9.680752555141225e-08,3.781543966852041e-09
1836,1.0013917517426307e-07,1.4785650037651976e-08
1837,1.6142307401878497e-07,2.2265250976261086e-08
1838,1.1929985532788123e-07,1.3886756633496589e-08
1839,1.0277468476260765e-07,1.7478688718597368e-08
1840,1.5414646270528465e-07,2.6115722917552375e-08
1841,8.988767774553708e-08,1.733548060656176e-08
1842,1.4825265282070177e-07,2.884553929050071e-08
1843,6.261326035428283e-08,1.8311423488626133e-08
1844,1.3666517872934492e-07,1.3721403568922597e-08
1845,7.700714377278928e-08,2.0088821273134272e-08
1846,1.1709002478710318e-07,1.5807152919933287e-08
1847,1.806729983400146e-07,2.1033571329098777e-08
1848,1.3033259449457546e-07,1.448139919091318e-08
1849,7.625267528510449e-08,3.1841775438579134e-08
1850,1.1405513333784256e-07,2.0366988096043315e-08
1851,1.3930787190474803e-07,7.739326512989919e-09
1852,7.942865209997763e-08,1.0416872697760482e-08
1853,9.077336216023468e-08,2.20961471342207e-08
1854,1.0443285702876892e-07,1.558699302961486e-08
1855,1.1887539130839286e-07,2.2819829581521844e-08
1856,9.888431407034659e-08,1.9673318973900678e-08
1857,1.0885765533430458e-07,1.0251168802710708e-08
1858,9.54266852204455e-08,1.1255455234504552e-08
1859,7.791025069536772e-08,1.323965115318515e-08
1860,7.82698421630812e-08,2.288591893773173e-08
1861,1.0233641489776346e-07,1.744906619194353e-08
1862,9.26187198047046e-08,1.8071945717679228e-08
1863,1.0938219929812476e-07,2.1976331865403154e-08
1864,1.0308664855074312e-07,1.9178912680217763e-08
1865,1.1343495032178907e-07,2.4004906507002488e-08
1866,7.20110691077025e-08,1.897589108068587e-08
1867,8.73506067478047e-08,1.6014277903764196e-08
1868,8.051994626612213e-08,1.3831646938911035e-08
1869,9.034510384253736e-08,2.8812763730456936e-08
1870,9.575861525945584e-08,1.834895613228582e-08
1871,6.266494523288202e-08,2.3366590440332402e-08
1872,9.312902449210014e-08,2.2979889990892843e-08
1873,1.3109350049944624e-07,3.052862140862089e-08
1874,8.424198938428162e-08,2.0911132381229436e-08
1875,7.495200549101355e-08,9.154443425529735e-09
1876,9.55270351710169e-08,1.3301232115736639e-08
1877,6.370360239316142e-08,2.4739264858908427e-08
1878,7.428079129567777e-08,1.8117265909722846e-08
1879,1.3012862609684817e-07,2.016077260691418e-08
1880,8.214843205678335e-08,3.2089232604448625e-08
1881,7.94865897546515e-08,1.1156012114099667e-08
1882,8.91821585469188e-08,3.261138559196297e-08
1883,1.2069936872194376e-07,8.21514056781325e-09
1884,8.912290638818376e-08,1.650424152899177e-08
1885,9.475084539189993e-08,1.933690718658454e-08
1886,1.0712749798358345e-07,2.5168509054651622e-08
1887,6.528924956228366e-08,1.828098916689669e-08
1888,1.1666730870274478e-07,1.8387781963724592e-08
1889,6.641045047217631e-08,1.566284169030041e-08
1890,9.176140736144589e-08,3.211649257650606e-08
1891,6.884157954800685e-08,1.529812720946211e-08
1892,6.581937839200691e-08,6.8953633913793055e-09
1893,7.451684069792464e-08,8.005941687372342e-09
1894,6.679631781025819e-08,2.3945849747519787e-08
1895,6.379731587458082e-08,1.9861428057765806e-08
1896,8.432751741338507e-08,5.897029087265082e-09
1897,7.39992600529149e-08,1.5732126712464378e-08
1898,8.940200757479033e-08,2.093591255913907e-08
1899,6.080335879232734e-08,1.4371703827009696e-08
1900,8.305684673359792e-08,9.34389543516545e-09
1901,8.383108252019156e-08,2.8502569193733507e-08
1902,5.794134949610452e-08,1.8659077838378835e-08
1903,8.262337303222012e-08,1.0260418292773466e-08
1904,3.869730136329963e-08,6.449550227216605e-09
1905,4.7478984299687e-08,7.741138396966107e-09
1906,6.481672443214848e-08,1.2860461140462576e-08
1907,7.097123955190909e-08,1.2857108266928208e-08
1908,6.72860309691714e-08,1.3260750719723546e-08
1909,6.546170538967999e-08,1.0451868703853506e-08
1910,7.588693762272669e-08,1.0153886620400954e-08
1911,7.235708920916295e-08,1.5429085564733214e-08
1912,5.2094211611120045e-08,9.376957876838787e-09
1913,5.2499597558153255e-08,9.015082902408267e-09
1914,6.361906201846068e-08,8.705766774141921e-09
1915,8.364340686739524e-08,4.712304768617059e-09
1916,6.922100936890274e-08,1.3184954461564757e-08
1917,7.347504293875318e-08,2.1932848870420685e-09
1918,6.547234221443432e-08,2.2972752589112133e-08
1919,3.1306683467846597e-08,2.4861190439651182e-08
1920,6.512119199442168e-08,1.2872794385998532e-08
1921,4.8465583546430935e-08,4.543648568500203e-09
1922,4.721878710256533e-08,1.2542490601674672e-08
1923,3.503262746562541e-08,1.8047112249064412e-08
1924,7.34822620529485e-08,5.156649773851996e-09
1925,6.378942885021388e-08,8.798542339150117e-09
1926,4.2355324580967135e-08,7.802296586589819e-09
1927,3.2332753363562006e-08,5.574612327308159e-09
1928,3.427812345080383e-08,1.3711249025050165e-08
1929,5.013182757807044e-08,4.4561625500705304e-09
1930,5.882018072611572e-08,1.1553964007759987e-08
1931,6.615106684648708e-08,4.5621426636444085e-09
1932,5.2605777511871565e-08,7.6716757391182e-09
1933,6.079451253526713e-08,6.882397318719313e-09
1934,5.032263672433146e-08,1.5576054224197833e-08
1935,4.787313656606784e-08,9.574627313213568e-09
1936,4.4861444337129797e-08,4.849885826274658e-09
1937,8.184226629737168e-08,7.554670666820584e-09
1938,4.2785206488815675e-08,6.482607339819424e-09
1939,6.72938256229827e-08,1.070583532936098e-08
1940,6.846613587185857e-08,0.0
1941,5.017554371988808e-08,2.9515025978810172e-09
1942,7.58552971547033e-08,1.517105907566929e-08
1943,8.709705667797607e-08,5.806470415592457e-09
1944,6.105053529381621e-08,0.0
1945,5.8819608739213436e-08,1.5249527862692958e-08
1946,4.454753366189834e-08,5.568441707737293e-09
1947,5.006765846360395e-08,1.1920871401116528e-08
1948,4.240036233227329e-08,4.348755133776194e-09
1949,4.613993809243766e-08,1.9634016634739737e-09
1950,3.722376362702562e-08,2.1270722960764488e-09
1951,4.477788806411809e-08,1.0661401761424827e-09
1952,6.326882129314981e-08,3.1634410646574906e-09
1953,4.8482224457302436e-08,6.464296653518886e-09
1954,3.713563856422297e-08,9.772536113672459e-10
1955,5.162084448784299e-08,3.754243138587299e-09
1956,3.1396108823855684e-08,5.232684952005684e-09
1957,3.268964121616591e-08,1.236905244894615e-08
1958,3.6397871383542224e-08,6.617794756635931e-09
1959,6.123090656728891e-08,5.425523585955716e-09
1960,4.775375117560543e-08,4.152500121534786e-09
1961,4.029932298976746e-08,1.181187059273725e-08
1962,4.50278889729816e-08,6.341956293454132e-09
1963,4.590897972889252e-08,9.69907976156037e-09
1964,5.293052396382336e-08,9.734349326606662e-09
1965,5.143720827049947e-08,4.377634699181954e-09
1966,4.375868911665748e-08,9.970334780007306e-09
