year,est_VERB à_ADP,est_VERB a_ADP,est_VERB ras_ADJ
1800,0.00011396338231861591,7.640319665824791e-07,8.489244152087849e-08
1801,0.00010067639959743246,6.64349954604404e-07,3.095537337571841e-08
1802,0.00010387382644694299,8.749954645281832e-07,5.147032311469957e-08
1803,0.0001070580183295533,7.879370400587504e-07,1.5407680109547073e-07
1804,0.00010655902588041499,6.57512330803911e-07,1.0134588990240445e-07
1805,0.00011435760097810999,7.306195470846433e-07,1.9900143755080535e-08
1806,9.416430111741647e-05,9.941758776221832e-07,4.034336598124355e-08
1807,0.00010379998275311664,8.910969597764051e-07,3.9857372513552036e-08
1808,0.00011067731975344941,9.086956538340019e-07,4.758755522971114e-08
1809,9.663680975791067e-05,9.962324796219946e-07,7.228897658251299e-08
1810,8.921499102143571e-05,8.635067487716697e-07,4.680253340438867e-08
1811,9.191946446662769e-05,7.77193818635169e-07,1.504245972228091e-08
1812,9.32642724364996e-05,6.988085345938089e-07,5.3344164641089264e-09
1813,9.501737804384902e-05,9.144858097442921e-07,5.751483289628823e-09
1814,8.645180787425488e-05,1.1170703686502748e-06,3.1466771410748606e-09
1815,8.160719880834222e-05,6.797003209157992e-07,0.0
1816,8.719752804609016e-05,7.972557369839706e-07,1.1124498655590287e-07
1817,9.97535462374799e-05,8.407116141029292e-07,1.0898114055635233e-07
1818,8.549153426429257e-05,7.105021921915977e-07,1.0729059418679299e-08
1819,8.470678585581481e-05,1.0661581768545147e-06,4.0369094733705424e-08
1820,8.33976300782524e-05,8.152272741313027e-07,2.4919611263385377e-08
1821,8.739842451177537e-05,9.713565987112815e-07,1.972297702934611e-08
1822,8.985357999335974e-05,8.321261191213125e-07,2.0051231786055723e-08
1823,8.166261977748945e-05,9.092071806549029e-07,2.8659792761231984e-08
1824,8.360396168427542e-05,7.40215796213306e-07,8.421112696055388e-10
1825,8.641397289466113e-05,7.141214126704654e-07,1.8491430608946757e-08
1826,8.447385334875435e-05,7.046387722198233e-07,2.025836387531399e-08
1827,8.382372470805421e-05,5.972792855857278e-07,1.566936447261469e-08
1828,8.365505345864221e-05,6.714124261009147e-07,7.337841001486822e-09
1829,8.588864875491709e-05,7.853029302395953e-07,4.200856196234781e-08
1830,8.951987547334284e-05,9.26791038580177e-07,1.2524203008013046e-08
1831,9.272401803173125e-05,1.014987546454904e-06,3.741889287312006e-08
1832,8.875930507201701e-05,8.266811022394904e-07,2.0294953273491956e-08
1833,8.984262240119278e-05,7.483023978238634e-07,2.0850531967653296e-08
1834,8.567045733798295e-05,9.57722868122346e-07,5.507373401769655e-08
1835,8.645289926789701e-05,9.66562623716527e-07,5.7479468296151026e-08
