year,devrait_VERB envoyer_VERB,devrait_VERB renvoyer_VERB
1800,1.8864987794131594e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,3.315576790896557e-08,0.0
1804,0.0,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,5.76333825108577e-09
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,2.710836710662079e-08,2.25903047379461e-08
1810,2.3401267590372754e-09,1.4040760554223652e-08
1811,2.5070767684098882e-09,7.521229861140455e-09
1812,2.6672082320544632e-09,9.601949813031752e-08
1813,0.0,8.627225156487839e-09
1814,0.0,0.0
1815,5.394447111228828e-09,2.697223555614414e-09
1816,1.1588019432906549e-08,6.952811659743929e-09
1817,1.0898113522728181e-08,1.2454987263765815e-08
1818,2.2650237241350624e-08,7.152706427149269e-09
1819,1.035105001712111e-09,6.210630232317271e-09
1820,3.5599443393152796e-09,7.119888678630559e-09
1821,8.875339574387908e-09,8.875339574387908e-09
1822,8.02049271442229e-09,5.012807946513931e-09
1823,1.1859224713361982e-08,7.906149512848515e-09
1824,2.5263338088166165e-09,1.0105335235266466e-08
1825,1.937197424695114e-08,7.044354433105582e-09
1826,1.5854372037438225e-08,1.3211976401805714e-08
1827,8.295545583791863e-09,7.373818444733615e-09
1828,9.172301140836225e-09,7.337841001486822e-09
1829,8.57317605795771e-10,2.4004892296147773e-08
1830,1.1480519646056564e-08,2.5048406016026092e-08
1831,6.236482441579483e-09,7.016042502527853e-08
1832,1.8941957335982806e-08,2.1647950987357945e-08
1833,8.108539617524002e-09,2.548398292390175e-08
1834,3.173740381612333e-08,2.0535967593104942e-08
1835,1.739510224751939e-08,9.832014313815307e-09
1836,1.6129799718100912e-08,3.696412420595152e-08
1837,2.7135774516295896e-08,6.957891152126194e-09
1838,2.5248647617104325e-08,1.2624323808552163e-08
1839,1.5381244722334486e-08,1.957613093850341e-08
1840,1.2102408852854296e-08,1.7835128929277744e-08
1841,1.1556987367100646e-08,2.247191943638427e-08
1842,2.2137275124123335e-08,2.1466448174578545e-08
1843,1.594865928211675e-08,2.008349753168659e-08
1844,1.5916826967554698e-08,2.5247381074677833e-08
1845,1.0602432709561072e-08,1.785672942844485e-08
1846,1.9905304071698993e-08,1.9319854160926297e-08
1847,1.3483059113639229e-08,1.5640349459999925e-08
1848,2.172209789819135e-08,2.494018680465615e-08
1849,7.54147322368226e-09,3.3517659758786067e-09
1850,9.504594444820214e-09,1.5614691761811628e-08
1851,1.9348316726564008e-08,1.483370937194195e-08
1852,1.1067927019325907e-08,2.539112742283578e-08
1853,4.180352064508952e-09,1.4332636411040767e-08
1854,2.5978321716024766e-08,1.7665259477439577e-08
1855,1.326734277995456e-08,7.960405667972736e-09
1856,1.863788057221427e-08,1.863788057221427e-08
1857,1.2691923956253959e-08,1.7085282522089074e-08
1858,2.5936483183386372e-08,1.3702292633865909e-08
1859,1.2730433596175317e-08,2.1387128512628806e-08
1860,1.6020143434047895e-08,6.408057640072684e-09
