year,put_VERB attraper_VERB,put_VERB rattraper_VERB
1800,6.917161954334006e-08,0.0
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,2.2378401354217203e-08,2.2378401354217203e-09
1803,2.145373123596528e-08,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,8.540865792383556e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,1.129515236897305e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,1.2586708564299443e-08,1.8880061958270744e-08
1815,2.697223555614414e-09,0.0
1816,3.0128852301913867e-08,0.0
1817,1.556873407970727e-09,0.0
1818,4.768470951432846e-09,0.0
1819,2.070210003424222e-09,0.0
1820,4.746592452420373e-09,0.0
1821,1.0847637454958203e-08,0.0
1822,9.023054303725075e-09,0.0
1823,4.644862983127496e-08,0.0
1824,1.1789557774477544e-08,8.421112696055388e-09
1825,2.3774695989686734e-08,2.1133063299316746e-08
1826,6.1655889282974385e-09,0.0
1827,1.6591091167583727e-08,0.0
1828,1.1006761724274838e-08,9.172301251858528e-10
1829,3.1720752247110795e-08,0.0
1830,1.461157062010443e-08,0.0
1831,2.182768810143898e-08,0.0
1832,1.3529969367098715e-09,0.0
1833,1.7375443306377747e-08,0.0
1834,5.600718555598405e-09,0.0
1835,1.1344631900556124e-08,0.0
1836,3.427582484505365e-08,0.0
1837,2.5048407792382932e-08,0.0
1838,1.2624323808552163e-08,1.2624323808552163e-09
1839,1.3982949909063791e-08,5.5931801412612e-09
1840,1.0191501864653674e-08,3.1848443882154243e-09
1841,5.778493683550323e-09,1.2841097074556274e-09
1842,4.695785538189057e-09,2.683306021822318e-09
1843,1.4767278067040479e-08,8.860366662588604e-09
1844,2.7442805805577564e-09,1.6465684371524958e-09
1845,2.2320911785556063e-09,4.464182357111213e-09
1846,8.781752214304106e-09,2.9272506640865004e-09
1847,1.4022381478184798e-08,2.1572894581822766e-09
1848,3.218088684420195e-09,0.0
1849,2.513824481908955e-09,0.0
1850,1.2899092460827433e-08,0.0
1851,2.1283147688677673e-08,0.0
1852,1.0416872697760482e-08,0.0
