year,pouvait_VERB acheter_VERB,pouvait_VERB racheter_VERB
1800,7.231578535993322e-08,3.144164395507687e-08
1801,5.9529565277216534e-08,1.6668277424969347e-08
1802,1.3427040812530322e-08,2.2378401354217203e-09
1803,1.755305234496518e-08,1.3652374342143503e-08
1804,1.3100809326260787e-07,2.9662210465630778e-08
1805,4.5486043376286034e-08,1.7057265822018053e-08
1806,2.5935023018064385e-08,8.645007376628655e-09
1807,1.0533734240425474e-07,1.7081731584767113e-08
1808,5.891792298484688e-08,1.1330369531492579e-08
1809,6.551188391767937e-08,3.162642769893864e-08
1810,3.2761775514700275e-08,0.0
1811,6.769107585569145e-08,5.0141535368197765e-09
1812,6.934741492159446e-08,0.0
1813,3.738464116054274e-08,5.7514832008109806e-08
1814,8.181360300341112e-08,3.776012391654149e-08
1815,1.0249449644561537e-07,3.506390555685357e-08
1816,9.038654980031424e-08,1.1588019432906549e-08
1817,2.80237220096069e-08,3.7364962679475866e-08
1818,5.364529798157491e-08,1.668964877410417e-08
1819,8.9019032145643e-08,4.968504185853817e-08
1820,5.93324074316115e-08,1.4239777357261119e-08
1821,8.973954379598581e-08,2.9584464655840748e-08
1822,8.822541985864518e-08,2.3058916553964082e-08
1823,1.620760627929485e-07,2.3718449426723964e-08
1824,5.642145595174952e-08,2.947389532437228e-08
1825,6.075755720758025e-08,3.9624492131906663e-08
1826,1.0657660709512129e-07,5.460950447400137e-08
1827,8.479891278057039e-08,2.3964910056406552e-08
1828,1.164882235116238e-07,2.8434133270138773e-08
1829,8.230249193275085e-08,6.001223340490469e-08
1830,7.201416707403041e-08,2.6092090266160994e-08
1831,8.107426907599802e-08,4.2096257146795324e-08
1832,1.5018265742128278e-07,2.841293600397421e-08
1833,5.79181431703546e-08,2.7800709290204395e-08
1834,7.28093425550469e-08,5.3206825612051034e-08
1835,8.621920244422654e-08,3.554651328840919e-08
1836,8.333729795140243e-08,5.8470526198561856e-08
1837,1.1689256496083544e-07,7.375364674544471e-08
1838,6.880256364638626e-08,5.1759727170974656e-08
1839,1.1186359927251033e-07,4.1249702320556025e-08
1840,1.4395496350516623e-07,5.923810419972142e-08
1841,1.4510439427795063e-07,2.6966304744746594e-08
1842,9.056157779241403e-08,4.762868144325694e-08
1843,1.0396163219184018e-07,4.430183153658618e-08
1844,1.3611631288767967e-07,6.696044607679141e-08
1845,1.2276501593078137e-07,5.5802278353667134e-08
1846,1.2470087540350505e-07,5.561776106333127e-08
1847,2.0008859280551405e-07,5.2853593501822616e-08
1848,1.3757329497821047e-07,3.700802153616678e-08
1849,8.630797054820505e-08,3.016589289472904e-08
1850,8.011015495412721e-08,4.1412874907109654e-08
1851,9.867641637129054e-08,6.320450296470881e-08
1852,1.562530940191209e-07,6.445439737490233e-08
1853,7.823230419035099e-08,3.2248433257109355e-08
1854,1.2209811472985166e-07,2.7537021551893304e-08
1855,1.0932290450682558e-07,3.980202833986368e-08
1856,8.594134470740755e-08,6.264399132760445e-08
1857,9.323682093054231e-08,4.8326938895115745e-08
1858,9.54266852204455e-08,4.1106879677954566e-08
1859,1.1813842348828985e-07,3.360834455179429e-08
1860,8.330474798867726e-08,4.577183787546346e-08
1861,1.329901806457201e-07,3.489813238388706e-08
1862,1.0436548336656415e-07,4.608346060308577e-08
1863,1.3185798763970524e-07,5.2942979777981236e-08
1864,1.0164823294189773e-07,3.691940619887646e-08
1865,9.884373497470733e-08,2.6829013677343028e-08
1866,1.0850316556343387e-07,2.1408697037372804e-08
1867,1.0773241854167281e-07,3.0572714138088486e-08
1868,6.224241388963492e-08,3.013323279787983e-08
1869,6.983432143670143e-08,2.7347706321734222e-08
1870,1.1009373679371492e-07,2.064257564882155e-08
1871,5.735435593123839e-08,4.885741589077952e-08
1872,6.71254696271717e-08,2.7213026498884574e-08
1873,9.817047441629256e-08,2.3944018323618366e-08
1874,1.0814042639140098e-07,1.8521287614703397e-08
1875,9.497735220520553e-08,1.4875970677508121e-08
1876,7.738898943898675e-08,3.9903696347209916e-08
1877,8.535045736834945e-08,2.72131899237138e-08
1878,7.488470288308235e-08,2.717589886458427e-08
1879,9.102894438228759e-08,2.3826368433788048e-08
1880,6.546203223933844e-08,2.9522093214495726e-08
1881,8.227559078477498e-08,2.370652651961791e-08
1882,7.720246486542237e-08,2.9283693692150337e-08
1883,6.129759100304e-08,2.7805091562527195e-08
1884,1.0034579389639475e-07,3.300848305798354e-08
1885,9.346171481183774e-08,2.5782542323327107e-08
1886,9.873799911019887e-08,1.677900662855336e-08
1887,7.834709236931303e-08,3.003305337756501e-08
1888,6.086990111953128e-08,2.1558090423923204e-08
1889,9.272402223814424e-08,2.944614330147033e-08
1890,8.979509402706753e-08,2.0974036729626278e-08
1891,6.69293100941104e-08,1.784781566982474e-08
1892,9.340083551023781e-08,2.6327752422616868e-08
1893,8.190693989718056e-08,1.6011883374744684e-08
1894,1.241403282392639e-07,2.9617234886814003e-08
1895,1.0713133491435656e-07,2.2870734639468537e-08
1896,7.607167162859696e-08,1.6511680911435178e-08
1897,1.0779420023254715e-07,2.9716238358901137e-08
1898,9.279702339881624e-08,3.225262190653666e-08
1899,6.577818112418754e-08,1.713549302451156e-08
1900,1.0537837624724489e-07,3.1665425836990835e-08
1901,9.165531622556955e-08,1.7883964531506535e-08
1902,7.905556742571207e-08,1.178468167495339e-08
1903,6.804277319361063e-08,1.7280704867062013e-08
1904,9.728071859171905e-08,2.8485512615361586e-08
1905,6.657379003627284e-08,1.1353670004154992e-08
1906,7.201858664984684e-08,1.8519063615940468e-08
1907,8.02283537382209e-08,3.034277540336916e-08
1908,6.875944791318034e-08,1.4243028090277221e-08
1909,6.381140593703094e-08,7.701377313651392e-09
1910,7.214603670036013e-08,2.3514262537105424e-08
1911,6.544060227042792e-08,3.2454281040372734e-08
1912,8.960204667118887e-08,2.135862686714063e-08
1913,7.106006449930646e-08,3.075734156254839e-08
1914,7.232483056895944e-08,1.5402511266415786e-08
1915,1.0013647511186718e-07,1.6493066468115103e-08
1916,9.998590400073226e-08,7.69122365795738e-09
1917,8.77313937053259e-08,3.289927441585405e-09
1918,9.878283435682533e-08,1.8378202071289707e-08
1919,9.484083562938395e-08,1.4732557396257562e-08
1920,9.16240026072046e-08,1.590168707821249e-08
1921,9.693116709286187e-08,2.0446417892117097e-08
1922,7.968170478989123e-08,2.5084981203349344e-08
1923,8.917396598917549e-08,3.078624999375279e-08
1924,7.86389122708897e-08,1.675911143195208e-08
1925,8.798542694421485e-08,1.6497267552040284e-08
1926,5.238685218955652e-08,1.3375366592072169e-08
1927,1.0703256236865855e-07,1.3379070296082318e-08
1928,8.798051709391075e-08,5.713020723163709e-09
1929,1.0806193984080892e-07,1.1140405931087116e-08
1930,8.297846676441623e-08,1.3654684494213143e-08
1931,9.238338805062085e-08,6.843213995466613e-09
