year,devront_VERB accompagner_VERB
1800,3.144164484325529e-09
1801,1.4287095950749062e-08
1802,0.0
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,8.645007376628655e-09
1807,2.8469551160981155e-09
1808,0.0
1809,4.518061036407062e-09
1810,4.680253518074551e-09
1811,7.521229861140455e-09
1812,8.00162425207418e-09
1813,1.1502966579257645e-08
1814,3.1466772298927026e-08
1815,2.697223555614414e-09
1816,8.57513455798653e-08
1817,2.490997452753163e-08
1818,8.344824387052086e-09
1819,8.280840013696888e-09
1820,2.1359666035891678e-08
1821,3.94459531705138e-09
1822,4.010246357211145e-09
1823,3.360113609574e-08
1824,1.3473780313688621e-08
1825,7.044354433105582e-09
1826,7.0463874735082754e-09
1827,8.295545583791863e-09
1828,6.420610709767516e-09
1829,1.0287811491593857e-08
1830,5.218417697960831e-09
1831,7.795603274018958e-09
1832,4.058990921151917e-09
1833,6.950177322551099e-09
1834,2.14694217959277e-08
1835,9.075705520444899e-09
1836,4.704525213838906e-09
1837,1.3219993100221927e-08
1838,1.5149188570262595e-08
1839,1.7478688718597368e-08
1840,1.0828470564661075e-08
1841,2.247191943638427e-08
1842,1.2074877098200432e-08
1843,1.9492807368237663e-08
1844,9.330554107123135e-09
1845,1.2834524554250493e-08
1846,1.2879903366069811e-08
1847,1.9954928376364478e-08
1848,1.287235473768078e-08
1849,1.6758828991214614e-08
1850,1.6293590476834652e-08
1851,6.449438760824933e-09
1852,1.6927417689771573e-08
1853,2.269334054005867e-08
1854,1.558699302961486e-08
1855,5.306937111981824e-09
1856,2.3815070804289462e-08
1857,2.5871997877402464e-08
1858,9.297984604472731e-09
1859,1.2221216039165483e-08
1860,2.5174511364411956e-08
1861,1.5562680033553988e-08
1862,1.0391368654438793e-08
1863,8.490855130105501e-09
1864,5.753673537611803e-09
1865,3.153585836912498e-08
1866,1.702964524952222e-08
1867,1.455843445796745e-08
1868,5.9278488784286765e-09
1869,1.12320943657096e-08
1870,2.2936195165357276e-09
1871,1.3807530230280918e-08
1872,1.269941218851045e-08
1873,2.334541804316359e-08
1874,2.2703515512034755e-08
1875,5.149374260327022e-09
1876,1.1487427897804992e-08
1877,8.040260901509555e-09
1878,1.0870359723469392e-08
1879,1.8327975581655664e-08
1880,4.4924924225142604e-08
1881,3.137628468152798e-08
1882,1.8635077481121698e-08
1883,2.8437025179073316e-08
1884,1.3203393933736152e-08
