year,pourraient_VERB envoyer_VERB,pourraient_VERB renvoyer_VERB
1800,3.144164484325529e-09,6.288328968651058e-09
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,4.475680270843441e-09,0.0
1803,9.751696339321825e-09,1.950339223455444e-09
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,3.1698359492793315e-08
1807,3.701041606518629e-08,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,1.600324850414836e-08,0.0
1813,3.738464116054274e-08,0.0
1814,9.440030979135372e-09,0.0
1815,8.091670444798638e-09,5.394447111228828e-09
1816,5.0987285504788815e-08,0.0
1817,9.341240669868967e-09,0.0
1818,3.2187177367859476e-08,0.0
1819,3.519356894798875e-08,7.24573512300708e-09
1820,2.7292905713238724e-08,9.493184904840746e-09
1821,2.1695274909916407e-08,7.88919063410276e-09
1822,6.015369535816717e-09,0.0
1823,2.4706716672540097e-08,1.9765373782121287e-09
1824,4.5474010335055937e-08,3.3684450784221553e-09
1825,2.8177417732422327e-08,9.68598712347557e-09
1826,5.989429041619587e-08,4.403992281964975e-09
1827,2.488663675137559e-08,1.013900075008678e-08
1828,1.2841221419535032e-08,0.0
1829,2.1432940755516938e-08,2.571952872898464e-09
1830,2.7135772739939057e-08,0.0
1831,4.677361609140007e-09,0.0
1832,1.352996914505411e-08,0.0
1833,3.243415847009601e-08,3.4750886612755494e-09
1834,7.467624740797874e-09,0.0
1835,3.554651328840919e-08,0.0
1836,3.49478987970997e-08,3.36037508930076e-09
1837,2.922314124020886e-08,3.478945576063097e-09
1838,3.1560809077291196e-08,0.0
1839,4.894032556990169e-08,0.0
1840,3.184844388215424e-08,1.2739377330817092e-09
1841,4.8796167106957e-08,1.926164561183441e-09
1842,2.4149754196400863e-08,6.708265054555795e-09
1843,1.9492807368237663e-08,3.5441467538532834e-09
1844,2.6345094994439933e-08,3.841992946007622e-09
1845,1.9530798311961917e-08,1.5066614622583074e-08
1846,1.6392604607062822e-08,2.3418005312692003e-09
1847,1.294373674909366e-08,6.47186837454683e-09
1848,1.126331028444838e-08,7.24069959545659e-09
1849,1.9272654583346593e-08,8.379414939696517e-10
1850,2.308258650884909e-08,3.394498016007219e-09
1851,1.4188765717904062e-08,1.2898877521649865e-09
