year,faut_VERB allumer_VERB,faut_VERB rallumer_VERB
1800,0.0,0.0
1801,1.904946067554647e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,4.290746247193056e-08,1.950339223455444e-09
1804,4.2021465418429216e-08,7.4155526164076946e-09
1805,1.9900143755080535e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,2.2660739062985158e-08,4.5321479902327155e-09
1809,4.292158095609011e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,1.504245972228091e-08,2.5070767684098882e-09
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,1.1502966579257645e-08,0.0
1814,0.0,0.0
1815,2.966945977789237e-08,8.091670444798638e-09
1816,3.0128852301913867e-08,0.0
1817,5.1376822796100896e-08,4.670620334934483e-09
1818,2.384235475716423e-09,3.5763532135746345e-09
1819,2.2772310259711048e-08,0.0
1820,2.4919611263385377e-08,3.5599443393152796e-09
1821,3.35290586406245e-08,9.86148829262845e-10
1822,3.308453244699194e-08,2.0051231786055723e-09
1823,3.162459805139406e-08,0.0
1824,1.9368560089105813e-08,8.421112696055388e-10
1825,9.68598712347557e-09,0.0
1826,2.3781558056157337e-08,4.403992281964975e-09
1827,2.7651818612639545e-08,0.0
1828,1.0089530988466322e-08,9.172301251858528e-10
1829,1.457439946506156e-08,1.714635211591542e-09
1830,1.5655253093882493e-08,0.0
1831,9.354723218280014e-09,0.0
1832,1.2176972319366541e-08,0.0
1833,1.9692167896323554e-08,6.950177322551099e-09
1834,1.9602515166639023e-08,0.0
1835,1.663879345414898e-08,1.5126175867408165e-09
1836,2.6210924986003192e-08,5.376600054063374e-09
1837,1.3915782304252389e-08,1.3915781860163179e-09
1838,1.1361890983607736e-08,0.0
1839,2.9364196407755117e-08,0.0
1840,9.554533164646273e-09,2.5478754661634184e-09
1841,1.6693427085101575e-08,1.926164561183441e-09
1842,1.9453969102301016e-08,3.3541325272778977e-09
1843,1.0041748765843295e-08,8.860366662588604e-09
1844,2.4698525891153622e-08,4.390849017710252e-09
1845,3.4039391749729475e-08,6.696273757711424e-09
1846,2.0490753982471688e-08,5.854501328173001e-10
1847,1.88762818709165e-08,1.0786447290911383e-09
1848,1.689496542667257e-08,2.413566457803995e-09
1849,5.02764896381791e-09,0.0
1850,1.1541293254424545e-08,4.073397619208663e-09
1851,1.6123596680017727e-08,4.514607354622058e-09
1852,1.3021090872200602e-08,1.3021090872200602e-09
1853,1.0749477752369785e-08,2.9859659189668264e-09
1854,2.1302223984775992e-08,5.195664343204953e-09
1855,1.963566731433275e-08,1.5920811335945473e-09
1856,2.2261913201759853e-08,1.5531567143511893e-09
1857,1.2691923956253959e-08,1.513267733344037e-08
1858,2.104280660830682e-08,4.404308473482388e-09
1859,2.9025388315062628e-08,1.5276520048956854e-09
1860,1.9681891672007623e-08,4.119465657481669e-09
1861,2.452301117727984e-08,1.8863854922557266e-09
1862,2.5752521892741242e-08,4.066187830886747e-09
1863,1.9479021062807078e-08,3.496234635136375e-09
