year,put_VERB éveiller_VERB,put_VERB réveiller_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,9.524730337773235e-09
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,6.798221985349073e-09
1809,0.0,1.129515236897305e-08
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,6.293354282149721e-09
1815,0.0,1.0788894222457657e-08
1816,6.952811659743929e-09,0.0
1817,4.670620334934483e-09,1.2454987263765815e-08
1818,7.152706427149269e-09,8.344824387052086e-09
1819,8.280840013696888e-09,1.035105001712111e-09
1820,0.0,0.0
1821,6.903041693817613e-09,0.0
1822,0.0,0.0
1823,1.9765373782121287e-09,6.917880934764753e-09
1824,1.6842225392110777e-09,0.0
1825,0.0,0.0
1826,4.403992281964975e-09,1.0569580766173203e-08
1827,3.6869092223668076e-09,0.0
1828,9.172301140836225e-09,9.172301251858528e-10
1829,1.0287811491593857e-08,8.57317605795771e-10
1830,2.0873671680021744e-09,2.0873671680021744e-09
1831,0.0,0.0
1832,2.705993873419743e-09,2.705993873419743e-09
1833,6.950177322551099e-09,1.1583628500844156e-09
1834,1.0267983796552471e-08,9.334530925997342e-10
1835,2.2689263801112247e-09,4.5378527602224494e-09
1836,2.688300027031687e-09,2.688300027031687e-09
1837,6.957890930081589e-10,2.7831563720326358e-09
1838,3.1560809521380406e-09,1.009945904684173e-08
1839,2.0974426639952526e-09,1.3982950353153e-09
1840,1.9109065441114126e-09,1.9109065441114126e-09
1841,1.926164561183441e-09,7.704658244733764e-09
1842,4.695785538189057e-09,0.0
1843,2.953455480181333e-09,8.269675610961258e-09
1844,1.097712254427563e-09,6.586273748609983e-09
1845,5.580227946389016e-10,1.1160455892778032e-09
1846,1.7563503984519002e-09,4.6836010625384006e-09
1847,2.1572894581822766e-09,2.3730184040005042e-08
1848,0.0,1.448139919091318e-08
1849,8.379414939696517e-10,1.005529792763582e-08
1850,4.073397619208663e-09,6.788996032014438e-10
1851,6.449438760824933e-10,2.579775504329973e-09
1852,3.2552727180501506e-09,4.557382027314816e-09
1853,0.0,2.388772735173461e-09
1854,0.0,5.7152309551611324e-09
1855,1.0613874223963649e-09,1.5920811335945473e-09
1856,5.177189232874468e-10,1.0354378465748937e-09
1857,3.905207268672939e-09,2.9289055625270066e-09
1858,5.3830437884982985e-09,9.787352039936081e-10
1859,1.2221216039165483e-08,5.601390462572908e-09
1860,1.0985241161165504e-08,9.15436793036406e-09
1861,1.4147891747029462e-09,2.8295783494058924e-09
1862,4.9697850279528666e-09,4.066187830886747e-09
1863,2.9967726078439227e-09,4.994620828036034e-10
1864,3.835782358407869e-09,1.4384183844029508e-09
1865,9.41368871743009e-10,0.0
1866,9.731225825149181e-10,2.432806400776144e-09
1867,9.7056229719783e-10,7.279217228983725e-09
1868,2.9639244392143382e-09,4.93987406535723e-10
1869,3.4184632902167778e-09,6.8369265804335555e-09
1870,2.8670243956696595e-09,1.204150201772336e-08
1871,3.18635318130589e-09,2.1242354542039266e-09
1872,1.8142017887967654e-09,5.442605477412599e-09
1873,1.1972008939764578e-09,1.1972008939764578e-09
1874,4.182226565063729e-09,3.5847653734322193e-09
1875,5.149374260327022e-09,6.293679799540541e-09
1876,0.0,6.04601479992084e-10
1877,0.0,3.710889595609501e-09
1878,1.8117265465633636e-09,1.8117265465633636e-09
1879,8.55305515301552e-09,0.0
1880,3.2089231272180996e-09,1.9253538763308597e-09
1881,1.3945015142624584e-09,3.4862537301449947e-09
1882,3.3276925659464496e-09,0.0
1883,6.319338941018771e-10,1.2638677882037541e-09
1884,8.582206056928499e-09,0.0
1885,3.2228177904158883e-09,3.2228177904158883e-09
1886,1.2906927748801422e-09,5.162771099520569e-09
1887,6.528924623161458e-10,1.3057849246322917e-09
1888,2.53624587998047e-09,1.9021844099853524e-09
1889,1.2530273485467092e-09,6.891650361495749e-09
1890,1.3108772956016423e-09,6.554386478008212e-10
1891,0.0,7.0116419337296065e-09
1892,0.0,0.0
1893,6.158416554491453e-10,6.158416554491453e-10
1894,1.2603078580752936e-09,1.8904617871129403e-09
1895,6.018614495673091e-10,2.4074457982692365e-09
1896,1.179405795248556e-09,3.5382172747233653e-09
1897,1.1653427112179315e-09,2.330685422435863e-09
1898,2.8291773368493978e-09,1.13167097914868e-09
1899,1.6582735185011188e-09,5.527578395003729e-10
1900,2.07642125715779e-09,2.07642125715779e-09
1901,1.1177477832191585e-09,0.0
1902,1.9641135384773634e-09,9.820567692386817e-10
1903,2.1600881083827517e-09,0.0
1904,1.6123875568041512e-09,2.1498500757388683e-09
1905,1.5482277682110634e-09,5.160759042333041e-10
