year,voudraient_VERB appliquer_VERB
1800,0.0
1801,4.7623651688866175e-09
1802,0.0
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,0.0
1820,7.119888678630559e-09
1821,1.97229765852569e-09
1822,9.023054303725075e-09
1823,1.9765373782121287e-09
1824,1.0105335235266466e-08
1825,2.641632912414593e-09
1826,7.0463874735082754e-09
1827,1.013900075008678e-08
1828,9.172301251858528e-10
1829,2.571952872898464e-09
1830,1.982998831806526e-08
1831,1.5591206103948707e-09
1832,5.411987746839486e-09
1833,1.1583628500844156e-09
1834,2.8003592777992026e-09
1835,0.0
1836,4.704525213838906e-09
1837,8.349468672008697e-09
1838,6.312161904276081e-10
1839,1.3982950353153e-09
1840,5.732719632334238e-09
1841,2.5682194149112547e-09
1842,0.0
1843,4.7255288571079745e-09
1844,1.097712254427563e-09
1845,7.812318791877715e-09
1846,1.1709002656346001e-09
1847,9.707802561820245e-09
1848,8.04522137798358e-09
1849,5.02764896381791e-09
1850,1.9009188889640427e-08
1851,2.579775504329973e-09
1852,1.0416872697760482e-08
1853,7.166318205520383e-09
1854,5.7152309551611324e-09
1855,9.021793090369101e-09
1856,4.141751386299575e-09
1857,7.810414537345878e-09
1858,8.808616946964776e-09
1859,1.5276520048956854e-09
1860,1.2816115280145368e-08
1861,4.2443675241088386e-09
1862,1.3102160245637151e-08
1863,1.9978483312144135e-09
1864,6.233146443435089e-09
1865,5.177528628053096e-09
1866,9.731225825149181e-10
1867,3.396968040192405e-09
1868,4.939874287401835e-09
1869,4.883519366671862e-09
1870,0.0
1871,7.434824311758348e-09
1872,6.047339518033823e-09
1873,1.5563610844537834e-08
1874,1.1949218503559678e-08
1875,3.432916173551348e-09
1876,6.650616057868319e-09
1877,1.1132669008873108e-08
1878,4.831270938865373e-09
1879,4.887460214320072e-09
1880,3.8507077526617195e-09
1881,2.1614773970668466e-08
1882,6.655385131892899e-09
1883,4.423537092179686e-09
1884,1.0562715146988921e-08
1885,1.4180398189012067e-08
1886,1.7424351739236954e-08
1887,1.9586774424595887e-09
1888,3.804368819970705e-09
1889,9.397704836544563e-09
1890,9.831579994568074e-09
1891,1.0198752065093686e-08
1892,4.387958441043338e-09
1893,8.005941687372342e-09
1894,1.8904617871129403e-09
1895,1.023164486468886e-08
1896,8.845543852942228e-09
1897,5.2440420894583895e-09
1898,1.13167097914868e-09
1899,8.844125432005967e-09
1900,6.22926377147337e-09
1901,5.029864968975062e-09
1902,4.419255628107521e-09
1903,8.640352433531007e-09
1904,1.3436562973367927e-08
1905,2.580379465655369e-09
1906,1.0802787109298606e-08
1907,1.0285686968813934e-08
1908,2.9468334439286537e-09
1909,3.850688656825696e-09
1910,7.481810726517324e-09
1911,4.788336838146279e-09
1912,4.688478938419394e-09
1913,4.242391771214216e-09
1914,1.0714789944188396e-08
1915,7.068456930880984e-09
1916,1.648119329900055e-08
1917,6.57985488317081e-09
1918,2.2972752589112133e-09
1919,8.287063479883727e-09
1920,4.543339038320937e-09
1921,3.0290989716519334e-09
1922,3.6889677978990676e-09
1923,3.1847844361720945e-09
1924,2.578324886925998e-09
1925,1.0998177923937646e-09
1926,5.57306911730393e-09
1927,4.4596899506643695e-09
1928,6.8556245125250825e-09
1929,3.342121912552898e-09
1930,1.05036033204442e-08
1931,6.843213995466613e-09
1932,2.1919073223131136e-09
1933,4.588264879146209e-09
1934,3.5944740517379614e-09
1935,5.98414207075848e-09
1936,4.849885826274658e-09
1937,7.554670666820584e-09
1938,7.779128452511941e-09
1939,4.588215141154706e-09
1940,2.5357829169792012e-09
1941,0.0
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,9.639558484764166e-09
1945,8.714016175304096e-09
1946,0.0
1947,2.3841741914054637e-09
1948,8.697510267552389e-09
1949,5.890204768377316e-09
1950,5.317680518146517e-09
1951,5.330700769690111e-09
1952,4.2179215675730575e-09
1953,2.1547654771580937e-09
1954,4.886268278880834e-09
1955,4.6928039232341234e-09
1956,2.616342476002842e-09
1957,8.835037701437898e-10
1958,3.3088973783179654e-09
1959,3.8753737996444215e-09
1960,6.920833239831836e-09
1961,8.33779090214648e-09
1962,4.43936931660005e-09
1963,7.759263453976928e-09
1964,7.300761772910391e-09
1965,2.73602163147757e-09
1966,6.092982118843793e-09
1967,3.451234853457663e-09
1968,4.940557296606585e-09
1969,3.6334062425424918e-09
1970,8.277704743875347e-09
1971,6.166076982339064e-09
1972,5.130146862875051e-10
1973,1.2129047988196362e-08
1974,3.937900228123681e-09
1975,3.998036124386317e-09
1976,3.4281160132820787e-09
1977,3.526069214387917e-09
1978,1.7821774056514528e-09
1979,6.437170796402825e-09
1980,2.2740602734216964e-09
1981,2.5302198114474095e-09
1982,3.1037510339615437e-09
1983,2.5261264191556165e-09
1984,2.3196033982486597e-09
1985,2.4062232206745193e-09
1986,5.395036861699509e-09
1987,1.2221633705067347e-09
1988,2.99827696004229e-09
1989,3.2928733073589456e-09
1990,2.179460389939436e-09
1991,2.344586080837985e-09
