year,faudrait_VERB avoir_VERB,faudrait_VERB ravoir_VERB
1800,6.288328791015374e-07,0.0
1801,3.143161109164794e-07,0.0
1802,4.520437073551875e-07,0.0
1803,2.8865019885415677e-07,0.0
1804,4.770672603626736e-07,0.0
1805,3.7810272601745964e-07,0.0
1806,3.198652791525092e-07,0.0
1807,3.786450406551012e-07,0.0
1808,4.192236815470096e-07,0.0
1809,5.195770427235402e-07,0.0
1810,4.563247273381421e-07,0.0
1811,5.665993398906721e-07,0.0
1812,7.948280540404085e-07,0.0
1813,7.448171004398318e-07,0.0
1814,7.803759558555612e-07,0.0
1815,7.22855929780053e-07,0.0
1816,6.396586513801594e-07,0.0
1817,8.780766052041145e-07,0.0
1818,9.441572501600604e-07,0.0
1819,7.825393595339847e-07,0.0
1820,6.336700835163356e-07,0.0
1821,1.0591238606139086e-06,0.0
1822,8.511747751072107e-07,0.0
1823,5.613366056422819e-07,0.0
1824,5.675830152540584e-07,0.0
1825,6.56005511245894e-07,0.0
1826,6.192012733663432e-07,0.0
1827,6.45209127014823e-07,0.0
1828,7.888178856774175e-07,0.0
1829,1.0064908337881207e-06,0.0
1830,7.921558449197619e-07,0.0
1831,1.0664384717529174e-06,0.0
1832,9.687457804830046e-07,0.0
1833,1.011250787996687e-06,0.0
1834,7.953020144668699e-07,0.0
1835,9.060579486686038e-07,0.0
1836,7.090391136443941e-07,0.0
1837,8.446879746770719e-07,0.0
1838,7.290547046068241e-07,0.0
1839,8.00523935140518e-07,0.0
1840,7.923892439976044e-07,0.0
1841,9.078655693883775e-07,0.0
1842,8.257874242190155e-07,0.0
1843,8.990318747237325e-07,0.0
1844,7.826688488421496e-07,0.0
1845,7.817899358997238e-07,0.0
1846,8.770043109507242e-07,0.0
1847,7.146021516746259e-07,0.0
1848,7.683186709073198e-07,0.0
1849,6.954914510970411e-07,0.0
1850,6.035417641214735e-07,0.0
1851,7.100832135620294e-07,0.0
1852,7.070452170410135e-07,0.0
1853,7.978500775607245e-07,5.971931837933653e-10
1854,6.899842333041306e-07,0.0
1855,7.716286631875846e-07,0.0
1856,6.580207241313474e-07,0.0
1857,6.692549163744843e-07,0.0
1858,6.807103432038275e-07,0.0
1859,7.118858320609434e-07,0.0
1860,7.744595222902717e-07,3.204028820036342e-09
1861,8.092594043773715e-07,0.0
1862,6.889928840791981e-07,0.0
1863,7.476947416762414e-07,1.9978483312144135e-09
1864,7.029071298347844e-07,0.0
1865,8.19932267859258e-07,0.0
1866,6.500458766822703e-07,0.0
1867,7.507299528697331e-07,0.0
1868,7.281374223566672e-07,0.0
1869,7.83804807724664e-07,0.0
1870,6.525347657770908e-07,0.0
1871,5.682329629053129e-07,0.0
1872,6.94234529419191e-07,0.0
1873,6.255374387365009e-07,0.0
1874,6.73935915074253e-07,0.0
1875,7.077529176058306e-07,0.0
1876,8.143982199726452e-07,0.0
1877,6.957918117223016e-07,0.0
1878,6.697349590467638e-07,0.0
1879,7.648875453014625e-07,0.0
1880,6.283071343204938e-07,0.0
1881,7.460583333340765e-07,0.0
1882,6.908289833518211e-07,0.0
1883,7.008146667430992e-07,0.0
1884,6.746934104739921e-07,6.601696966868076e-10
1885,5.42722546015284e-07,0.0
1886,5.846838462275628e-07,0.0
1887,5.738924642173515e-07,1.3057849246322917e-09
1888,6.048946374903608e-07,0.0
1889,5.594766889771563e-07,0.0
1890,6.003817816235824e-07,1.9663159989136147e-09
1891,6.412465154426172e-07,0.0
1892,5.741957238569739e-07,6.268512375839919e-10
1893,6.146099735815369e-07,6.158416554491453e-10
1894,5.419323656496999e-07,0.0
1895,5.615367513200908e-07,0.0
1896,5.920617240917636e-07,0.0
1897,6.421038278858759e-07,0.0
1898,6.252482194213371e-07,0.0
1899,6.400935603778635e-07,0.0
1900,5.788024282082915e-07,0.0
1901,5.259003046376165e-07,0.0
1902,5.362030037758814e-07,0.0
1903,5.373219096327375e-07,0.0
1904,5.487492558131635e-07,0.0
1905,5.795532160846051e-07,0.0
1906,5.920956596128235e-07,0.0
1907,6.063412456569495e-07,0.0
1908,5.947692329755228e-07,0.0
1909,5.522987294170889e-07,1.1001967115120692e-09
1910,5.060910552856512e-07,4.275320542035388e-09
1911,5.245888701210788e-07,0.0
1912,5.48031096059276e-07,0.0
1913,5.674198746419279e-07,0.0
1914,5.84625752253487e-07,0.0
1915,4.841893428420008e-07,1.1780761921542648e-09
1916,4.658683963043586e-07,0.0
1917,4.430435467384086e-07,1.0966424435210342e-09
1918,4.2269863342880853e-07,0.0
1919,5.220849743636791e-07,0.0
1920,5.391428885559435e-07,0.0
1921,5.740142796639702e-07,0.0
1922,5.385892904996581e-07,0.0
1923,4.3525386672627064e-07,5.307974060286824e-09
1924,4.615201589786011e-07,0.0
1925,4.311285692892852e-07,2.1996355847875293e-09
1926,5.32785406903713e-07,0.0
1927,5.630358828057069e-07,6.689535148041159e-09
1928,4.776085233970662e-07,0.0
1929,4.801515274266421e-07,0.0
1930,5.251801553640689e-07,0.0
1931,4.664790935748897e-07,0.0
1932,4.3947741801275697e-07,0.0
1933,3.831201240700466e-07,0.0
1934,4.576963590352534e-07,0.0
1935,5.493442358783795e-07,0.0
1936,3.8435345572906954e-07,0.0
1937,3.978793472469988e-07,0.0
1938,4.5637554535460367e-07,0.0
1939,4.3435102270450443e-07,0.0
1940,3.676885285130993e-07,0.0
