year,voudraient_VERB établir_VERB,voudraient_VERB rétablir_VERB
1800,6.288328968651058e-09,6.288328968651058e-09
1801,4.7623650800687756e-08,1.6668277424969347e-08
1802,6.713520406265161e-09,6.713520406265161e-09
1803,1.1702034896643454e-08,1.950339223455444e-09
1804,3.460591457837836e-08,4.943701892301533e-09
1805,4.264316544322355e-08,2.842877711017877e-09
1806,7.204172902675055e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,1.1330369531492579e-08,0.0
1809,1.129515236897305e-08,2.259030518203531e-09
1810,2.3401267590372754e-09,0.0
1811,4.763445815569867e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,6.293354459785405e-08,3.1466771410748606e-09
1815,4.315557688983063e-08,5.394447111228828e-09
1816,3.7081662185300956e-08,2.3176038865813098e-09
1817,4.826307531402563e-08,1.0898113522728181e-08
1818,2.5034472272977837e-08,4.768470951432846e-09
1819,3.726378139390363e-08,2.898294049202832e-08
1820,2.1359666035891678e-08,1.3053129244156025e-08
1821,3.0570614484304315e-08,1.2819934447350079e-08
1822,3.5089655625597516e-08,2.2056354964661296e-08
1823,4.15072847204101e-08,3.9530747564242574e-09
1824,2.947389532437228e-08,2.0210670470532932e-08
1825,2.289415235168235e-08,2.1133063299316746e-08
1826,3.082794464148719e-08,8.807984341885344e-10
1827,4.2399456390285195e-08,1.1060727445055818e-08
1828,2.4765213879618386e-08,3.668920500743411e-09
1829,2.4862210068476998e-08,7.715858174606183e-09
1830,1.878630406793036e-08,3.1310507520032616e-09
1831,2.494592976631793e-08,3.1182412207897414e-09
1832,3.111892965534935e-08,4.058990921151917e-09
1833,5.79181431703546e-08,3.4750886612755494e-09
1834,4.2005389389032644e-08,3.733812370398937e-09
1835,3.2521278114927554e-08,9.832014313815307e-09
1836,2.1506400216253496e-08,8.736974699274924e-09
1837,4.383471363667013e-08,2.0873671680021744e-09
1838,1.2624323808552163e-08,1.2624323808552163e-08
1839,3.5656523067473245e-08,6.9914751765765e-10
1840,3.248541347034006e-08,1.6561189752906103e-08
1841,2.760835826620678e-08,5.1364388298225094e-09
1842,2.884553929050071e-08,2.0795621225033756e-08
1843,4.1939067330076796e-08,2.953455480181333e-09
1844,4.281077892187568e-08,2.7442805805577564e-09
1845,1.674068350610014e-08,4.464182357111213e-09
1846,2.2832555401919308e-08,1.5221703009160592e-08
1847,5.3392913201832926e-08,1.4022381478184798e-08
1848,6.275273278788518e-08,2.494018680465615e-08
1849,2.513824526317876e-08,5.02764896381791e-09
1850,4.480737203493845e-08,0.0
1851,1.6123596680017727e-08,1.870337307252612e-08
1852,2.0833745395520964e-08,4.557382027314816e-09
1853,2.030456869306363e-08,4.777545470346922e-09
1854,2.182179059673217e-08,1.1430461910322265e-08
1855,1.326734277995456e-08,2.653468555990912e-09
1856,2.4332790005132665e-08,5.177189343896771e-09
1857,1.757343248698362e-08,8.78671624349181e-09
1858,1.468102794888182e-08,5.3830437884982985e-09
1859,2.0877910955618972e-08,1.3748867822016564e-08
1860,3.158256944857385e-08,2.746310290291376e-09
1861,3.6312922446768425e-08,4.2443675241088386e-09
1862,3.5692092836825395e-08,2.981871105589562e-08
1863,2.8968800691586694e-08,8.990317823531768e-09
1864,1.8699438442126848e-08,5.274200631788517e-09
1865,1.835669216632141e-08,2.0710114512212385e-08
1866,1.9462451206209153e-08,1.1677471434268227e-08
1867,1.7955402498159856e-08,4.85281148598915e-09
1868,5.9278488784286765e-09,2.9639244392143382e-09
1869,2.8324411260882698e-08,7.325278605918584e-09
1870,2.8670243068518175e-08,6.307453670473251e-09
1871,2.973929724703339e-08,2.2304472935275044e-08
1872,4.354084381930079e-08,9.675742873582749e-09
1873,2.334541804316359e-08,1.4366410283628284e-08
1874,5.974609251779839e-09,4.182226565063729e-09
1875,2.7463329388410784e-08,1.3731664694205392e-08
1876,2.1161051577678336e-08,3.02300739996042e-09
1877,1.4843558382438005e-08,9.895705588292003e-09
1878,1.9325083755461492e-08,1.2078177569208037e-08
1879,2.993569481191116e-08,1.832797580370027e-09
1880,1.4761046607247863e-08,6.417846254436199e-10
1881,1.743126887276958e-08,3.4862537301449947e-09
1882,9.983077475794744e-09,1.9966155395678697e-09
1883,2.7173157945981075e-08,4.423537092179686e-09
1884,2.9047466654219534e-08,8.582206056928499e-09
1885,2.3848851782304337e-08,1.2891271161663553e-08
1886,9.034849313138693e-09,1.355227396970804e-08
1887,1.566941953967671e-08,7.1818169189441505e-09
1888,2.789870379160675e-08,5.07249175996094e-09
1889,2.6313573542324775e-08,5.6386229019267375e-09
1890,2.0318598359381213e-08,1.0487018364813139e-08
1891,1.8485238229004608e-08,1.0836173736095134e-08
1892,1.1283322720601063e-08,8.775916882086676e-09
1893,3.510297474917934e-08,1.23168328869383e-08
1894,2.5836310868498913e-08,1.2603078580752936e-08
1895,2.888934957923084e-08,1.444467478961542e-08
1896,2.0639602027472392e-08,4.717623180994224e-09
1897,2.4472196713531957e-08,8.157399200570126e-09
1898,2.998928039232851e-08,1.0750873968845553e-08
1899,3.979856444402685e-08,9.39688327150634e-09
1900,1.2977633190303095e-08,9.863001082521805e-09
1901,1.397184767881754e-08,1.1736351446245408e-08
1902,1.3748794991386148e-08,5.892340837476695e-09
1903,2.5381035939631147e-08,1.3500550899436803e-08
1904,2.8485512615361586e-08,7.524475265086039e-09
1905,2.37394921498435e-08,8.773290538499623e-09
1906,1.7490227932626112e-08,4.629765903985117e-09
1907,1.491424583832668e-08,4.114274698707732e-09
1908,1.5716445034286153e-08,1.0313916831705683e-08
1909,1.5952851484257735e-08,1.6502950117569526e-09
1910,2.672075360976578e-08,8.01622590529405e-09
1911,2.8730021028877673e-08,5.3203743632934675e-09
1912,1.614920641657136e-08,1.1981668990301841e-08
1913,2.969674284258872e-08,4.772690687104841e-09
1914,1.875088173619588e-08,7.366418142140674e-09
1915,3.534228465440492e-09,5.890381071793627e-09
1916,1.3184954461564757e-08,8.789969641043172e-09
1917,2.4126133979507358e-08,5.483212106582869e-09
1918,1.4932290071101306e-08,1.4932290071101306e-08
1919,1.5653341733923298e-08,1.8415696745321952e-09
1920,3.180337415642498e-08,6.815008557481406e-09
1921,1.8931869405491852e-08,5.300923255902035e-09
1922,2.8036154731125862e-08,8.115729421831475e-09
1923,1.2739137744688378e-08,1.0615948120573648e-09
1924,2.0626599095407983e-08,5.156649773851996e-09
1925,1.9796720707176974e-08,6.598906754362588e-09
1926,2.6750733184144337e-08,1.1146138456652466e-09
1927,1.8953683067479687e-08,1.1149224876660924e-09
1928,1.7139061725401916e-08,1.0283437212876834e-08
1929,2.785101571589621e-08,4.4561625500705304e-09
1930,2.7309368988426286e-08,2.100720708497761e-09
1931,1.4826963656844327e-08,4.5621426636444085e-09
1932,2.7398842306070037e-08,2.1919073223131136e-09
1933,1.0323596200123575e-08,3.4411986593596566e-09
1934,7.188948103475923e-09,0.0
1935,1.196828414151696e-08,2.393656828303392e-09
1936,2.0612015205756506e-08,2.424942913137329e-09
1937,1.0072894518486919e-08,1.7627565185307503e-08
1938,1.5558256905023882e-08,5.186085783037697e-09
1939,1.2235240376412548e-08,1.5294050470515685e-09
1940,2.5357829169792012e-09,2.5357829169792012e-09
1941,2.066051862925633e-08,8.854508237732261e-09
1942,2.4273694165799498e-08,3.034211770724937e-09
1943,1.7419411690866582e-08,1.1612940831184915e-08
1944,9.639558484764166e-09,0.0
1945,6.535512131478072e-09,4.357008087652048e-09
1946,2.7842208538686464e-08,2.7842208538686464e-09
1947,8.344609447874518e-09,9.536696765621855e-09
1948,1.6307831529616124e-08,4.348755133776194e-09
1949,1.7670615193310368e-08,5.890204768377316e-09
1950,7.444753258312176e-09,2.1270722960764488e-09
1951,1.2793682557799002e-08,2.1322803522849654e-09
1952,1.370824520563474e-08,3.1634410646574906e-09
1953,8.619061908632375e-09,2.1547654771580937e-09
1954,1.2704297169818801e-08,1.9545072227344917e-09
1955,9.385607846468247e-09,1.8771215692936494e-09
1956,2.1802854632824165e-08,2.616342476002842e-09
1957,1.1485549400447326e-08,8.835037701437898e-10
1958,1.9853384713997002e-08,7.445019267748876e-09
1959,1.1626121398933265e-08,1.5501495642666896e-09
1960,1.591791587429725e-08,6.920833350854139e-10
1961,9.72742331128984e-09,1.3896318540318475e-09
1962,9.512934440181198e-09,4.43936931660005e-09
1963,1.0345685197421517e-08,2.5864212993553792e-09
1964,2.1293889318485526e-08,7.909158661334459e-09
1965,1.4774516721161035e-08,2.188817349590977e-09
1966,1.7171132071780448e-08,7.200797291773142e-09
1967,7.888536934785861e-09,5.423369309198733e-09
1968,1.3474247495537384e-08,1.7965663401398047e-09
1969,1.544197658631674e-08,1.1354394757745467e-08
1970,6.438214850135182e-09,1.8394900047624674e-09
1971,1.2332153964678128e-08,1.541519245584766e-09
1972,7.182205497002769e-09,2.0520587451500205e-09
1973,1.9847533394568018e-08,4.9618833486420044e-09
1974,9.563471792262135e-09,1.6876715580593782e-09
1975,7.4249242310031605e-09,5.711480177694739e-09
1976,8.570290255249802e-09,3.4281160132820787e-09
1977,1.057820764316375e-08,7.052138428775834e-09
1978,1.0693064211864112e-08,2.3762365408686037e-09
1979,1.521513048885481e-08,1.7555920051037788e-09
1980,8.527726080842513e-09,5.685150683554241e-10
1981,1.4548763971333756e-08,1.8976649140967083e-09
1982,6.828252629986764e-09,2.483000915987077e-09
1983,6.946847541655643e-09,1.89459470334441e-09
1984,1.1018116197192285e-08,1.739702604197646e-09
1985,6.015557829641693e-09,1.8046674155058895e-09
1986,7.792831269171074e-09,4.7955883708539204e-09
1987,6.721898593298192e-09,3.0554083707556856e-09
1988,8.994830658082265e-09,5.396898483667201e-09
1989,1.0976243913773942e-08,3.841685636274406e-09
1990,8.717841559757744e-09,2.179460389939436e-09
1991,5.8614650910726596e-09,2.344586080837985e-09
1992,1.65298330578878e-09,2.2039776670368383e-09
1993,4.4313659408601325e-09,3.323524566667402e-09
1994,1.002236071911966e-08,4.747434001473039e-09
1995,1.0302656505700725e-08,4.337960657352369e-09
1996,9.074756945892659e-09,4.804283193493575e-09
1997,1.5823152565985765e-08,2.876936688878118e-09
1998,4.291316191284977e-09,5.2449422582867555e-09
1999,3.656160929565999e-09,9.140402323914998e-10
2000,3.5344251969604557e-09,3.5344251969604557e-09
2001,7.448059946568719e-09,3.5049694258049158e-09
2002,4.81934359086722e-09,1.752488598683044e-09
2003,6.250384210204629e-09,8.333845835650777e-10
2004,6.607186797680242e-09,2.642874807889939e-09
2005,9.007498746882447e-09,4.503749373441224e-09
2006,7.000412693969338e-09,6.58862386870851e-09
2007,6.391167151065247e-09,1.5977917877663117e-09
2008,4.6831836186811415e-09,1.2772318758180745e-09
2009,3.814554005998616e-09,3.337734755248789e-09
2010,1.8895172093635892e-09,1.8895172093635892e-09
2011,4.206369030868018e-09,1.911985902935953e-09
2012,3.063827413996023e-09,2.382976926895708e-09
2013,5.020424964641279e-09,2.7891249310130206e-09
2014,4.330890313042346e-09,3.031623174720721e-09
2015,2.881548111233201e-09,2.21657536769726e-09
2016,7.663958356829426e-09,3.935546111222266e-09
2017,3.5218559180094644e-09,1.509366853724714e-09
2018,3.872199894061623e-09,2.0651733656507076e-09
2019,1.7856913725466939e-09,2.2958890344426663e-09
