year,veut_VERB allumer_VERB,veut_VERB rallumer_VERB
1800,5.659496338239478e-08,6.288328968651058e-09
1801,2.3811825400343878e-08,2.3811825844433088e-09
1802,6.713520406265161e-09,2.2378401354217203e-09
1803,9.75169611727722e-09,7.801356893821776e-09
1804,1.9774807569206132e-08,0.0
1805,1.421438877713399e-08,2.842877711017877e-09
1806,2.881669125542885e-09,1.4408345627714425e-08
1807,0.0,0.0
1808,2.7192888385485503e-08,2.2660739062985158e-08
1809,1.3554183553310395e-08,0.0
1810,4.680253340438867e-08,2.3401267590372754e-09
1811,5.0141535368197765e-08,0.0
1812,8.00162425207418e-09,0.0
1813,6.901780125190271e-08,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,5.394447111228828e-09
1816,1.3905623319487859e-08,1.3905623319487859e-08
1817,2.490997452753163e-08,1.401186100480345e-08
1818,2.026600220972341e-08,3.5763532135746345e-09
1819,1.1386155129855524e-08,1.5526575580793178e-08
1820,7.831877724129299e-08,1.3053129244156025e-08
1821,4.930744257336528e-09,7.88919063410276e-09
1822,2.3058916553964082e-08,1.0025615893027862e-09
1823,2.7671522850880592e-08,2.9648061783404955e-09
1824,7.57900142644985e-09,2.5263338088166165e-09
1825,1.0566531427613768e-08,8.805443041381977e-10
1826,8.80798456392995e-09,0.0
1827,3.3182182335167454e-08,0.0
1828,6.420610709767516e-09,2.7516904310687096e-09
1829,8.57317605795771e-10,0.0
1830,1.8786305178153384e-08,0.0
1831,4.833273870019639e-08,0.0
1832,2.0294953273491956e-08,1.3529969367098715e-09
1833,1.9692167896323554e-08,1.1583628278799551e-08
1834,2.240287422239362e-08,0.0
1835,2.2689263801112247e-08,0.0
1836,1.6129799718100912e-08,0.0
1837,6.262101948095733e-09,0.0
1838,1.5149188570262595e-08,1.2624323808552163e-09
1839,9.788065469251706e-09,1.3982950353153e-09
1840,1.9109066329292546e-08,6.3696887764308485e-09
1841,1.3483152372373297e-08,1.926164561183441e-09
