year,voulant_VERB appeler_VERB,voulant_VERB rappeler_VERB
1800,6.288328968651058e-09,1.5720821977538435e-08
1801,0.0,1.9049460009412655e-08
1802,8.951360541686881e-09,2.4616241489638924e-08
1803,9.751696339321825e-09,2.3404069793286908e-08
1804,2.9662210465630778e-08,4.943701892301533e-09
1805,0.0,2.842877711017877e-09
1806,0.0,5.4751712497136396e-08
1807,0.0,8.540865792383556e-09
1808,0.0,1.5862518409903714e-08
1809,9.036122072814123e-09,2.4849335034105025e-08
1810,1.8721014072298203e-08,4.680253518074551e-09
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,1.3336041604361526e-08,3.467370746079723e-08
1813,2.8757416448144113e-09,2.0130190847567064e-08
1814,1.2586708564299443e-08,1.2586708120210233e-08
1815,1.0788894000413052e-08,2.6972235778188747e-08
1816,2.3176038865813098e-09,9.270415546325239e-09
1817,6.227493631882908e-09,4.670620157298799e-08
1818,2.026600220972341e-08,2.384235475716423e-09
1819,1.6561680027393777e-08,8.280840124719191e-09
1820,4.6279275522920216e-08,1.898636980968149e-08
1821,4.930744257336528e-09,2.3667571458219072e-08
1822,3.208197085768916e-08,9.023054303725075e-09
1823,2.9648061450338048e-08,0.0
1824,5.052667617633233e-09,1.51580028528997e-08
1825,7.044354433105582e-09,1.761088541663014e-08
1826,1.8496766784892316e-08,4.403991993306988e-08
1827,1.2904182611350734e-08,1.4747636611911474e-08
1828,2.0179061976932644e-08,1.3758451544720884e-08
1829,7.715858174606183e-09,1.7146351893870815e-08
1830,8.349468672008697e-09,1.5655253093882493e-08
1831,6.236482441579483e-09,4.677361609140007e-09
1832,1.6235963684607668e-08,2.4353945637933805e-08
1833,2.780070862407058e-08,3.243415935827443e-08
1834,1.4001796611040618e-08,2.0535967815149547e-08
1835,1.2100940693926532e-08,1.8151411040889798e-08
1836,1.6129799718100912e-08,1.4113575197427508e-08
1837,5.566312633042969e-09,1.3219993100221927e-08
1838,4.418513555037862e-09,1.8936486156917454e-08
1839,4.194885327990505e-09,7.690622361167243e-09
1840,3.057450559396102e-08,3.439631796053888e-08
1841,1.926164472365599e-08,1.6051371343195342e-08
1842,1.0733223643200063e-08,6.708265054555795e-09
1843,1.7720732659043392e-08,2.1855570242479416e-08
1844,8.232841963717874e-09,2.9089374908863874e-08
1845,3.459741382272341e-08,1.2276501426544684e-08
1846,1.8734404250153602e-08,1.0538101946622191e-08
1847,1.1865092020002521e-08,1.5101026207275936e-08
1848,1.2872355126258839e-08,4.02261068899179e-09
1849,1.005529792763582e-08,1.8434713311421547e-08
1850,8.146795238417326e-09,1.765138968323754e-08
1851,1.6123596680017727e-08,1.9348316948608613e-08
1852,1.9531636308300904e-09,3.255272562618927e-08
1853,1.5527023222716707e-08,1.19438634538227e-08
1854,1.506742641765868e-08,9.352196350675968e-09
1855,1.6451505047143655e-08,2.175844215912548e-08
1856,7.248064815001953e-09,1.3460691838940164e-08
1857,3.417056504417815e-08,7.810414592857029e-09
1858,1.027671986397749e-08,2.0553439838977283e-08
1859,2.3423998074534325e-08,1.1711999148289465e-08
1860,2.105504548488568e-08,1.6477861825014983e-08
1861,9.903524222920623e-09,3.867090336839851e-08
