year,aient_VERB emporté_VERB,aient_VERB remporté_VERB
1800,3.458580977167003e-08,3.144164484325529e-09
1801,2.3811825400343878e-08,4.7623651688866175e-09
1802,4.2518962573012686e-08,4.2518962573012686e-08
1803,9.751696339321825e-09,1.950339223455444e-09
1804,1.4831105232815389e-08,0.0
1805,1.9900143755080535e-08,5.685755422035754e-09
1806,2.5935023018064385e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,4.758755522971114e-08,0.0
1809,1.581321384946932e-08,2.0331274441787173e-08
1810,0.0,1.1700633351097167e-08
1811,0.0,1.2535384286138651e-08
1812,8.00162425207418e-09,5.3344164641089264e-09
1813,1.1502966579257645e-08,2.8757416448144113e-09
1814,3.4613449884091096e-08,0.0
1815,5.394447111228828e-09,1.0788894222457657e-08
1816,2.0858434979231788e-08,1.1588019432906549e-08
1817,6.227493631882908e-09,4.670620334934483e-09
1818,4.768470951432846e-09,4.6492591110336434e-08
1819,5.175524897538253e-09,1.3456364911235141e-08
1820,1.898636980968149e-08,2.966620371580575e-08
1821,2.5639868894700157e-08,2.3667571014129862e-08
1822,1.4035862250239006e-08,8.02049271442229e-09
1823,4.941343334508019e-09,0.0
1824,1.0947446504872005e-08,2.0210670470532932e-08
1825,1.4088708866211164e-08,2.0252519661312363e-08
1826,5.284790383086602e-09,2.642395191543301e-09
1827,2.3964910056406552e-08,1.7512819638909605e-08
1828,2.8434133270138773e-08,9.172301251858528e-10
1829,9.430493719264632e-09,6.001223074036943e-09
1830,1.5655253093882493e-08,3.026682549034376e-08
1831,2.182768810143898e-08,0.0
1832,1.352996914505411e-08,1.8941957335982806e-08
1833,2.4325620628928846e-08,2.3167257001688313e-09
1834,9.334531370086552e-09,5.600718555598405e-09
1835,2.2689263801112247e-08,1.5126175867408165e-08
1836,1.0753200108126748e-08,1.0753200108126748e-08
1837,9.045257876039159e-09,1.3915782304252389e-08
1838,2.3354999711955315e-08,9.468243078458727e-09
1839,3.0063343814390464e-08,4.194885327990505e-09
1840,2.229391071750797e-08,2.5478754661634184e-09
1841,1.6693427085101575e-08,5.1364388298225094e-09
1842,2.4149754196400863e-08,4.024959032733477e-09
1843,2.3036953678001737e-08,6.497602011990011e-09
1844,2.4149668931272572e-08,1.097712254427563e-09
1845,1.7298706467272496e-08,1.1160455892778032e-09
1846,1.8148954339380907e-08,4.0981511517657054e-09
1847,1.1325769655456952e-08,1.3483059113639229e-08
1848,1.528592186161859e-08,8.84974404868899e-09
1849,1.3407063903514427e-08,2.513824481908955e-09
1850,1.4935791270431764e-08,1.3577992064028876e-09
1851,1.2898877521649865e-08,7.094382858952031e-09
1852,1.1718981340891332e-08,7.812654523320361e-09
1853,1.1943863675867306e-08,8.957897534855874e-09
1854,1.0910895298366086e-08,1.558699391779328e-09
1855,3.02495415382964e-08,5.306937111981824e-10
1856,9.836659486950339e-09,8.28350277259915e-09
1857,2.5383847912507917e-08,5.369659827891837e-09
1858,2.5447114637699997e-08,4.404308473482388e-09
1859,2.2914779407301467e-08,5.601390462572908e-09
1860,9.15436793036406e-09,3.204028820036342e-09
1861,9.431927239234028e-09,2.8295783494058924e-09
1862,2.755971628687348e-08,1.1746764450037972e-08
1863,1.897955925755923e-08,1.1487627737949424e-08
1864,1.3904711160250827e-08,2.8768367688059016e-09
1865,2.6829013677343028e-08,8.001635798393636e-09
1866,1.4110277390955162e-08,1.0704348518686402e-08
1867,1.6984840200962026e-08,5.82337378318698e-09
1868,1.432563490055827e-08,3.951899252285784e-09
1869,1.3185501579471293e-08,2.9301114867763545e-09
1870,1.548193218070537e-08,5.160643912205387e-09
1871,3.080141297573391e-08,2.1242353653860846e-08
1872,1.0885210954825197e-08,1.269941218851045e-08
1873,2.9331422624068182e-08,1.1972008939764578e-09
1874,2.3300975371398636e-08,1.7923826867161097e-09
1875,6.293679799540541e-09,3.432916173551348e-09
1876,1.874264654588842e-08,3.627608879952504e-09
1877,1.5462040536817767e-08,5.566334504436554e-09
1878,1.0266450800600069e-08,2.4156354694326865e-09
1879,1.649517855639715e-08,1.7717043832021773e-08
1880,2.1820676820993867e-08,1.0268554007097919e-08
1881,2.022027167924989e-08,6.2752567586699115e-09
1882,3.660461800336634e-08,5.324308105514319e-09
1883,2.8437025179073316e-08,6.319338941018771e-10
1884,2.3766109080725073e-08,7.2618666635548834e-09
1885,1.2891271161663553e-08,3.86738152613475e-09
1886,1.4197620856748472e-08,4.5174246565693466e-09
1887,7.1818169189441505e-09,8.48760173255414e-09
1888,9.510921827882157e-09,3.1703073499755874e-09
1889,2.6940087494153886e-08,1.8795409673089125e-09
1890,2.0318598359381213e-08,3.9326319978272295e-09
1891,1.466070642663908e-08,5.736798147637501e-09
1892,2.005923960268774e-08,6.268512375839919e-09
1893,1.3548516086814288e-08,1.2316833108982905e-09
1894,1.7014155417882648e-08,4.411077725308132e-09
1895,1.8657704714541978e-08,2.4074457982692365e-09
1896,1.2973464080801023e-08,1.4152869098893461e-08
1897,1.5732126712464378e-08,6.409385022720926e-09
1898,2.2633418694795182e-08,5.6583548957434e-10
1899,1.2160672469008205e-08,4.9748205555033564e-09
1900,8.30568502863116e-09,4.15284251431558e-09
1901,2.3472702892490815e-08,7.824234593556412e-09
1902,2.1605249145295602e-08,1.9641135384773634e-09
1903,2.1600881083827517e-08,3.2401321625741275e-09
1904,1.2361637935498493e-08,1.289910045443321e-08
1905,2.0126959654476195e-08,6.708986699521802e-09
1906,1.2346042410626978e-08,9.259531807970234e-09
1907,1.697138252154673e-08,4.6285588695127444e-09
1908,1.8663278922304016e-08,4.4202499438483756e-09
1909,1.925344328412848e-08,1.1552065082298668e-08
1910,1.2291546447329438e-08,1.0153886620400954e-08
1911,2.6601870928288918e-08,2.128149656499545e-09
1912,1.614920641657136e-08,2.6047106693738442e-09
1913,9.015082902408267e-09,8.484783542428431e-09
1914,1.808120764223986e-08,1.0045115850232378e-08
1915,2.4739600590351074e-08,3.7698438148936475e-08
1916,1.4283700444650549e-08,4.394984820521586e-09
1917,6.57985488317081e-09,1.7546279096336548e-08
1918,1.722956355365568e-08,0.0
1919,1.6574126959767455e-08,8.287063479883727e-09
1920,1.0601124422748853e-08,1.514446346106979e-09
1921,1.438822039290244e-08,0.0
1922,1.9182632371439468e-08,2.2133805899215986e-09
1923,2.0170300985000722e-08,6.369568872344189e-09
