year,devait_VERB ouvrir_VERB,devait_VERB rouvrir_VERB
1800,4.087413785214267e-08,0.0
1801,2.3811825400343878e-08,2.3811825844433088e-09
1802,3.5805442166747525e-08,0.0
1803,9.751696339321825e-09,0.0
1804,6.921182915675672e-08,0.0
1805,1.2224374756897305e-07,0.0
1806,3.458002950651462e-08,0.0
1807,1.992868590150465e-07,0.0
1808,3.3991110370834576e-08,0.0
1809,6.325285539787728e-08,0.0
1810,3.510190182964834e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,6.401299401659344e-08,0.0
1813,6.901780125190271e-08,0.0
1814,1.1642705288750221e-07,0.0
1815,7.552225866902518e-08,0.0
1816,5.5622493277951435e-08,4.6352077731626196e-09
1817,9.808302792180257e-08,0.0
1818,8.464036227451288e-08,0.0
1819,9.419455437864599e-08,0.0
1820,1.8155715508783032e-07,0.0
1821,6.7058117281249e-08,9.86148829262845e-10
1822,9.624591257306747e-08,2.2056354964661296e-08
1823,8.894418357385803e-08,1.9765373782121287e-09
1824,1.0189546628680546e-07,0.0
1825,9.245714949202011e-08,0.0
1826,8.367585024871005e-08,8.807984341885344e-10
1827,9.770309361556428e-08,0.0
1828,1.1190207516165174e-07,5.503380862137419e-09
1829,1.4745862131348986e-07,9.430493719264632e-09
1830,1.450720219509094e-07,4.174734336004349e-09
1831,7.171954763407484e-08,0.0
1832,7.306183391619925e-08,6.764984572527055e-09
1833,1.3205335847032984e-07,0.0
1834,1.0454674281845655e-07,9.334530925997342e-10
1835,8.546289365085613e-08,2.2689263801112247e-09
1836,9.005805168271763e-08,1.008112526790228e-08
1837,1.3707045809496776e-07,0.0
1838,1.35711474058553e-07,3.787297142565649e-09
1839,1.3913034990764572e-07,4.194885327990505e-09
1840,1.4395496350516623e-07,2.5478754661634184e-09
1841,1.7271275964958477e-07,4.494383976094696e-09
1842,1.542900918138912e-07,2.683306021822318e-09
1843,1.0514301607145171e-07,6.497602011990011e-09
1844,1.7453625389407534e-07,2.195424508855126e-09
1845,1.757771741495162e-07,3.9061593959388574e-09
1846,1.7563503718065476e-07,4.0981511517657054e-09
1847,1.2620142797459266e-07,4.314578916364553e-09
1848,1.713632258315556e-07,7.24069959545659e-09
1849,1.516674075219271e-07,0.0
1850,8.96147440698769e-08,2.0366988096043315e-09
1851,1.6962023607902665e-07,0.0
1852,1.6081047249372205e-07,0.0
1853,1.0928635418849808e-07,1.5527023222716707e-08
1854,1.4391990532658383e-07,5.195664454227256e-10
1855,2.1599234401037393e-07,3.714855978387277e-09
1856,1.8586109717944055e-07,2.5885946719483854e-09
1857,1.3619410310639068e-07,1.0739319655783675e-08
1858,1.409378711514364e-07,2.936205500958522e-09
1859,1.2934120263707882e-07,3.5645213447565993e-09
1860,1.6477862629926676e-07,1.4646988510946812e-08
1861,1.5232562589062582e-07,2.357981809808507e-09
1862,1.481899545296983e-07,9.487771457372673e-09
1863,1.2586444597673108e-07,1.1987090431375691e-08
1864,1.4048552543499682e-07,1.4384183844029508e-09
1865,1.510897078560447e-07,0.0
1866,1.2066719534686854e-07,0.0
1867,1.5626052629613696e-07,3.396968040192405e-09
1868,1.239908442585147e-07,1.0373735648272486e-08
1869,1.2697149998075474e-07,2.441759683335931e-09
1870,1.353235461465374e-07,1.7202146374017957e-09
1871,1.614418891904279e-07,0.0
1872,1.4634561296134052e-07,1.2094678591978436e-09
1873,9.817047441629256e-08,2.3944017879529156e-09
1874,1.171023384927139e-07,5.974609140757536e-10
1875,1.178634576604054e-07,6.293679799540541e-09
1876,1.3724454106522899e-07,1.3905833817773328e-08
1877,1.0081249968152406e-07,8.040260901509555e-09
1878,1.3225604789113277e-07,6.6429977074733415e-09
1879,1.5151127286117116e-07,3.665595160740054e-09
1880,1.1359588114601138e-07,2.5671385017744797e-09
1881,1.1016562240229177e-07,6.2752567586699115e-09
1882,1.211280107327184e-07,6.655385131892899e-10
1883,1.301783782992061e-07,1.2638677882037541e-09
1884,1.1420935663863929e-07,9.902545450302114e-09
1885,1.0506386161068804e-07,7.090199094506033e-09
1886,1.1874373484488387e-07,5.162771099520569e-09
1887,9.66280850889234e-08,1.9586774424595887e-09
