year,pouvant_VERB établir_VERB,pouvant_VERB rétablir_VERB
1800,3.144164484325529e-09,6.288328968651058e-09
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,1.3427040812530322e-08,1.7902721083373763e-08
1803,2.145373123596528e-08,0.0
1804,1.4831105232815389e-08,2.4718509461507665e-09
1805,1.1371510844071508e-08,8.528632911009026e-09
1806,2.881669125542885e-09,0.0
1807,2.8469550272802735e-08,8.540865792383556e-09
1808,9.064295980465431e-09,0.0
1809,4.518061036407062e-09,4.518061036407062e-09
1810,2.106114038724627e-08,1.1700633351097167e-08
1811,2.0056614147279106e-08,1.504245972228091e-08
1812,5.067695596494559e-08,2.6672082320544632e-09
1813,0.0,3.4508900625951355e-08
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,7.282503844407984e-08,1.3486118000116676e-08
1816,3.7081662185300956e-08,2.3176038865813098e-09
1817,1.8682481339737933e-08,2.3353100786493997e-08
1818,2.5034472272977837e-08,2.98029441125891e-08
1819,2.898294049202832e-08,1.6561680027393777e-08
1820,1.898636980968149e-08,1.0679833017945839e-08
1821,6.607196922914227e-08,1.4792232327920374e-08
1822,3.107940926838637e-08,1.0025615893027862e-09
1823,7.906149512848515e-09,9.882686891060644e-10
1824,2.7789671008804362e-08,8.421112696055388e-09
1825,3.0819052199149155e-08,8.805443041381977e-10
1826,2.1139161532346407e-08,1.4973572604048968e-08
1827,1.7512819638909605e-08,7.373818444733615e-09
1828,1.1923991571904935e-08,1.9261833017480967e-08
1829,1.628903412154159e-08,1.800366966620004e-08
1830,1.1480519646056564e-08,1.5655253093882493e-08
1831,3.274153215215847e-08,4.2096257146795324e-08
1832,4.464889968858188e-08,1.7588959622116818e-08
1833,5.90765054653275e-08,3.4750886612755494e-09
1834,3.360431222176885e-08,1.8669062740173104e-08
1835,1.3613558280667348e-08,2.2689263801112247e-09
1836,1.747394939854985e-08,4.032449929525228e-09
1837,3.339787468803479e-08,8.349468672008697e-09
1838,2.0830134062066463e-08,6.943378316748294e-09
1839,4.055055669027752e-08,1.3982949909063791e-08
1840,2.7389662093924017e-08,3.567025785855549e-08
1841,3.338685417020315e-08,4.494383976094696e-09
1842,3.890793820460203e-08,2.1466448174578545e-08
1843,4.3120451209688326e-08,1.7720733769266417e-09
1844,4.9945906965831455e-08,5.488561272137815e-10
1845,1.7298706467272496e-08,1.1160455892778032e-09
1846,1.8734404250153602e-08,9.367202125076801e-09
1847,3.235934187273415e-08,1.6718992412734224e-08
1848,4.103063133698015e-08,1.126331028444838e-08
1849,4.9438547478075634e-08,1.6758829879393033e-09
1850,3.326607966869233e-08,1.1541293254424545e-08
1851,2.5152811389261842e-08,1.9348316726564008e-08
1852,2.6042181744401205e-08,9.114764054629632e-09
1853,4.240071760364117e-08,1.0152284346531815e-08
1854,2.3900057044556888e-08,7.79349651480743e-09
1855,3.290301009428731e-08,2.1227748447927297e-09
1856,2.9509978460851016e-08,1.2425253714809514e-08
1857,1.8061584228235006e-08,2.9289055625270066e-09
1858,2.495774786837046e-08,6.8511463169329545e-09
1859,2.2405561850291633e-08,6.619825576592575e-09
1860,2.0139609091529564e-08,3.204028820036342e-09
1861,2.971057178058345e-08,5.187560159214399e-09
1862,2.3493528900075944e-08,1.8071945051545413e-09
1863,3.096664968893492e-08,1.1987090431375691e-08
1864,2.0617330065419992e-08,5.274200631788517e-09
1865,4.094954419997521e-08,6.589582213223366e-09
1866,2.4814625021463144e-08,9.244664589402873e-09
1867,4.4160586298858107e-08,7.279217228983725e-09
1868,3.754304245262574e-08,2.4699371437009177e-09
1869,4.102156125895817e-08,1.953407657850903e-09
1870,3.268407766654491e-08,4.587239033071455e-09
1871,3.823623728749226e-08,5.3105884134652115e-09
1872,4.051717183983783e-08,1.5723081503438152e-08
1873,3.8909028887701425e-08,4.190203295451056e-09
1874,4.540703102406951e-08,4.779687312606029e-09
1875,3.089624556196213e-08,0.0
1876,3.143927784776679e-08,4.836811839936672e-09
1877,3.710889728836264e-08,3.710889595609501e-09
1878,3.38188961279684e-08,6.039088784604019e-09
1879,2.8102896010295808e-08,1.832797580370027e-09
1880,4.171599954361227e-08,7.059631101924424e-09
1881,3.765154232837631e-08,4.8807553554297556e-09
1882,5.324308105514319e-08,9.983077475794744e-09
1883,4.044376922252013e-08,6.319338941018771e-10
1884,3.630933420595284e-08,4.621187876807653e-09
1885,5.8655285073427876e-08,2.5782542767416317e-09
1886,3.549405036551434e-08,9.034849313138693e-09
1887,4.8966935395355904e-08,5.876032105334161e-09
1888,3.233713385952797e-08,8.242799331981132e-09
1889,4.009687515349469e-08,6.265136853755848e-09
1890,3.6704562944578356e-08,5.898947996740844e-09
1891,4.079500826037474e-08,3.824531802365527e-09
1892,3.823792482648969e-08,3.1342561879199593e-09
1893,6.651089989873071e-08,6.158416554491453e-10
1894,5.923446977362801e-08,1.0082462864602348e-08
1895,4.8750777636996645e-08,3.0093072478365457e-09
1896,4.422771837653272e-08,1.179405795248556e-09
1897,5.185775009408644e-08,1.1653427112179315e-09
1898,7.921696720813998e-08,4.52668391659472e-09
1899,4.0351324059884064e-08,4.9748205555033564e-09
1900,3.5818267463127995e-08,2.07642125715779e-09
1901,3.24146860464225e-08,2.235495566438317e-09
1902,6.03964878109764e-08,4.419255628107521e-09
1903,4.482182802689749e-08,7.020286574288548e-09
1904,4.622177840474251e-08,1.6123875568041512e-09
1905,3.4061010012464976e-08,3.6125313851442797e-09
1906,3.549487459508782e-08,7.201858220895474e-09
1907,4.1142747875255736e-08,1.028568674676933e-09
1908,4.174680867663483e-08,4.911389073214423e-09
1909,4.015717891547865e-08,4.950885035270858e-09
1910,4.008112952647025e-08,4.275320542035388e-09
1911,3.1390207766435196e-08,3.7242617878519013e-09
1912,3.80287765722187e-08,4.167536982180309e-09
1913,3.7651226136858895e-08,2.121195885607108e-09
1914,2.678697441638178e-08,5.357394972094198e-09
1915,3.062998032987707e-08,3.534228465440492e-09
1916,2.7468654906215306e-08,1.0987462051303964e-09
1917,2.3029491202919417e-08,0.0
1918,3.445912710731136e-08,3.44591288836682e-09
1919,3.222746869369075e-08,9.207848372660976e-10
1920,4.770506123463747e-08,3.786115865267448e-09
1921,5.073740894090406e-08,5.300923255902035e-09
1922,5.016996240669869e-08,2.2133805899215986e-09
1923,4.989495749896378e-08,6.369568872344189e-09
1924,4.512068585427187e-08,6.445812328337297e-09
1925,4.3992713472107425e-08,4.399271169575059e-09
1926,1.7833821530643945e-08,3.343841648018042e-09
1927,3.1217830098739796e-08,1.1149224876660924e-09
1928,3.7705934374798744e-08,3.4278122562625413e-09
1929,2.0052731031228177e-08,5.570202965543558e-09
1930,2.3107928015519974e-08,1.2604324695075775e-08
1931,2.8513390759599133e-08,4.5621426636444085e-09
1932,2.082311922890767e-08,6.575722188983946e-09
1933,2.408838994938378e-08,2.2941324395731044e-09
1934,2.3963160344919743e-08,0.0
1935,1.9149254626427137e-08,1.196828414151696e-09
1936,2.0612015205756506e-08,7.274828739411987e-09
1937,2.895957251780601e-08,0.0
1938,1.9447821131279852e-08,1.2965214457594243e-09
1939,1.988226472349197e-08,1.5294050470515685e-09
1940,2.2822046474857416e-08,0.0
1941,3.246652724442356e-08,2.9515025978810172e-09
1942,2.1239483061208375e-08,3.034211770724937e-09
1943,3.4838823381733164e-08,2.9032352077962287e-09
1944,3.855823393905666e-08,3.2131861615880553e-09
1945,1.5249527862692958e-08,1.742803235060819e-08
1946,2.0881657292193267e-08,4.1763312808029696e-09
1947,1.4305045148432782e-08,2.3841741914054637e-09
1948,2.8266908813634473e-08,4.348755133776194e-09
1949,2.2579119018928395e-08,8.835307596655184e-09
1950,1.0635361036293034e-08,4.2541445921528975e-09
1951,1.8124383771578323e-08,1.4925962688039363e-08
1952,3.374337254058446e-08,6.326882129314981e-09
1953,2.477980309834038e-08,8.619061908632375e-09
1954,2.14995790059902e-08,9.772536113672459e-10
1955,2.3464020060259827e-08,2.815682353940474e-09
1956,3.1396108823855684e-08,2.616342476002842e-09
1957,3.445664731316356e-08,5.301022731885041e-09
1958,1.8198935691771112e-08,0.0
1959,1.9376869886400527e-08,1.5501495642666896e-09
