year,devrait_VERB entrer_VERB,devrait_VERB rentrer_VERB
1800,5.973912209356058e-08,6.288328968651058e-09
1801,4.7623651688866175e-09,7.143547975374531e-09
1802,2.6854081625060644e-08,1.1189200677108602e-08
1803,1.3652374342143503e-08,1.950339223455444e-09
1804,2.2246657849223084e-08,1.2359254952798437e-08
1805,4.5486043376286034e-08,0.0
1806,5.76333825108577e-09,1.729001475325731e-08
1807,3.131650672116848e-08,8.540865792383556e-09
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,1.3554183553310395e-08,0.0
1810,2.3401267590372754e-09,2.3401267590372754e-09
1811,1.2535384286138651e-08,0.0
1812,2.400487453257938e-08,2.6672082320544632e-09
1813,4.601186631703058e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,7.282503844407984e-08,0.0
1816,4.4034472068688046e-08,2.3176038865813098e-09
1817,2.9580593974287694e-08,0.0
1818,4.053200441944682e-08,3.5763532135746345e-09
1819,3.001804671498576e-08,2.070210003424222e-09
1820,5.933240565525466e-09,1.898636980968149e-08
1821,1.8736827200882544e-08,1.97229765852569e-09
1822,2.5064039732569654e-08,0.0
1823,1.680056804787e-08,5.929612356680991e-09
1824,1.8526447931321854e-08,1.431589158329416e-08
1825,1.0566531649658373e-08,4.4027217427355936e-09
1826,2.554315514657901e-08,3.5231937367541377e-09
1827,4.2399456390285195e-08,1.1060727445055818e-08
1828,4.861319524707142e-08,2.384798314380987e-08
1829,3.943661042171698e-08,6.858540846366168e-09
1830,4.279102583382155e-08,0.0
1831,7.483778574624012e-08,4.677361609140007e-09
1832,5.141388470519814e-08,2.705993873419743e-09
1833,1.6217079235048004e-08,3.4750886612755494e-09
1834,3.9205030333278046e-08,1.4001796166951408e-08
1835,1.4369867074037757e-08,1.0588323107185715e-08
1836,3.763620171071125e-08,8.736974699274924e-09
1837,3.896418832027848e-08,1.3219993100221927e-08
1838,2.2723781967215473e-08,8.2058102535143e-09
1839,1.957613093850341e-08,1.1885507689157748e-08
1840,2.165694112932215e-08,3.1848443882154243e-09
1841,4.1091510638580075e-08,5.778493683550323e-09
1842,4.8299508392801727e-08,1.542900918138912e-08
1843,3.0125246297529884e-08,2.3627644285539873e-09
1844,3.732221642849254e-08,1.3172547497219966e-08
1845,4.575786860527842e-08,1.897277535078956e-08
1846,4.27378594736183e-08,7.025401593807601e-09
1847,2.7505439703645607e-08,8.629157832729106e-09
1848,6.114368744647436e-08,2.172209789819135e-08
1849,4.1059134758825167e-08,3.267971848686102e-08
1850,4.8880771430503955e-08,1.8330290174617403e-08
1851,5.93348374877678e-08,1.483370937194195e-08
1852,4.362065553209504e-08,1.4974254725075298e-08
1853,4.240071760364117e-08,1.4332636411040767e-08
1854,4.416314780542052e-08,7.79349651480743e-09
1855,2.4942604426314574e-08,2.865746040470185e-08
1856,3.986435714864456e-08,1.501384794266869e-08
1857,3.172980811427806e-08,7.810414537345878e-09
1858,2.8872689128434104e-08,1.4191660291373864e-08
1859,3.768208145515928e-08,1.4258085379026397e-08
1860,6.31651388971477e-08,1.373155189554609e-08
1861,3.254015012998934e-08,5.659156698811785e-09
1862,2.710791768834042e-08,8.584174260306554e-09
1863,2.6471489888990618e-08,1.2986014041871385e-08
1864,5.6098315326380543e-08,2.0137857603685916e-08
1865,1.8827376990770972e-08,2.118079933666195e-08
1866,3.649209645573137e-08,1.1190909532388105e-08
1867,2.9602150064533816e-08,1.94112459439566e-08
1868,2.865126980111654e-08,1.0373735648272486e-08
1869,3.41846337903462e-08,1.3185501579471293e-08
1870,3.039045992636602e-08,2.064257564882155e-08
1871,6.054071377548098e-08,2.3366590440332402e-08
1872,3.5679303067581714e-08,1.5723081503438152e-08
1873,2.8134220286801792e-08,2.334541804316359e-08
1874,3.764003864148435e-08,1.6728906260254917e-08
1875,4.806082642971887e-08,1.3159512590732447e-08
1876,4.292670396921494e-08,1.5719638923883394e-08
1877,3.030559980743419e-08,2.6594708657512456e-08
1878,4.046189516770937e-08,8.4547240319921e-09
1879,3.726688291294522e-08,1.5273313280772527e-08
1880,2.888030792291829e-08,1.2835692508872398e-08
1881,4.183504387356152e-08,1.9523021421719022e-08
1882,3.8601232432711186e-08,2.6621540527571597e-08
1883,5.308244865886991e-08,7.58320695126713e-09
1884,5.3473744543452995e-08,9.902545450302114e-09
1885,3.287274097374393e-08,1.160214413431504e-08
1886,3.807543791367607e-08,1.7424351739236954e-08
1887,3.656197833379338e-08,2.0892558794116667e-08
1888,5.326116436776829e-08,2.53624587998047e-08
1889,4.2602930960811136e-08,1.1903759755682586e-08
1890,3.8015443237782165e-08,3.211649257650606e-08
1891,4.461954006274027e-08,8.92390783491237e-09
1892,3.949162774574688e-08,1.817868522380195e-08
1893,2.7097032173628577e-08,2.0322774574310642e-08
1894,3.0247388593807045e-08,9.452309157609307e-09
1895,4.092657945875544e-08,2.5278181325916194e-08
1896,4.009979548413867e-08,1.592197840238896e-08
1897,3.8456310136325556e-08,1.5732126712464378e-08
1898,3.904265000187479e-08,2.3765091228256097e-08
1899,4.698441813388854e-08,1.2713430308508578e-08
1900,5.087231969014283e-08,1.9206897405865675e-08
1901,4.8622027293276915e-08,1.117747761014698e-08
1902,3.191684427861219e-08,1.5712908307818907e-08
1903,5.6702312178913417e-08,1.4040573148577096e-08
1904,6.073326375144461e-08,2.7948050984605288e-08
1905,3.4577084306874895e-08,1.4450125540577119e-08
1906,3.600929332492342e-08,1.18316245689698e-08
1907,4.217131532868734e-08,2.4171363577352167e-08
1908,6.384805573134145e-08,2.6030361865991836e-08
1909,4.7308457595818254e-08,1.870334465081669e-08
1910,4.542528131423751e-08,3.099607326362275e-08
1911,3.6178544604581475e-08,1.2236860413850081e-08
1912,6.563870869058519e-08,1.4586379215586476e-08
1913,5.992378504515727e-08,1.8030165804816534e-08
1914,2.0090231700464756e-08,4.68772043404897e-09
1915,3.180805663305364e-08,1.1780762143587253e-08
1916,3.955486249651585e-08,9.888715624128963e-09
1917,3.5092558192673096e-08,1.315970976634162e-08
1918,6.776961924970237e-08,1.9526840588923733e-08
1919,6.813807829075813e-08,1.1970202606903513e-08
1920,3.558949046578164e-08,2.1959472462640406e-08
1921,5.073740894090406e-08,1.8931869405491852e-08
1922,4.648099505288883e-08,1.0329110011753073e-08
1923,4.140219900250486e-08,1.0615948120573648e-08
1924,2.9650736976805092e-08,2.5783249313349188e-08
1925,5.27912540349007e-08,1.7597084678300234e-08
1926,3.6782257240020044e-08,1.4489979882625903e-08
1927,5.9090890403012963e-08,1.5608915049369898e-08
1928,3.884854038460617e-08,2.6279895593006586e-08
1929,4.67897081080082e-08,6.684243825105796e-09
1930,3.2561171536826805e-08,1.575540586884472e-08
1931,5.018356930008849e-08,9.124285327288817e-09
1932,4.7126007984843454e-08,1.753525857850491e-08
1933,4.932384811695556e-08,2.1794258842078307e-08
1934,3.354842448288764e-08,1.677421224144382e-08
1935,4.188899538348778e-08,7.180970484910176e-09
1936,3.8799086610197264e-08,1.4549657478823974e-08
1937,5.288269733227935e-08,1.0072894518486919e-08
1938,3.8895642262559704e-08,1.4261735792331365e-08
1939,4.435274547631707e-08,9.176430282309411e-09
1940,2.5357829613881222e-08,1.5214697057785997e-08
1941,4.427253941230447e-08,2.9515025090631752e-08
1942,3.3376331032286544e-08,2.4273694165799498e-08
1943,4.645176332473966e-08,2.0322646676618206e-08
1944,5.7837350908584995e-08,9.639558484764166e-09
1945,5.8819608739213436e-08,2.178504132643866e-08
1946,3.480275978517966e-08,1.6705325123211878e-08
1947,4.2915136333476767e-08,1.1920871401116528e-08
1948,5.435943961629164e-08,1.195907639583993e-08
1949,7.362756093698408e-08,1.9634017078828947e-08
1950,2.9779013033248702e-08,2.2334258886758107e-08
1951,4.797630737130021e-08,2.1322803078760444e-08
1952,5.483298082253896e-08,7.381362632230548e-09
1953,4.955960619668076e-08,8.619061908632375e-09
1954,4.202190595492539e-08,1.07497895029951e-08
1955,5.0682281482750113e-08,1.1262729415761896e-08
1956,4.360570926564833e-08,1.2209598665435806e-08
1957,4.329168490357915e-08,8.835037590415595e-09
1958,5.046068451974861e-08,1.5717262158432277e-08
1959,5.1930008737599564e-08,1.3176271629333769e-08
1960,5.052208251754564e-08,7.612916519406099e-09
1961,7.642974964028326e-08,1.389631876236308e-08
1962,7.166410398440348e-08,1.3952304200870458e-08
1963,7.823924619287936e-08,1.3578711488548834e-08
1964,9.065112749340187e-08,1.3993127545575135e-08
1965,8.481666924353704e-08,8.755269398363907e-09
1966,9.08408281929951e-08,4.985167390003653e-09
1967,8.381570637538971e-08,1.429797347185513e-08
1968,9.072660134279431e-08,7.635406973349745e-09
1969,1.021895528197092e-07,1.1354394757745467e-08
1970,1.200267263357091e-07,1.3336302728816918e-08
1971,1.0328179200769227e-07,1.3873672877195986e-08
1972,8.669947959560886e-08,1.1799337507056862e-08
1973,1.163286000860353e-07,1.7090931336838366e-08
1974,1.1926212550861237e-07,9.563471792262135e-09
1975,1.7248670758363005e-07,1.4849848462006321e-08
1976,1.2341217825451167e-07,1.8854638739185248e-08
1977,1.815925543269259e-07,1.1165885105413054e-08
1978,1.4554449023762572e-07,1.128712323605896e-08
1979,1.462993282075331e-07,1.1118749476679568e-08
1980,1.2564183293761744e-07,1.5349906234973787e-08
1981,1.4738530751401413e-07,1.5813874654213578e-08
1982,1.3035754875545535e-07,1.2415004135846175e-08
1983,1.604090300588723e-07,1.705135410645653e-08
1984,1.1250076425994848e-07,1.333771937339634e-08
1985,9.865514982720924e-08,2.1054452403745927e-08
1986,1.0850018838937103e-07,1.8582904104391673e-08
1987,1.2160525386661902e-07,2.0165694891716157e-08
1988,1.3852039160155982e-07,1.5591039570495013e-08
1989,1.5586266499667545e-07,2.140367705294466e-08
1990,1.378508756033625e-07,2.0160008773473237e-08
1991,1.3305526636031573e-07,1.4653663171770859e-08
1992,1.2176977293165692e-07,2.314176583695371e-08
1993,1.506664375483524e-07,2.1602909683338112e-08
1994,1.2976319396784675e-07,1.5297286992677073e-08
1995,1.0519554649590646e-07,2.2232049090575856e-08
1996,7.793614287265882e-08,1.1743802375008272e-08
1997,1.23228787174412e-07,1.006927874414032e-08
1998,1.072829078907489e-07,1.859570453177639e-08
1999,1.0557164387137163e-07,1.3253583119876566e-08
2000,9.940571032984735e-08,2.385736941334926e-08
2001,1.292457483259568e-07,1.445799924226776e-08
2002,1.0909241865419972e-07,2.1467984723244626e-08
2003,1.070899173782891e-07,2.4584844382502524e-08
2004,1.1011977818498053e-07,2.334539317416784e-08
2005,9.638024067726292e-08,2.38698731891418e-08
2006,1.2724279940812266e-07,2.5530917824312382e-08
2007,1.1823659207266246e-07,3.83470037945699e-08
2008,8.472304813267328e-08,5.577246042776096e-08
2009,9.250293686591249e-08,5.054284102357087e-08
2010,6.849499811778514e-08,9.400348233157274e-08
2011,1.0515923065668176e-07,1.070712158934839e-07
2012,6.842547861651838e-08,1.05531832161887e-07
2013,7.084377529054109e-08,1.196534640257596e-07
2014,5.846701967016088e-08,1.1606785932372077e-07
2015,6.206411029552328e-08,1.2944799721026357e-07
2016,5.2404903527758506e-08,1.4271532222664973e-07
2017,5.886530374255017e-08,1.554647752755045e-07
2018,5.859929430584998e-08,1.739908555009606e-07
2019,5.459113694428197e-08,1.622428271730314e-07
