year,fallait_VERB établir_VERB,fallait_VERB etablir_VERB,fallait_VERB rétablir_VERB
1800,8.489244152087849e-08,0.0,0.0
1801,6.191074675143682e-08,0.0,7.143547975374531e-09
1802,2.2378401354217203e-08,0.0,2.6854081625060644e-08
1803,1.2092102963379148e-07,0.0,2.3404069793286908e-08
1804,1.3842365831351344e-07,0.0,1.730295728918918e-08
1805,4.5486043376286034e-08,0.0,4.8328921309348516e-08
1806,8.645007198992971e-08,0.0,3.1698359492793315e-08
1807,2.391442421867396e-07,0.0,9.679647661187119e-08
1808,9.064295625194063e-08,0.0,1.8128591960930862e-08
1809,1.6490922405409947e-07,0.0,2.9367397402779716e-08
1810,1.8955026348521642e-07,0.0,9.360507036149102e-09
1811,4.011322829455821e-08,0.0,2.5070767684098882e-09
1812,5.067695596494559e-08,0.0,5.3344164641089264e-09
1813,1.0352670187785407e-07,2.8757416448144113e-09,2.8757416448144113e-09
1814,7.552024783308298e-08,0.0,4.72001566720337e-08
1815,8.631115377966125e-08,0.0,1.0788894222457657e-08
1816,1.321034233114915e-07,0.0,2.5493642752394408e-08
1817,1.6035795624702587e-07,0.0,4.203558034987509e-08
1818,5.96058882251782e-08,0.0,2.026600220972341e-08
1819,9.833497216504838e-08,0.0,6.521161566297451e-08
1820,1.5307760747873544e-07,2.3732962262101864e-09,7.713212824000948e-08
1821,4.2404398215012407e-08,0.0,3.155676253641104e-08
1822,1.2130995230563713e-07,0.0,5.3135764233047666e-08
1823,1.3341627891350072e-07,9.882686891060644e-10,4.644862983127496e-08
1824,8.336901657912676e-08,0.0,4.0421340941065864e-08
1825,1.0390422744421812e-07,0.0,2.8177417732422327e-08
1826,1.241925815520517e-07,0.0,6.253669226907732e-08
1827,1.2166800900104136e-07,0.0,5.438191053031005e-08
1828,8.346793833879929e-08,0.0,2.7516904310687096e-08
1829,1.354561760535944e-07,0.0,2.2290258527846163e-08
1830,1.2419835115906608e-07,0.0,3.339787468803479e-08
1831,1.980083226271745e-07,0.0,7.639690835503643e-08
1832,1.0012177398266431e-07,0.0,6.22378593106987e-08
1833,1.4711207541040494e-07,0.0,4.6334513115198206e-08
1834,1.213489042584115e-07,0.0,5.507373401769655e-08
1835,1.3689188449461653e-07,0.0,5.294161553592858e-08
1836,8.199315004731034e-08,0.0,4.368487438455304e-08
1837,1.6768517241416703e-07,0.0,7.236206300831327e-08
1838,1.836839089719433e-07,0.0,5.7440672662778525e-08
1839,1.6010477565941983e-07,0.0,4.6842885126352485e-08
1840,1.6815978653994534e-07,0.0,5.414235459966221e-08
1841,1.2776891367138887e-07,0.0,4.3017674755674307e-08
1842,1.4758182942387066e-07,0.0,3.4212153110502186e-08
1843,1.4235655498850974e-07,5.906911071384968e-10,3.898561473647533e-08
1844,1.4764229661068384e-07,2.7442805805577564e-09,6.641159444598088e-08
1845,1.400637188453402e-07,0.0,1.0490828827869336e-07
1846,1.5455883328741038e-07,0.0,8.430481557297753e-08
1847,1.7959435183456662e-07,0.0,7.658377398911398e-08
1848,1.946943655184441e-07,1.6090443422100975e-09,6.355725190587691e-08
1849,1.8769890175462933e-07,0.0,4.022119171054328e-08
1850,1.3442212321024272e-07,0.0,3.869727649430388e-08
1851,1.431775444871164e-07,0.0,2.3217978650791338e-08
1852,1.3411722932232806e-07,0.0,3.320378283433456e-08
1853,1.3377126606428646e-07,0.0,4.538668108011734e-08
1854,1.0962852314833071e-07,1.0391328908454511e-09,4.676098086520142e-08
1855,1.6663781821080192e-07,5.306937111981824e-10,2.865746040470185e-08
1856,1.0561466012859455e-07,0.0,6.005539177067476e-08
1857,1.5523198726441478e-07,0.0,3.905207179855097e-08
1858,1.1157581525367277e-07,0.0,2.838332058274773e-08
1859,1.5429284871970594e-07,0.0,3.0043821652725455e-08
1860,1.469276043053469e-07,0.0,4.394096464466202e-08
1861,1.4195050823673228e-07,0.0,2.3108222890755314e-08
1862,1.436719685443677e-07,0.0,3.162590545002786e-08
1863,1.223682062345688e-07,4.994620828036034e-10,4.545104914654985e-08
1864,1.1123768928200661e-07,0.0,5.993410212568051e-08
1865,1.3555711575463647e-07,0.0,3.812543880599151e-08
1866,1.5278024534381984e-07,1.4596839292835284e-09,4.962925004292629e-08
1867,1.8731851980646752e-07,0.0,3.8337212515671126e-08
1868,1.2942470561938535e-07,4.93987406535723e-10,3.853101659956337e-08
1869,1.5383085383291473e-07,0.0,4.0044856319809696e-08
1870,1.358969541342958e-07,0.0,5.045962936378601e-08
1871,1.2001930826954776e-07,0.0,4.6733180880664804e-08
1872,1.5723081503438152e-07,6.047339295989218e-10,5.1402384571019866e-08
1873,1.5982631396127545e-07,0.0,4.669083608632718e-08
