year,peuvent_VERB ajouter_VERB,peuvent_VERB rajouter_VERB
1800,2.7354229814591235e-07,0.0
1801,2.0001934331048687e-07,0.0
1802,2.730164965214499e-07,0.0
1803,2.1648764914061758e-07,0.0
1804,1.8291696335381857e-07,0.0
1805,2.245873389483677e-07,0.0
1806,1.2679343797117326e-07,0.0
1807,2.0782772480743006e-07,0.0
1808,2.5380029455845943e-07,0.0
1809,2.213849938925705e-07,0.0
1810,1.8955026348521642e-07,0.0
1811,1.780024518893697e-07,0.0
1812,2.2404549326893175e-07,0.0
1813,3.307102929284156e-07,0.0
1814,2.3285410577500443e-07,0.0
1815,1.3216394734172354e-07,0.0
1816,2.4798362119327066e-07,0.0
1817,1.7592670076282957e-07,0.0
1818,2.0146789836417156e-07,0.0
1819,2.4428479150628846e-07,0.0
1820,1.6731738128328288e-07,0.0
1821,1.6961759286004963e-07,0.0
1822,2.676839585546986e-07,0.0
1823,2.174191138237802e-07,0.0
1824,2.433701524751086e-07,0.0
1825,1.2239566160587856e-07,0.0
1826,2.0610683293398324e-07,0.0
1827,1.6130228175370576e-07,0.0
1828,1.6968756710866728e-07,0.0
1829,1.8346597130403097e-07,0.0
1830,1.669893663347466e-07,0.0
1831,1.2005229166334175e-07,0.0
1832,2.2459748549863434e-07,0.0
1833,1.7143770492111798e-07,0.0
1834,1.2881652367013885e-07,0.0
1835,1.5126175867408165e-07,0.0
1836,1.5928178243029834e-07,0.0
1837,1.0436836106464398e-07,0.0
1838,1.5464796376818413e-07,0.0
1839,1.7968091015063692e-07,0.0
1840,1.2803074866951647e-07,0.0
1841,1.7014453135288932e-07,0.0
1842,1.2141960326061962e-07,0.0
1843,1.4294724337560183e-07,0.0
1844,1.4050716856672807e-07,0.0
1845,1.3727360226312157e-07,0.0
1846,1.3523897735012724e-07,0.0
1847,1.181116005000149e-07,0.0
1848,1.407913856610321e-07,0.0
1849,1.3993623326769011e-07,0.0
1850,1.4189001262820966e-07,0.0
1851,9.738652551050109e-08,0.0
1852,1.0351767087968256e-07,0.0
1853,1.1525828114145042e-07,0.0
1854,1.3041118052115053e-07,0.0
1855,1.1622192630511563e-07,0.0
1856,1.2218166034472233e-07,0.0
1857,9.616572782533694e-08,0.0
1858,1.6100193533929996e-07,0.0
1859,1.4970989070661744e-07,0.0
