year,doit_VERB abaisser_VERB,doit_VERB rabaisser_VERB
1800,5.0306631749208464e-08,2.829747991484055e-08
1801,1.4287095950749062e-08,1.4287095950749062e-08
1802,1.7902721083373763e-08,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,9.665783884393875e-08,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,1.1387820464392462e-08
1808,0.0,6.798221985349073e-09
1809,9.036122072814123e-09,4.518061036407062e-09
1810,0.0,1.1700633351097167e-08
1811,0.0,0.0
1812,5.3344166417446104e-08,2.6672082320544632e-09
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,5.1247248222807684e-08,0.0
1816,6.952811659743929e-09,0.0
1817,4.670620334934483e-09,0.0
1818,3.5763532135746345e-09,4.768470951432846e-09
1819,9.315944904386697e-09,8.280840013696888e-09
1820,3.5599443393152796e-09,1.0679833017945839e-08
1821,2.9584463767662328e-09,1.0847637454958203e-08
1822,1.5038423839541792e-08,4.010246357211145e-09
1823,4.941343334508019e-09,5.929612356680991e-09
1824,9.263223965660927e-09,1.6842225392110777e-09
1825,1.4088708866211164e-08,0.0
1826,1.6735169694470642e-08,8.807984341885344e-10
1827,1.8434546111834038e-09,7.373818444733615e-09
1828,1.3758452155343548e-08,6.420610709767516e-09
1829,1.2859763920403111e-08,0.0
1830,2.7135772739939057e-08,3.1310507520032616e-09
1831,1.091384405071949e-08,0.0
1832,1.0823975493678972e-08,0.0
1833,3.4750886612755494e-09,0.0
1834,2.9870498963191494e-08,9.334530925997342e-10
1835,5.8235777089521434e-08,6.050470346963266e-09
1836,2.016225053580456e-08,6.720750067579218e-10
1837,2.7831564608504777e-08,2.7831563720326358e-09
1838,1.5149188570262595e-08,3.1560809521380406e-09
1839,1.11863602825224e-08,2.7965900706306e-09
1840,2.4841785517537573e-08,9.554533164646273e-09
1841,1.3483152372373297e-08,3.852329122366882e-09
1842,2.0795621225033756e-08,4.695785538189057e-09
1843,1.594865928211675e-08,1.063243981747064e-08
1844,1.701453911095996e-08,1.097712254427563e-09
1845,2.17628883802945e-08,8.37034175305007e-09
1846,1.9905304071698993e-08,1.1709002656346001e-09
1847,2.2112217834546755e-08,4.314578916364553e-09
1848,3.137636639394259e-08,0.0
1849,1.5920887719289567e-08,0.0
1850,3.055048125588655e-08,2.7155984128057753e-09
1851,9.029214709244116e-09,1.2898877521649865e-09
1852,2.6042181744401205e-09,3.906327261660181e-09
1853,7.763511611358354e-09,5.971931837933653e-09
1854,1.8704392701351935e-08,5.195664343204953e-09
1855,8.491099379170919e-09,5.306937111981824e-10
1856,8.28350277259915e-09,3.1063134287023786e-09
1857,2.5383847912507917e-08,1.9526036343364694e-09
1858,1.614913069936108e-08,7.829881631948865e-09
1859,7.129042689513199e-09,2.5460866748261424e-09
1860,2.0597328287408345e-08,3.204028820036342e-09
1861,1.6034276129062164e-08,9.431927461278633e-10
1862,2.936691068100572e-08,4.517986429419807e-09
1863,1.7980635647063536e-08,5.9935452156878455e-09
1864,1.7740493518658695e-08,4.794728170054441e-09
1865,2.58876440284439e-08,5.6482134525026595e-09
1866,9.731225603104576e-09,0.0
1867,1.8925964795357686e-08,9.7056229719783e-10
1868,2.5193358510477992e-08,1.4819622196071691e-09
1869,2.2952539424636598e-08,1.953407657850903e-09
1870,1.834895613228582e-08,1.7202146374017957e-09
1871,3.18635318130589e-09,1.0621177271019633e-09
1872,3.0236697590169115e-09,6.047339295989218e-10
1873,1.1373408881354408e-08,0.0
1874,2.6288279997288555e-08,0.0
1875,1.8881038954532414e-08,0.0
1876,1.5719638035704975e-08,0.0
1877,1.36065949618569e-08,6.184815992682502e-10
1878,1.5701630218245555e-08,4.22736201599605e-09
1879,2.6881030734671185e-08,3.665595160740054e-09
1880,8.343199908722454e-09,0.0
1881,3.2073533162702006e-08,2.7890030285249168e-09
1882,1.4641846846075168e-08,3.3276925659464496e-09
1883,1.3902545781263598e-08,0.0
1884,5.0833065756705764e-08,2.6406787867472303e-09
1885,3.222817923642651e-08,6.445635691854079e-10
1886,1.5488312854472497e-08,1.936039106809062e-09
1887,2.8727267675776602e-08,5.876032105334161e-09
1888,9.510921827882157e-09,2.53624587998047e-09
1889,2.255449160770695e-08,0.0
1890,2.0974036729626278e-08,6.554386478008212e-10
1891,1.9760081571007504e-08,0.0
1892,2.4447198043731078e-08,3.761107425503951e-09
1893,2.8328715373504565e-08,0.0
1894,8.822155450616265e-09,0.0
1895,1.2639090662958097e-08,0.0
1896,1.3563166589847242e-08,0.0
1897,2.2724182091593548e-08,3.4960281336537946e-09
1898,2.3765091228256097e-08,4.52668391659472e-09
1899,3.3165470370022376e-08,0.0
1900,2.803168719367477e-08,5.191053142894475e-10
1901,2.1237207548097103e-08,5.588738916095792e-10
1902,3.1425816615637814e-08,0.0
1903,1.7820726228023887e-08,2.7001101354784396e-09
1904,1.3436562973367927e-08,0.0
1905,1.2385822145688508e-08,1.5482277682110634e-09
1906,2.1091157265118454e-08,0.0
1907,2.5714216533856415e-08,1.028568674676933e-09
1908,1.080505640516094e-08,4.911389073214423e-10
1909,8.801573692096554e-09,0.0
1910,2.4583092894658876e-08,5.344150677544235e-10
1911,1.4365010514438836e-08,5.320374141248863e-10
1912,1.4586379215586476e-08,0.0
1913,1.0605979205990934e-08,0.0
1914,1.7411533548283842e-08,6.696743715117748e-10
1915,1.0602685840410686e-08,0.0
1916,2.197492321442951e-08,0.0
1917,4.386569774084137e-09,0.0
1918,6.89182577673364e-09,0.0
1919,1.6574126959767455e-08,0.0
1920,1.8930579770426448e-08,3.028892692213958e-09
1921,1.3630945261411398e-08,7.572747429129834e-10
1922,8.115729421831475e-09,1.4755870969551665e-09
1923,1.0615948564662858e-08,0.0
1924,2.578324886925998e-09,0.0
1925,6.598906754362588e-09,0.0
1926,2.7865345586519652e-08,4.458455382660986e-09
1927,1.0034302277972529e-08,1.1149224876660924e-09
1928,1.5996457491951332e-08,0.0
1929,1.1140405931087116e-08,0.0
1930,1.05036033204442e-08,0.0
1931,1.710803587684495e-08,0.0
1932,2.1919072779041926e-08,0.0
1933,1.4911860191091364e-08,0.0
1934,1.3179738189705859e-08,0.0
1935,1.3165112555668657e-08,0.0
1936,8.487299751891442e-09,0.0
1937,2.1404900962807005e-08,0.0
1938,2.3337385357535823e-08,0.0
1939,9.176430282309411e-09,0.0
1940,1.5214697057785997e-08,0.0
1941,8.854508237732261e-09,0.0
