year,voulait_VERB ouvrir_VERB,voulait_VERB rouvrir_VERB
1800,1.2576657937302116e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,8.951360541686881e-09,0.0
1803,1.950339223455444e-09,0.0
1804,9.887403784603066e-09,0.0
1805,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,9.064295980465431e-09,0.0
1809,2.25903047379461e-08,0.0
1810,2.106114038724627e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,6.326631307729258e-08,0.0
1814,4.405347908686963e-08,0.0
1815,4.315557688983063e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,6.694555310104988e-08,0.0
1818,2.384235386898581e-08,0.0
1819,8.280840013696888e-09,0.0
1820,5.102586797534059e-08,0.0
1821,4.339054981983281e-08,8.875339574387908e-09
1822,5.012807946513931e-08,0.0
1823,4.644862983127496e-08,3.5577674140085946e-08
1824,3.03160057057994e-08,0.0
1825,9.509878395874694e-08,0.0
1826,5.2847905607222856e-08,0.0
1827,2.488663675137559e-08,0.0
1828,7.613009955775851e-08,0.0
1829,4.715246859632316e-08,8.57317605795771e-10
1830,5.114049628218709e-08,4.174734336004349e-09
1831,5.76874619184764e-08,0.0
1832,7.712082350508354e-08,0.0
1833,7.066013552048389e-08,1.50587169400751e-08
1834,5.3206825612051034e-08,9.334530925997342e-10
1835,3.2521278114927554e-08,0.0
1836,3.293167694096155e-08,2.016224964762614e-09
1837,5.4967337348443834e-08,0.0
1838,4.418513199766494e-08,6.312161904276081e-10
1839,4.894032556990169e-08,3.4957374772659477e-09
1840,6.497082694068013e-08,6.369688665408546e-10
1841,5.264849889385914e-08,1.2841097074556274e-09
1842,5.567860128508073e-08,8.049918065466954e-09
1843,3.2488010504039266e-08,0.0
1844,4.281077892187568e-08,2.195424508855126e-09
1845,5.6918324276011845e-08,2.1204865419122143e-08
1846,4.625055893825447e-08,5.854501328173001e-10
1847,6.25613978399997e-08,4.314578916364553e-09
1848,2.252662056889676e-08,0.0
1849,3.016589289472904e-08,2.513824481908955e-09
1850,5.702756666892128e-08,4.073397619208663e-09
1851,5.095056465620473e-08,3.8696632564949596e-09
1852,3.450589147746541e-08,6.510545436100301e-10
1853,4.598387448595531e-08,2.388772735173461e-09
1854,4.2604447969551984e-08,5.195664454227256e-10
1855,5.73149208094037e-08,7.429711956774554e-09
1856,4.4523826403519706e-08,1.5531567143511893e-09
1857,3.612316845647001e-08,6.8341128311999455e-09
1858,4.0128142586581816e-08,1.468102750479261e-09
1859,4.786642904264227e-08,5.092173349652285e-09
1860,4.8060432078500526e-08,5.492620580582752e-09
1861,2.8295781717702084e-08,9.431927239234028e-09
1862,4.698705780015189e-08,4.066187830886747e-09
1863,4.145535115185339e-08,1.2986014041871385e-08
1864,7.767459209162553e-08,1.9178911792039344e-09
1865,3.859612363044107e-08,3.765475486972036e-09
1866,3.3572728597164314e-08,1.9462451650298362e-09
1867,4.367530337390235e-08,3.396968040192405e-09
1868,3.7049055379156925e-08,8.89177353968762e-09
1869,3.2231227464762924e-08,8.790334682373668e-09
1870,3.841812556970581e-08,5.734048791339319e-09
1871,1.911811864374613e-08,2.1242353653860846e-08
1872,4.5959779981785687e-08,0.0
1873,4.19020302899753e-08,1.1972008939764578e-09
1874,3.4055272379873713e-08,5.377148060148329e-09
1875,5.034943839632433e-08,4.005069165202713e-09
1876,3.929909553335165e-08,2.418405919968336e-09
1877,4.4530676035492434e-08,3.0924081073635534e-09
1878,5.072834596830944e-08,6.6429977074733415e-09
1879,5.1929266220440695e-08,0.0
1880,5.840239936105718e-08,0.0
1881,6.83305714233029e-08,6.972507571312292e-10
1882,3.4608003574021495e-08,1.9966155395678697e-09
1883,3.222862687835004e-08,1.2638677882037541e-09
1884,6.535680086017237e-08,1.3203393933736152e-09
1885,3.222817923642651e-08,1.933690763067375e-09
1886,3.87207848007165e-08,4.5174246565693466e-09
1887,3.7867764035581786e-08,3.9173548849191775e-09
1888,3.9311810695608074e-08,0.0
1889,4.761503902273034e-08,3.759081934617825e-09
1890,3.736000309118026e-08,0.0
1891,3.6970476458009216e-08,5.099376032546843e-09
1892,3.823792482648969e-08,2.5074049503359674e-09
1893,4.434059874824925e-08,6.158416554491453e-10
1894,2.7096618282484997e-08,0.0
1895,2.888934957923084e-08,6.018614495673091e-10
1896,5.366296207398591e-08,4.717623180994224e-09
1897,2.6220211779559577e-08,0.0
1898,3.904265000187479e-08,4.52668391659472e-09
1899,4.698441813388854e-08,0.0
1900,3.7894686499839736e-08,1.038210628578895e-09
1901,2.179608138419553e-08,5.58873880507349e-09
1902,3.093478895266344e-08,9.820567692386817e-10
1903,4.050165358648883e-08,3.7801539676252105e-09
1904,3.708491291831706e-08,3.2247751136083025e-09
1905,3.560923644840841e-08,1.5482277682110634e-09
1906,2.0576738535282857e-08,0.0
1907,2.0571373937627868e-08,4.6285588695127444e-09
1908,3.094175227147389e-08,0.0
1909,3.025541062129378e-08,9.351672325408344e-09
1910,2.8323999146095957e-08,3.206490406526541e-09
1911,3.032613093978398e-08,3.1922244847493175e-09
1912,2.7088990606216612e-08,2.0837684910901544e-09
1913,2.4393752795504042e-08,4.242391771214216e-09
1914,1.2723813114234872e-08,7.366418142140674e-09
1915,2.1205371680821372e-08,1.1780761921542648e-09
