year,pouvait_VERB ouvrir_VERB,pouvait_VERB rouvrir_VERB
1800,5.345079756580162e-08,6.288328968651058e-09
1801,2.3811825400343878e-08,0.0
1802,6.489736392722989e-08,0.0
1803,3.90067853572873e-08,0.0
1804,8.404293083685843e-08,0.0
1805,7.391481915419718e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,3.172503681980743e-08,1.5862518409903714e-08
1809,9.036122072814123e-09,0.0
1810,8.424456154898508e-08,1.8721014072298203e-08
1811,4.011322829455821e-08,1.2535384286138651e-08
1812,4.800974906515876e-08,1.3336041604361526e-08
1813,8.339650747757332e-08,0.0
1814,6.608021863030444e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,6.721051448721482e-08,0.0
1817,7.472992535895173e-08,0.0
1818,8.344824209416402e-08,0.0
1819,3.2088255608186955e-08,9.315945348475907e-09
1820,6.645229433388522e-08,4.746592452420373e-09
1821,6.212737702071536e-08,0.0
1822,6.616906489398389e-08,0.0
1823,5.731958552246397e-08,0.0
1824,5.3895121254754486e-08,3.3684450784221553e-09
1825,4.754939197937347e-08,8.805443041381977e-10
1826,4.844391554570393e-08,3.5231937367541377e-09
1827,9.125100319806734e-08,0.0
1828,9.264024214417077e-08,0.0
1829,7.287199821348622e-08,1.1145129263923081e-08
1830,1.033246732617954e-07,1.1480519646056564e-08
1831,9.198811312671751e-08,0.0
1832,1.3394669906574563e-07,0.0
1833,5.21263281427764e-08,0.0
1834,9.241185949804276e-08,6.534171426153534e-09
1835,1.0739584865859797e-07,2.2689263801112247e-09
1836,9.409050250042128e-08,1.3441500135158435e-09
1837,1.1550098832913136e-07,6.957890930081589e-10
1838,1.04781889831429e-07,3.787297142565649e-09
1839,9.857979677008188e-08,6.9914751765765e-10
1840,1.229349919640299e-07,2.5478754661634184e-09
1841,1.1492782192590312e-07,2.5682194149112547e-09
1842,6.574099842282521e-08,2.0124795163667386e-09
1843,1.1104992836408201e-07,5.906910960362666e-09
1844,9.165897552065871e-08,4.9397050894128824e-09
1845,1.2722919962016022e-07,3.348136878855712e-09
1846,1.0303922692855849e-07,0.0
1847,1.3483058580732177e-07,3.775256551818984e-09
1848,1.3274615184855065e-07,8.045221711050488e-10
1849,9.803915190786938e-08,8.379414939696517e-10
1850,1.2016522532576346e-07,2.0366988096043315e-09
1851,9.158203084780325e-08,6.449438760824933e-10
1852,1.0937716155012822e-07,6.510545436100301e-10
1853,9.43565225952625e-08,0.0
1854,1.0183502041627435e-07,1.0391328908454511e-09
1855,1.2630511037059478e-07,0.0
1856,1.1907535224509047e-07,1.0354378465748937e-09
1857,9.958278468502613e-08,1.4644527812635033e-09
1858,1.2136317195654556e-07,6.361778659424999e-09
1859,1.2628589729501982e-07,1.3748867822016564e-08
1860,1.3731552428453142e-07,3.204028820036342e-09
1861,1.3440497070860147e-07,1.8863854922557266e-09
1862,1.0436548336656415e-07,2.2589932147099034e-09
1863,9.040263648785185e-08,1.4983863039219614e-09
1864,1.0356612278883404e-07,5.274200631788517e-09
1865,1.3979327206925518e-07,1.0825742080555756e-08
1866,1.0509723580298669e-07,1.9462451650298362e-09
1867,8.832117259771621e-08,3.396968040192405e-09
1868,1.1806299227146155e-07,3.951899252285784e-09
1869,1.5383085383291473e-07,0.0
1870,1.2213523348236777e-07,5.734048791339319e-10
1871,1.1789506970671937e-07,1.274541272522356e-08
1872,1.8323437700473733e-07,2.1770421909650395e-08
1873,8.32054638522095e-08,2.9930022904522957e-09
1874,1.2128457171911577e-07,7.169530746864439e-09
1875,1.1957992285260843e-07,1.1443054503956773e-08
1876,9.673623679873344e-08,0.0
1877,8.411349483594677e-08,6.184816214727107e-09
1878,7.730033502184597e-08,4.831270938865373e-09
1879,1.2890676259758038e-07,6.10932526790009e-10
1880,1.0204375655575859e-07,4.492492600149944e-09
1881,1.1644087294371275e-07,7.669758161910067e-09
1882,8.518892968822911e-08,1.3310770263785798e-09
1883,1.0300522745865237e-07,4.423537092179686e-09
1884,1.0826782670392276e-07,7.922036360241691e-09
1885,7.21911206369441e-08,5.156508553483263e-09
1886,1.026100733270141e-07,6.4534639854230136e-09
1887,9.140494228176976e-08,6.528924623161458e-10
1888,1.1603324878706189e-07,1.268122939990235e-09
1889,1.0776034997661554e-07,6.265136853755848e-09
1890,1.3305404422681022e-07,2.6217545912032847e-09
1891,7.457837369884146e-08,6.374220040683554e-10
1892,1.2160913342995627e-07,2.5074049503359674e-09
1893,8.437030629693254e-08,4.310891643655168e-09
1894,1.0082462864602348e-07,1.8904617871129403e-09
1895,1.1074250494402804e-07,3.0093072478365457e-09
1896,9.435246539624131e-08,3.5382172747233653e-09
1897,6.059782009515402e-08,5.2440420894583895e-09
1898,1.2448380459773034e-07,2.8291773368493978e-09
1899,9.452158877820693e-08,4.4220627160029835e-09
1900,9.13625370912996e-08,3.114631885736685e-09
1901,7.991896922021624e-08,0.0
1902,8.34748234979088e-08,4.910283846193408e-10
1903,7.668312917985531e-08,5.400220270956879e-10
1904,7.739460272659926e-08,2.6873125946735854e-09
1905,9.444188719953672e-08,0.0
1906,9.105206544290922e-08,7.716276506641861e-09
1907,8.742834012309686e-08,4.6285588695127444e-09
1908,1.1443536607202986e-07,4.911389073214423e-10
1909,8.141455509758089e-08,1.6502950117569526e-09
1910,8.497199388557419e-08,5.344150677544235e-10
1911,5.7460042057755345e-08,3.1922244847493175e-09
1912,7.08481309175113e-08,2.6047106693738442e-09
1913,7.424185355375812e-08,2.121195885607108e-09
1914,5.357394883276356e-08,3.3483718020477227e-09
1915,6.125996065975414e-08,3.534228465440492e-09
1916,6.372727767711694e-08,7.69122365795738e-09
1917,8.882803825827068e-08,3.289927441585405e-09
1918,8.270190932080368e-08,1.033773866510046e-08
1919,8.287063479883727e-08,1.2890987832747669e-08
1920,5.906340660999376e-08,3.786115865267448e-09
1921,6.966927657003907e-08,2.2718242842501013e-09
1922,8.189508093892073e-08,7.377935484775833e-10
1923,4.883336046646036e-08,6.369568872344189e-09
1924,5.0277336072213075e-08,7.734974438733389e-09
1925,6.268961527666761e-08,5.499089184013428e-09
1926,7.356451448004009e-08,2.229227691330493e-09
1927,8.361918446553318e-08,2.2298449753321847e-09
1928,1.2225864054471458e-07,4.570416489713125e-09
1929,8.355304714768863e-08,3.342121912552898e-09
1930,6.932378227020308e-08,8.402882833991043e-09
1931,5.7026781519198266e-08,9.124285327288817e-09
1932,9.973178549671502e-08,0.0
1933,5.735331143341682e-08,2.2941324395731044e-09
1934,6.82950087593781e-08,4.7926320689839486e-09
1935,9.574627313213568e-08,4.787313656606784e-09
1936,5.456121598967911e-08,1.2124714565686645e-09
1937,8.058315614789535e-08,1.2591118148108649e-09
1938,6.871563584809337e-08,0.0
1939,9.023489866422096e-08,3.058810094103137e-09
1940,8.875240098404902e-08,0.0
1941,6.198155233505531e-08,5.9030051957620344e-09
1942,9.102635090130207e-08,0.0
1943,1.0161323160673419e-07,0.0
1944,8.675602458652065e-08,0.0
1945,1.0021118868053236e-07,4.357008087652048e-09
1946,7.9350293447078e-08,9.744772988540262e-09
1947,8.583027266695353e-08,2.3841741914054637e-09
1948,5.870819563824625e-08,2.174377566888097e-09
1949,7.853606831531579e-08,9.817008539414473e-09
1950,1.0209947021166954e-07,7.444753258312176e-09
1951,8.422507136174318e-08,0.0
1952,9.595771643944317e-08,2.1089607837865287e-09
1953,8.511323557058859e-08,1.0773827385790469e-09
1954,8.306655985279576e-08,1.9545072227344917e-09
1955,6.006789021739678e-08,0.0
1956,5.755953580433015e-08,2.616342476002842e-09
1957,5.9194753987412696e-08,0.0
1958,5.873292963087806e-08,5.790570245522986e-09
1959,6.588135903484726e-08,6.200598257066758e-09
1960,5.3982500247684584e-08,3.460416619915918e-09
1961,8.059864597953492e-08,1.3896318540318475e-09
1962,7.483508568384423e-08,6.341956293454132e-09
1963,9.117135135738863e-08,7.1126584622049904e-09
1964,7.726639950078606e-08,3.6503808864551957e-09
1965,7.277817815065646e-08,1.6416130677043839e-09
1966,1.0358069602034448e-07,3.3234448526542337e-09
1967,7.346199737412462e-08,1.4791006197611978e-09
1968,8.354033553814588e-08,1.3474247273492779e-09
1969,8.720174804466296e-08,3.6334062425424918e-09
1970,5.6104443757476474e-08,4.598724956395017e-09
1971,6.782684636164049e-08,2.569198631618974e-09
1972,6.10487447261221e-08,3.0780880067027283e-09
1973,6.670976659961525e-08,5.513203782392395e-10
1974,6.806941854620163e-08,4.500457340128605e-09
1975,7.082235242705792e-08,1.1422960355389478e-09
1976,6.284879816575994e-08,0.0
