year,faut_VERB assembler_VERB,faut_VERB rassembler_VERB
1800,2.829747991484055e-08,1.4148740490327327e-07
1801,3.809892135109294e-08,8.810375362600098e-08
1802,2.4616241489638924e-08,9.175144555229053e-08
1803,7.801356893821776e-09,8.581492494386112e-08
1804,2.7190360185613827e-08,5.6852570651244605e-08
1805,1.7057265822018053e-08,3.1271653710973624e-08
1806,5.76333825108577e-08,4.8988376022407465e-08
1807,2.8469551160981155e-09,7.971474502710407e-08
1808,3.3991110370834576e-08,7.251436784372345e-08
1809,2.259030518203531e-09,4.292158095609011e-08
1810,3.042164919975221e-08,5.8503168531842675e-08
1811,1.0028307073639553e-08,1.7549536934780008e-08
1812,5.3344164641089264e-09,4.267533171287141e-08
1813,5.751483289628823e-09,5.176335093892703e-08
1814,6.293354282149721e-09,1.5733386149463513e-08
1815,5.394447111228828e-09,8.631115377966125e-08
1816,4.4034472068688046e-08,1.0197457100957763e-07
1817,2.0239355080775567e-08,6.85024303948012e-08
1818,1.3113295338484932e-08,2.6226590676969863e-08
1819,1.2421260464634543e-08,6.83169290027763e-08
1820,2.8479554714522237e-08,5.577246042776096e-08
1821,1.4792232327920374e-08,5.5224333550540905e-08
1822,2.4061478143266868e-08,7.017931125119503e-08
1823,4.941343334508019e-09,2.8659792761231984e-08
1824,1.9368560089105813e-08,3.2000230021367315e-08
1825,2.553578504205234e-08,3.434122675116669e-08
1826,7.0463874735082754e-09,6.077509340229881e-08
1827,2.027800150017356e-08,4.516463647519231e-08
1828,3.668920500743411e-09,4.1275356466030644e-08
1829,1.0287811491593857e-08,4.543783305166471e-08
1830,3.1310507520032616e-09,3.965997663613052e-08
1831,7.795603274018958e-09,7.795603274018958e-09
1832,1.488296597074168e-08,2.3000948701223933e-08
1833,2.3167256557599103e-08,2.7800709290204395e-08
1834,1.3068342852307069e-08,3.733812548034621e-08
1835,2.4201881387853064e-08,2.7983425354705105e-08
1836,1.0753200108126748e-08,4.166864897570122e-08
1837,3.270208637218275e-08,2.0177884252348122e-08
1838,1.4517972601879592e-08,5.870310459954453e-08
1839,7.690622361167243e-09,4.6842885126352485e-08
1840,1.0191501864653674e-08,4.0129037870428874e-08
1841,1.7977535904378783e-08,3.5955071808757566e-08
1842,1.8783142152756227e-08,5.433694738599115e-08
1843,9.451057714215949e-09,4.252975926988256e-08
1844,3.2931368743049916e-09,5.2141331252641976e-08
1845,8.928364714222425e-09,3.57134588568897e-08
1846,1.1709002656346001e-08,3.922516000898213e-08
1847,5.3932236454556914e-09,2.6426796750911308e-08
1848,1.448139919091318e-08,2.252662056889676e-08
