year,voulant_VERB appliquer_VERB
1800,4.0874140072588716e-08
1801,3.8098922461315965e-08
1802,1.1189200677108602e-08
1803,1.5602713787643552e-08
1804,7.662737999680758e-08
1805,1.421438877713399e-08
1806,4.034336598124355e-08
1807,3.131650672116848e-08
1808,0.0
1809,3.8403518809460024e-08
1810,0.0
1811,2.5070767684098882e-09
1812,2.400487453257938e-08
1813,1.1502966579257645e-08
1814,0.0
1815,2.9669459555847766e-08
1816,6.025770460382773e-08
1817,3.113746771532533e-08
1818,1.4305412854298538e-08
1819,1.0351049795076506e-08
1820,8.306536791735653e-09
1821,3.5501356521194793e-08
1822,1.7043547018147365e-08
1823,4.15072847204101e-08
1824,6.736890156844311e-09
1825,3.522177305370633e-08
1826,3.787433300317389e-08
1827,6.452091083630762e-09
1828,2.109629271274116e-08
1829,3.000611636938544e-08
1830,2.400472176589119e-08
1831,2.494593065449635e-08
1832,2.0294953273491956e-08
1833,1.50587169400751e-08
1834,5.040646544607341e-08
1835,4.4622218808854086e-08
1836,2.083432448785061e-08
1837,2.0873671680021744e-08
1838,2.9035945203759184e-08
1839,1.677953997969439e-08
1840,2.356784811752277e-08
1841,2.6966304300657384e-08
1842,2.750388583550034e-08
1843,3.1306628844873785e-08
1844,2.7991662321369404e-08
1845,5.022205229465726e-08
1846,2.9272507084954213e-08
1847,3.9909855864550536e-08
1848,2.735375348450475e-08
1849,3.351765798242923e-08
1850,3.4623877986916796e-08
1851,3.7406744590740004e-08
1852,2.2786908582261844e-08
1853,2.149895550473957e-08
1854,4.8319679368802326e-08
1855,2.4411910715116392e-08
1856,2.4332789450021153e-08
1857,3.417056193555368e-08
1858,1.712786690255541e-08
1859,2.1387128512628806e-08
1860,1.1442959552132592e-08
1861,2.4523011454835597e-08
1862,2.3945327942698214e-08
1863,1.1487627737949424e-08
1864,3.8837295157634344e-08
1865,3.2006542416418426e-08
1866,2.3354941536268825e-08
1867,2.232293283555009e-08
1868,3.359114231216154e-08
1869,1.3673853493934018e-08
1870,4.472558057244669e-08
1871,1.805600113868877e-08
1872,2.4794091224578096e-08
