year,peut_VERB échauffer_VERB,peut_VERB réchauffer_VERB
1800,4.087413785214267e-08,3.772997558826319e-08
1801,5.476719877606229e-08,2.3811825844433088e-09
1802,9.398928568771225e-08,2.0140561218795483e-08
1803,6.826187615160961e-08,1.1702034896643454e-08
1804,1.730295728918918e-08,7.4155526164076946e-09
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,1.152667650217154e-08,2.881669125542885e-09
1807,5.4092147649953404e-08,0.0
1808,4.305540457494317e-08,3.3991110370834576e-08
1809,1.1069249694628525e-07,4.518061036407062e-09
1810,1.2870697219113936e-07,2.3401267590372754e-09
1811,4.262030373070047e-08,3.760615285841595e-08
1812,9.335229123053068e-08,5.3344164641089264e-09
1813,9.489947672136623e-08,0.0
1814,9.440030979135372e-09,0.0
1815,4.045835311217161e-08,5.394447111228828e-09
1816,6.025770460382773e-08,3.7081662185300956e-08
1817,8.407116069975018e-08,4.670620334934483e-09
1818,2.98029441125891e-08,1.3113295338484932e-08
1819,1.0351049795076506e-08,1.035105001712111e-09
1820,9.493184904840746e-09,2.610625848831205e-08
1821,3.0570614484304315e-08,1.4792232327920374e-08
1822,2.8071724500478012e-08,8.02049271442229e-09
1823,1.1859224713361982e-08,2.9648061783404955e-09
1824,4.126345132249298e-08,3.536867154707579e-08
1825,4.6668848341369085e-08,2.993850500843109e-08
1826,3.8755132436563144e-08,1.5854372037438225e-08
1827,2.488663675137559e-08,4.608636583469661e-09
1828,4.953042775923677e-08,1.1923991571904935e-08
1829,3.3435387791769244e-08,1.457439946506156e-08
1830,1.3567886369969528e-08,1.5655253093882493e-08
1831,3.4300654760954785e-08,9.354723218280014e-09
1832,3.2471927369215337e-08,2.1647950987357945e-08
1833,3.243415847009601e-08,3.1275796175123105e-08
1834,4.387229424196448e-08,8.401078055442213e-09
1835,5.142899794918776e-08,4.5378527602224494e-09
1836,2.2178475944656384e-08,1.0753200108126748e-08
1837,3.6181031504156635e-08,1.87863058442872e-08
1838,2.840472923537618e-08,1.1361890983607736e-08
1839,2.4470162784950844e-08,2.3771015378315496e-08
1840,2.93005673057678e-08,6.3696887764308485e-09
1841,2.8250413564023802e-08,1.3483152372373297e-08
1842,1.1404051036834062e-08,1.8112315203211438e-08
1843,3.0125246297529884e-08,1.063243981747064e-08
1844,3.0187088384536764e-08,7.683985892015244e-09
1845,1.6182660544927785e-08,2.7901139176833567e-09
1846,1.2879903366069811e-08,6.439951683034906e-09
1847,1.4561703842730367e-08,2.1572894581822766e-09
1848,1.609044275596716e-08,4.02261068899179e-09
1849,2.6814127807028854e-08,1.6758828991214614e-08
1850,1.6972489191857676e-08,1.0183494048021657e-08
1851,1.9348316726564008e-08,5.8044946626978344e-09
1852,1.2370036550635177e-08,1.1067927019325907e-08
1853,1.6721408258035808e-08,1.851298847554972e-08
1854,2.338049043260071e-08,1.0391328686409906e-08
1855,2.1227748447927297e-08,7.429711956774554e-09
1856,1.863788057221427e-08,7.765783571755946e-09
1857,2.5383847912507917e-08,1.3668225662399891e-08
1858,9.787352261980686e-09,1.0766087576996597e-08
1859,1.3748867822016564e-08,1.8331824946926645e-08
1860,1.2816115280145368e-08,7.781213007262977e-09
1861,2.2165028923382124e-08,8.488735048217677e-09
1862,1.626475132354699e-08,3.162590411776023e-09
1863,9.989241434027463e-09,1.548332484446746e-08
1864,4.794728170054441e-09,1.0548401263577034e-08
1865,9.413688495385486e-09,2.3534221238463715e-09
1866,2.1408697037372804e-08,8.75810357570117e-09
1867,2.426405742994575e-08,1.3102591012170706e-08
1868,2.2723421366777075e-08,1.0867722721741302e-08
1869,1.4650557211837167e-08,1.5138908793232986e-08
1870,1.834895613228582e-08,1.0894693147633916e-08
1871,1.805600113868877e-08,1.274541272522356e-08
1872,7.256807155187062e-09,6.652073114565837e-09
1873,1.97538145840781e-08,8.979006871356887e-09
1874,1.9716210886144836e-08,5.974609140757536e-10
1875,1.602027666081085e-08,1.716458086775674e-09
1876,1.934724735974669e-08,2.418405919968336e-09
1877,4.9478527941460015e-09,1.1132669008873108e-08
1878,2.113680963589104e-08,9.058632954861423e-09
1879,1.7717043832021773e-08,5.498392852132383e-09
1880,6.417846254436199e-09,7.701415505323439e-09
1881,1.1853263259808955e-08,2.091752193678076e-08
1882,2.1297232422057277e-08,1.1314154946262533e-08
1883,2.211768546089843e-08,5.0554711528150165e-09
1884,1.5183903911974994e-08,9.242375753615306e-09
1885,5.156508553483263e-09,1.0313017106966527e-08
1886,7.098810428374236e-09,8.38950331427668e-09
1887,1.0446279397058333e-08,7.1818169189441505e-09
1888,1.3949351895803375e-08,4.4384300679212174e-09
1889,2.192797943223468e-08,7.51816386923565e-09
1890,7.865263995654459e-09,9.831579994568074e-09
1891,7.649063604731055e-09,7.649063604731055e-09
1892,1.3163876211308434e-08,1.191017329205124e-08
1893,2.463366621796581e-09,9.853466487186324e-09
1894,1.1972924873759894e-08,1.1342770278588432e-08
1895,8.426059849853118e-09,1.1435367319734269e-08
1896,7.66613794667137e-09,1.1794058174530164e-08
1897,1.3401440845939305e-08,1.1070755867592652e-08
1898,4.52668391659472e-09,3.960848538042683e-09
1899,8.844125432005967e-09,2.432134493801641e-08
1900,7.26747462209687e-09,4.671947717582725e-09
1901,7.824234593556412e-09,3.353243460679778e-09
1902,6.874397495693074e-09,1.5221880644844532e-08
1903,7.020286574288548e-09,1.0800440541913758e-09
1904,6.449550227216605e-09,1.289910045443321e-08
1905,2.580379465655369e-09,5.160758931310738e-09
1906,4.629765903985117e-09,3.600929110447737e-09
1907,7.71426478252124e-09,1.0285686968813934e-08
1908,1.4734167219643268e-09,7.858222517143076e-09
1909,3.850688656825696e-09,3.850688656825696e-09
1910,5.878565634276356e-09,7.481810726517324e-09
1911,6.384448969498635e-09,9.044636151145369e-09
1912,5.730363294986773e-09,8.856016364688912e-09
1913,1.2196876397752021e-08,9.015082902408267e-09
1914,5.357394972094198e-09,6.027069510139427e-09
1915,1.1780761921542648e-09,4.712304768617059e-09
1916,5.493730803607377e-09,7.69122365795738e-09
1917,0.0,8.773139548168274e-09
1918,8.040463406189247e-09,8.040463406189247e-09
1919,5.524709134618888e-09,2.762354567309444e-09
1920,1.8930579770426448e-08,1.665890891899835e-08
1921,1.1359120755116692e-08,1.060184651180407e-08
1922,3.6889677978990676e-09,2.0658220023506146e-08
1923,4.246379248229459e-09,9.554353752605493e-09
1924,7.734974438733389e-09,5.156649773851996e-09
1925,8.798542339150117e-09,8.798542339150117e-09
1926,8.916910765321973e-09,7.802296586589819e-09
1927,1.1149224876660924e-09,2.2298449753321847e-09
1928,1.0283437212876834e-08,4.570416489713125e-09
1929,2.2280812750352652e-09,1.0026365515614089e-08
1930,7.352522590764465e-09,2.100720708497761e-09
1931,6.843213995466613e-09,9.124285327288817e-09
1932,3.287861094491973e-09,8.767629289252454e-09
1933,3.4411986593596566e-09,4.588264879146209e-09
1934,3.5944740517379614e-09,7.188948103475923e-09
1935,1.196828414151696e-09,5.98414207075848e-09
1936,1.33371855781661e-08,6.0623572828433225e-09
1937,5.0364472592434595e-09,1.2591118148108649e-09
1938,7.779128452511941e-09,6.482607339819424e-09
1939,7.647025235257843e-09,4.588215141154706e-09
1940,7.607348528892999e-09,0.0
1941,0.0,1.1806010391524069e-08
1942,1.8205270180260413e-08,2.1239483061208375e-08
1943,0.0,5.806470415592457e-09
1944,6.4263723231761105e-09,9.639558484764166e-09
1945,2.178504043826024e-09,0.0
1946,2.7842208538686464e-09,1.5313215584455975e-08
1947,7.152522574216391e-09,7.152522574216391e-09
1948,7.610321262063735e-09,1.0871887834440486e-09
1949,3.9268033269479474e-09,1.1780409536754632e-08
1950,2.1270722960764488e-09,1.0635361480382244e-09
1951,4.264560704569931e-09,8.529121409139861e-09
1952,6.326882129314981e-09,1.0544804140977249e-08
1953,6.464296653518886e-09,7.54167928107563e-09
1954,9.772536557761669e-09,5.863521668203475e-09
1955,4.6928039232341234e-09,4.6928039232341234e-09
1956,8.72114158667614e-10,1.3081712602058815e-08
1957,1.7670075402875796e-09,8.835037590415595e-09
1958,3.3088973783179654e-09,9.099467845885556e-09
1959,5.425523585955716e-09,1.3951345856355601e-08
1960,4.844583401109048e-09,9.689166802218097e-09
1961,6.94815938118154e-09,9.72742331128984e-09
1962,1.2683912808952869e-09,8.8787386332001e-09
1963,0.0,5.819448034571906e-09
1964,3.6503808864551957e-09,3.041984220075733e-09
1965,2.188817349590977e-09,2.188817349590977e-09
1966,1.1078149508847446e-09,7.200797291773142e-09
1967,3.451234853457663e-09,3.451234853457663e-09
1968,8.982831700699023e-10,1.0779397818794223e-08
1969,4.087581828571274e-09,9.537691525451919e-09
1970,4.598724956395017e-09,8.277704743875347e-09
